,year,nuts_id,nuts_year_spec,genetic_analysis_count
0,2015.0,UK,2016,1
1,2017.0,UK,2016,2
2,2018.0,NL,2016,1
3,2019.0,FR,2016,1
4,2020.0,AT,2016,8
5,2020.0,BE,2016,5
6,2020.0,BG,2016,1
7,2020.0,CH,2016,20
8,2020.0,CY,2016,2
9,2020.0,CZ,2016,2
10,2020.0,DE,2016,63
11,2020.0,DK,2016,8
12,2020.0,EE,2016,3
13,2020.0,EL,2016,6
14,2020.0,ES,2016,19
15,2020.0,FI,2016,1
16,2020.0,FR,2016,18
17,2020.0,HU,2016,1
18,2020.0,IE,2016,3
19,2020.0,IT,2016,43
20,2020.0,NL,2016,21
21,2020.0,NO,2016,3
22,2020.0,PL,2016,5
23,2020.0,RS,2016,1
24,2020.0,SE,2016,9
25,2020.0,SI,2016,2
26,2020.0,TR,2016,11
27,2020.0,UK,2016,103
28,2021.0,AT,2016,2
29,2021.0,BG,2016,1
30,2021.0,CH,2016,6
31,2021.0,DE,2016,13
32,2021.0,DK,2016,2
33,2021.0,ES,2016,1
34,2021.0,FR,2016,4
35,2021.0,IT,2016,3
36,2021.0,NL,2016,7
37,2021.0,PL,2016,1
38,2021.0,SE,2016,1
39,2021.0,TR,2016,3
40,2021.0,UK,2016,20
