year,region_type,region_year_spec,region_id,region_level,arxiv_count
150,2010,NUTS,2010,DE915,3,158
151,2010,NUTS,2010,DE916,3,4
152,2010,NUTS,2010,DE92,2,97
153,2010,NUTS,2010,DE929,3,97
154,2010,NUTS,2010,DE94,2,22
155,2010,NUTS,2010,DE943,3,20
156,2010,NUTS,2010,DE944,3,2
157,2010,NUTS,2010,DEA,1,1331
158,2010,NUTS,2010,DEA1,2,98
159,2010,NUTS,2010,DEA13,3,53
160,2010,NUTS,2010,DEA1A,3,45
161,2010,NUTS,2010,DEA2,2,873
162,2010,NUTS,2010,DEA22,3,325
163,2010,NUTS,2010,DEA23,3,259
164,2010,NUTS,2010,DEA26,3,121
165,2010,NUTS,2010,DEA2C,3,1
166,2010,NUTS,2010,DEA2D,3,167
167,2010,NUTS,2010,DEA3,2,33
168,2010,NUTS,2010,DEA33,3,33
169,2010,NUTS,2010,DEA4,2,149
170,2010,NUTS,2010,DEA41,3,108
171,2010,NUTS,2010,DEA47,3,41
172,2010,NUTS,2010,DEA5,2,178
173,2010,NUTS,2010,DEA51,3,150
174,2010,NUTS,2010,DEA52,3,14
175,2010,NUTS,2010,DEA5A,3,14
176,2010,NUTS,2010,DEB,1,116
177,2010,NUTS,2010,DEB2,2,7
178,2010,NUTS,2010,DEB21,3,7
179,2010,NUTS,2010,DEB3,2,109
180,2010,NUTS,2010,DEB32,3,53
181,2010,NUTS,2010,DEB33,3,3
182,2010,NUTS,2010,DEB35,3,53
183,2010,NUTS,2010,DEC,1,55
184,2010,NUTS,2010,DEC0,2,55
185,2010,NUTS,2010,DEC01,3,54
186,2010,NUTS,2010,DEC02,3,1
187,2010,NUTS,2010,DED,1,520
188,2010,NUTS,2010,DED2,2,82
189,2010,NUTS,2010,DED21,3,82
190,2010,NUTS,2010,DED4,2,367
191,2010,NUTS,2010,DED41,3,244
192,2010,NUTS,2010,DED43,3,123
193,2010,NUTS,2010,DED5,2,71
194,2010,NUTS,2010,DED51,3,71
195,2010,NUTS,2010,DEE,1,54
196,2010,NUTS,2010,DEE0,2,54
197,2010,NUTS,2010,DEE02,3,30
198,2010,NUTS,2010,DEE03,3,24
199,2010,NUTS,2010,DEF,1,25
200,2010,NUTS,2010,DEF0,2,25
201,2010,NUTS,2010,DEF02,3,18
202,2010,NUTS,2010,DEF03,3,4
203,2010,NUTS,2010,DEF09,3,3
204,2010,NUTS,2010,DEG,1,35
205,2010,NUTS,2010,DEG0,2,35
206,2010,NUTS,2010,DEG03,3,33
207,2010,NUTS,2010,DEG05,3,2
208,2010,NUTS,2010,DK,0,499
209,2010,NUTS,2010,DK0,1,499
210,2010,NUTS,2010,DK01,2,275
211,2010,NUTS,2010,DK011,3,201
212,2010,NUTS,2010,DK012,3,74
213,2010,NUTS,2010,DK02,2,15
214,2010,NUTS,2010,DK021,3,15
215,2010,NUTS,2010,DK03,2,32
216,2010,NUTS,2010,DK031,3,32
217,2010,NUTS,2010,DK04,2,158
218,2010,NUTS,2010,DK042,3,158
219,2010,NUTS,2010,DK05,2,19
220,2010,NUTS,2010,DK050,3,19
221,2010,NUTS,2010,EE,0,59
222,2010,NUTS,2010,EE0,1,59
223,2010,NUTS,2010,EE00,2,59
224,2010,NUTS,2010,EE001,3,24
225,2010,NUTS,2010,EE008,3,35
226,2010,NUTS,2010,EL,0,493
227,2010,NUTS,2010,EL1,1,51
228,2010,NUTS,2010,EL11,2,2
229,2010,NUTS,2010,EL112,3,2
230,2010,NUTS,2010,EL12,2,44
231,2010,NUTS,2010,EL122,3,43
232,2010,NUTS,2010,EL126,3,1
233,2010,NUTS,2010,EL13,2,2
234,2010,NUTS,2010,EL133,3,2
235,2010,NUTS,2010,EL14,2,3
236,2010,NUTS,2010,EL142,3,1
237,2010,NUTS,2010,EL143,3,2
238,2010,NUTS,2010,EL2,1,79
239,2010,NUTS,2010,EL21,2,37
240,2010,NUTS,2010,EL213,3,37
241,2010,NUTS,2010,EL22,2,1
242,2010,NUTS,2010,EL222,3,1
243,2010,NUTS,2010,EL23,2,40
244,2010,NUTS,2010,EL232,3,40
245,2010,NUTS,2010,EL25,2,1
246,2010,NUTS,2010,EL252,3,1
247,2010,NUTS,2010,EL3,1,224
248,2010,NUTS,2010,EL30,2,224
249,2010,NUTS,2010,EL300,3,224
250,2010,NUTS,2010,EL4,1,139
251,2010,NUTS,2010,EL41,2,24
252,2010,NUTS,2010,EL411,3,24
253,2010,NUTS,2010,EL43,2,115
254,2010,NUTS,2010,EL431,3,25
255,2010,NUTS,2010,EL433,3,88
256,2010,NUTS,2010,EL434,3,2
257,2010,NUTS,2010,ES,0,3751
258,2010,NUTS,2010,ES1,1,158
259,2010,NUTS,2010,ES11,2,96
260,2010,NUTS,2010,ES111,3,81
261,2010,NUTS,2010,ES114,3,15
262,2010,NUTS,2010,ES12,2,31
263,2010,NUTS,2010,ES120,3,31
264,2010,NUTS,2010,ES13,2,31
265,2010,NUTS,2010,ES130,3,31
266,2010,NUTS,2010,ES2,1,237
267,2010,NUTS,2010,ES21,2,149
268,2010,NUTS,2010,ES212,3,20
269,2010,NUTS,2010,ES213,3,129
270,2010,NUTS,2010,ES22,2,6
271,2010,NUTS,2010,ES220,3,6
272,2010,NUTS,2010,ES23,2,4
273,2010,NUTS,2010,ES230,3,4
274,2010,NUTS,2010,ES24,2,78
275,2010,NUTS,2010,ES243,3,78
276,2010,NUTS,2010,ES3,1,1707
277,2010,NUTS,2010,ES30,2,1707
278,2010,NUTS,2010,ES300,3,1707
279,2010,NUTS,2010,ES4,1,219
280,2010,NUTS,2010,ES41,2,181
281,2010,NUTS,2010,ES412,3,5
282,2010,NUTS,2010,ES413,3,106
283,2010,NUTS,2010,ES415,3,45
284,2010,NUTS,2010,ES418,3,25
285,2010,NUTS,2010,ES42,2,11
286,2010,NUTS,2010,ES421,3,11
287,2010,NUTS,2010,ES43,2,27
288,2010,NUTS,2010,ES432,3,27
289,2010,NUTS,2010,ES5,1,784
290,2010,NUTS,2010,ES51,2,500
291,2010,NUTS,2010,ES511,3,498
292,2010,NUTS,2010,ES512,3,1
293,2010,NUTS,2010,ES514,3,1
294,2010,NUTS,2010,ES52,2,277
295,2010,NUTS,2010,ES521,3,31
296,2010,NUTS,2010,ES522,3,10
297,2010,NUTS,2010,ES523,3,236
298,2010,NUTS,2010,ES53,2,7
299,2010,NUTS,2010,ES532,3,7
300,2010,NUTS,2010,ES6,1,406
301,2010,NUTS,2010,ES61,2,277
302,2010,NUTS,2010,ES611,3,10
303,2010,NUTS,2010,ES614,3,155
304,2010,NUTS,2010,ES615,3,12
305,2010,NUTS,2010,ES616,3,11
306,2010,NUTS,2010,ES617,3,13
307,2010,NUTS,2010,ES618,3,76
308,2010,NUTS,2010,ES62,2,129
309,2010,NUTS,2010,ES620,3,129
310,2010,NUTS,2010,ES7,1,240
311,2010,NUTS,2010,ES70,2,240
312,2010,NUTS,2010,ES705,3,1
313,2010,NUTS,2010,ES709,3,239
314,2010,NUTS,2010,FI,0,501
315,2010,NUTS,2010,FI1,1,501
316,2010,NUTS,2010,FI19,2,73
317,2010,NUTS,2010,FI193,3,73
318,2010,NUTS,2010,FI1B,2,297
319,2010,NUTS,2010,FI1B1,3,297
320,2010,NUTS,2010,FI1C,2,102
321,2010,NUTS,2010,FI1C1,3,96
322,2010,NUTS,2010,FI1C5,3,6
323,2010,NUTS,2010,FI1D,2,29
324,2010,NUTS,2010,FI1D2,3,3
325,2010,NUTS,2010,FI1D6,3,26
326,2010,NUTS,2010,FR,0,4604
327,2010,NUTS,2010,FR1,1,2848
328,2010,NUTS,2010,FR10,2,2848
329,2010,NUTS,2010,FR101,3,1429
330,2010,NUTS,2010,FR102,3,13
331,2010,NUTS,2010,FR103,3,223
332,2010,NUTS,2010,FR104,3,1139
333,2010,NUTS,2010,FR105,3,32
334,2010,NUTS,2010,FR106,3,3
335,2010,NUTS,2010,FR107,3,3
336,2010,NUTS,2010,FR108,3,6
337,2010,NUTS,2010,FR2,1,160
338,2010,NUTS,2010,FR21,2,2
339,2010,NUTS,2010,FR212,3,1
340,2010,NUTS,2010,FR213,3,1
341,2010,NUTS,2010,FR22,2,8
342,2010,NUTS,2010,FR223,3,8
343,2010,NUTS,2010,FR23,2,37
344,2010,NUTS,2010,FR232,3,37
345,2010,NUTS,2010,FR24,2,72
346,2010,NUTS,2010,FR244,3,43
347,2010,NUTS,2010,FR246,3,29
348,2010,NUTS,2010,FR25,2,9
349,2010,NUTS,2010,FR251,3,9
350,2010,NUTS,2010,FR26,2,32
351,2010,NUTS,2010,FR261,3,32
352,2010,NUTS,2010,FR3,1,45
353,2010,NUTS,2010,FR30,2,45
354,2010,NUTS,2010,FR301,3,45
355,2010,NUTS,2010,FR4,1,206
356,2010,NUTS,2010,FR41,2,13
357,2010,NUTS,2010,FR411,3,13
358,2010,NUTS,2010,FR42,2,164
359,2010,NUTS,2010,FR421,3,164
360,2010,NUTS,2010,FR43,2,29
361,2010,NUTS,2010,FR431,3,29
362,2010,NUTS,2010,FR5,1,332
363,2010,NUTS,2010,FR51,2,259
364,2010,NUTS,2010,FR511,3,70
365,2010,NUTS,2010,FR512,3,13
366,2010,NUTS,2010,FR514,3,176
367,2010,NUTS,2010,FR52,2,58
368,2010,NUTS,2010,FR522,3,3
369,2010,NUTS,2010,FR523,3,55
370,2010,NUTS,2010,FR53,2,15
371,2010,NUTS,2010,FR532,3,3
372,2010,NUTS,2010,FR534,3,12
373,2010,NUTS,2010,FR6,1,258
374,2010,NUTS,2010,FR61,2,199
375,2010,NUTS,2010,FR612,3,199
376,2010,NUTS,2010,FR62,2,55
377,2010,NUTS,2010,FR623,3,55
378,2010,NUTS,2010,FR63,2,4
379,2010,NUTS,2010,FR633,3,4
380,2010,NUTS,2010,FR7,1,589
381,2010,NUTS,2010,FR71,2,589
382,2010,NUTS,2010,FR714,3,263
383,2010,NUTS,2010,FR715,3,8
384,2010,NUTS,2010,FR716,3,205
385,2010,NUTS,2010,FR717,3,99
386,2010,NUTS,2010,FR718,3,14
387,2010,NUTS,2010,FR8,1,164
388,2010,NUTS,2010,FR81,2,157
389,2010,NUTS,2010,FR813,3,157
390,2010,NUTS,2010,FR82,2,7
391,2010,NUTS,2010,FR823,3,2
392,2010,NUTS,2010,FR824,3,1
393,2010,NUTS,2010,FR826,3,4
394,2010,NUTS,2010,FR9,1,2
395,2010,NUTS,2010,FR94,2,2
396,2010,NUTS,2010,FR940,3,2
397,2010,NUTS,2010,HR,0,90
398,2010,NUTS,2010,HR0,1,90
399,2010,NUTS,2010,HR03,2,26
400,2010,NUTS,2010,HR031,3,13
401,2010,NUTS,2010,HR035,3,13
402,2010,NUTS,2010,HR04,2,64
403,2010,NUTS,2010,HR041,3,61
404,2010,NUTS,2010,HR04B,3,3
405,2010,NUTS,2010,HU,0,467
406,2010,NUTS,2010,HU1,1,387
407,2010,NUTS,2010,HU10,2,387
408,2010,NUTS,2010,HU101,3,386
409,2010,NUTS,2010,HU102,3,1
410,2010,NUTS,2010,HU2,1,8
411,2010,NUTS,2010,HU21,2,2
412,2010,NUTS,2010,HU213,3,2
413,2010,NUTS,2010,HU23,2,6
414,2010,NUTS,2010,HU231,3,6
415,2010,NUTS,2010,HU3,1,72
416,2010,NUTS,2010,HU31,2,2
417,2010,NUTS,2010,HU311,3,2
418,2010,NUTS,2010,HU32,2,32
419,2010,NUTS,2010,HU321,3,32
420,2010,NUTS,2010,HU33,2,38
421,2010,NUTS,2010,HU333,3,38
422,2010,NUTS,2010,IE,0,320
423,2010,NUTS,2010,IE0,1,320
424,2010,NUTS,2010,IE01,2,33
425,2010,NUTS,2010,IE013,3,33
426,2010,NUTS,2010,IE02,2,287
427,2010,NUTS,2010,IE021,3,182
428,2010,NUTS,2010,IE022,3,35
429,2010,NUTS,2010,IE023,3,43
430,2010,NUTS,2010,IE024,3,1
431,2010,NUTS,2010,IE025,3,26
432,2010,NUTS,2010,IS,0,77
433,2010,NUTS,2010,IS0,1,77
434,2010,NUTS,2010,IS00,2,77
435,2010,NUTS,2010,IS001,3,74
436,2010,NUTS,2010,IS002,3,3
437,2010,NUTS,2010,IT,0,4378
