,year,nuts_id,nuts_year_spec,detection_sequencing_count
0,2020.0,AT,2016,1
1,2020.0,BE,2016,2
2,2020.0,CH,2016,14
3,2020.0,CY,2016,1
4,2020.0,DE,2016,16
5,2020.0,EL,2016,1
6,2020.0,ES,2016,10
7,2020.0,FI,2016,1
8,2020.0,FR,2016,10
9,2020.0,HU,2016,4
10,2020.0,IT,2016,19
11,2020.0,LT,2016,2
12,2020.0,NL,2016,6
13,2020.0,NO,2016,4
14,2020.0,PL,2016,2
15,2020.0,RO,2016,1
16,2020.0,SE,2016,3
17,2020.0,SI,2016,1
18,2020.0,TR,2016,5
19,2020.0,UK,2016,39
20,2021.0,AT,2016,1
21,2021.0,CH,2016,4
22,2021.0,DE,2016,3
23,2021.0,ES,2016,5
24,2021.0,FR,2016,2
25,2021.0,NL,2016,5
26,2021.0,SK,2016,2
27,2021.0,TR,2016,9
28,2021.0,UK,2016,9
