,year,nuts_id,nuts_year_spec,lockdown_social_distancing_2_count
0,2020.0,BE1,2016,2
1,2020.0,BE2,2016,14
2,2020.0,BE3,2016,2
3,2020.0,CH0,2016,24
4,2020.0,CY0,2016,2
5,2020.0,CZ0,2016,1
6,2020.0,DE1,2016,2
7,2020.0,DE2,2016,8
8,2020.0,DE3,2016,4
9,2020.0,DE7,2016,1
10,2020.0,DEA,2016,7
11,2020.0,DED,2016,1
12,2020.0,DK0,2016,15
13,2020.0,EL3,2016,4
14,2020.0,EL4,2016,1
15,2020.0,ES1,2016,1
16,2020.0,ES2,2016,2
17,2020.0,ES3,2016,4
18,2020.0,ES4,2016,2
19,2020.0,ES5,2016,4
20,2020.0,ES6,2016,2
21,2020.0,FR1,2016,7
22,2020.0,FRI,2016,1
23,2020.0,FRJ,2016,1
24,2020.0,FRK,2016,1
25,2020.0,FRL,2016,2
26,2020.0,HU1,2016,1
27,2020.0,HU3,2016,1
28,2020.0,IE0,2016,9
29,2020.0,IS0,2016,1
30,2020.0,ITC,2016,16
31,2020.0,ITF,2016,2
32,2020.0,ITH,2016,5
33,2020.0,ITI,2016,3
34,2020.0,NL2,2016,4
35,2020.0,NL3,2016,16
36,2020.0,NL4,2016,1
37,2020.0,NO0,2016,6
38,2020.0,PL2,2016,2
39,2020.0,PL7,2016,1
40,2020.0,PL8,2016,1
41,2020.0,PL9,2016,1
42,2020.0,SE1,2016,12
43,2020.0,SI0,2016,2
44,2020.0,SK0,2016,1
45,2020.0,TR1,2016,1
46,2020.0,TR5,2016,2
47,2020.0,TR7,2016,1
48,2020.0,TR8,2016,1
49,2020.0,UKD,2016,8
50,2020.0,UKE,2016,2
51,2020.0,UKF,2016,3
52,2020.0,UKG,2016,10
53,2020.0,UKH,2016,22
54,2020.0,UKI,2016,69
55,2020.0,UKJ,2016,33
56,2020.0,UKK,2016,14
57,2020.0,UKL,2016,3
58,2020.0,UKM,2016,11
59,2021.0,AT1,2016,4
60,2021.0,AT2,2016,2
61,2021.0,AT3,2016,2
62,2021.0,BE1,2016,1
63,2021.0,CY0,2016,3
64,2021.0,DE2,2016,3
65,2021.0,DE3,2016,3
66,2021.0,DE4,2016,1
67,2021.0,DK0,2016,2
68,2021.0,EL3,2016,1
69,2021.0,ES3,2016,3
70,2021.0,FRH,2016,1
71,2021.0,FRK,2016,2
72,2021.0,NO0,2016,1
73,2021.0,PT1,2016,1
74,2021.0,SI0,2016,1
75,2021.0,UKD,2016,3
76,2021.0,UKH,2016,2
77,2021.0,UKI,2016,6
78,2021.0,UKK,2016,2
79,2021.0,UKL,2016,1
80,2021.0,UKM,2016,5
