,year,nuts_id,nuts_year_spec,deep_learning_count
0,2000.0,DE,2016,1
1,2000.0,EL,2016,1
2,2000.0,FR,2016,1
3,2000.0,UK,2016,2
4,2001.0,BE,2016,2
5,2001.0,CH,2016,1
6,2001.0,DE,2016,1
7,2001.0,IE,2016,1
8,2001.0,NL,2016,1
9,2002.0,DE,2016,1
10,2002.0,FR,2016,2
11,2002.0,IT,2016,2
12,2002.0,UK,2016,1
13,2003.0,DE,2016,4
14,2003.0,IT,2016,2
15,2003.0,UK,2016,4
16,2004.0,CH,2016,1
17,2004.0,DE,2016,1
18,2004.0,IT,2016,2
19,2004.0,PT,2016,1
20,2004.0,SE,2016,2
21,2004.0,UK,2016,1
22,2005.0,ES,2016,1
23,2005.0,FR,2016,1
24,2005.0,IT,2016,3
25,2005.0,UK,2016,6
26,2006.0,DE,2016,1
27,2006.0,EL,2016,2
28,2006.0,FR,2016,1
29,2006.0,UK,2016,3
30,2007.0,BE,2016,3
31,2007.0,CH,2016,3
32,2007.0,DE,2016,1
33,2007.0,ES,2016,5
34,2007.0,FR,2016,14
35,2007.0,IE,2016,1
36,2007.0,IT,2016,5
37,2007.0,UK,2016,5
38,2008.0,AT,2016,1
39,2008.0,CH,2016,2
40,2008.0,DE,2016,2
41,2008.0,EL,2016,2
42,2008.0,FR,2016,8
43,2008.0,HU,2016,1
44,2008.0,IT,2016,2
45,2008.0,LU,2016,1
46,2008.0,NL,2016,1
47,2008.0,SI,2016,1
48,2008.0,UK,2016,8
49,2009.0,AT,2016,1
50,2009.0,CZ,2016,1
51,2009.0,DE,2016,2
52,2009.0,EL,2016,3
53,2009.0,ES,2016,2
54,2009.0,FR,2016,8
55,2009.0,IT,2016,3
56,2009.0,NL,2016,1
57,2009.0,PL,2016,1
58,2009.0,SE,2016,1
59,2009.0,SI,2016,1
60,2009.0,UK,2016,5
61,2010.0,AT,2016,1
62,2010.0,BE,2016,1
63,2010.0,CH,2016,2
64,2010.0,DE,2016,4
65,2010.0,EL,2016,1
66,2010.0,FI,2016,1
67,2010.0,FR,2016,4
68,2010.0,HU,2016,1
69,2010.0,IT,2016,1
70,2010.0,PL,2016,1
71,2010.0,PT,2016,2
72,2010.0,TR,2016,1
73,2010.0,UK,2016,4
74,2011.0,BE,2016,2
75,2011.0,CH,2016,2
76,2011.0,DE,2016,5
77,2011.0,ES,2016,2
78,2011.0,FI,2016,1
79,2011.0,FR,2016,8
80,2011.0,IT,2016,5
81,2011.0,NL,2016,2
82,2011.0,PT,2016,2
83,2011.0,RO,2016,2
84,2011.0,SE,2016,1
85,2011.0,UK,2016,5
86,2012.0,AT,2016,1
87,2012.0,BE,2016,5
88,2012.0,CH,2016,10
