,year,nuts_id,nuts_year_spec,vaccines_count
0,2020.0,BE1,2016,1
1,2020.0,BE2,2016,6
2,2020.0,CH0,2016,3
3,2020.0,DE9,2016,1
4,2020.0,FRF,2016,1
5,2020.0,ITI,2016,1
6,2020.0,NL2,2016,1
7,2020.0,NL3,2016,3
8,2020.0,PL9,2016,1
9,2020.0,SE1,2016,5
10,2020.0,UKC,2016,1
11,2020.0,UKD,2016,3
12,2020.0,UKE,2016,1
13,2020.0,UKF,2016,2
14,2020.0,UKG,2016,2
15,2020.0,UKH,2016,8
16,2020.0,UKI,2016,5
17,2020.0,UKJ,2016,7
18,2020.0,UKK,2016,3
19,2020.0,UKL,2016,1
20,2020.0,UKM,2016,10
21,2021.0,FI1,2016,1
22,2021.0,ITC,2016,1
23,2021.0,UKH,2016,2
24,2021.0,UKI,2016,2
25,2021.0,UKJ,2016,4
