,year,nuts_id,nuts_year_spec,airborne_count
0,2020.0,AT,2016,2
1,2020.0,BE,2016,8
2,2020.0,BG,2016,1
3,2020.0,CH,2016,8
4,2020.0,CY,2016,1
5,2020.0,DE,2016,25
6,2020.0,EE,2016,1
7,2020.0,EL,2016,1
8,2020.0,ES,2016,2
9,2020.0,FR,2016,7
10,2020.0,IS,2016,2
11,2020.0,IT,2016,20
12,2020.0,LU,2016,1
13,2020.0,NL,2016,12
14,2020.0,NO,2016,2
15,2020.0,SE,2016,1
16,2020.0,UK,2016,53
17,2021.0,BE,2016,3
18,2021.0,CH,2016,1
19,2021.0,DE,2016,3
20,2021.0,FR,2016,2
21,2021.0,IS,2016,1
22,2021.0,IT,2016,1
23,2021.0,NL,2016,2
24,2021.0,UK,2016,6
