year,region_type,region_year_spec,region_id,region_level,genetic_analysis_count
0,2015,NUTS,2013,UK,0,1
1,2015,NUTS,2013,UKM,1,1
2,2015,NUTS,2013,UKM2,2,1
3,2015,NUTS,2013,UKM25,3,1
4,2017,NUTS,2016,UK,0,2
5,2017,NUTS,2016,UKJ,1,1
6,2017,NUTS,2016,UKJ1,2,1
7,2017,NUTS,2016,UKJ11,3,1
8,2017,NUTS,2016,UKM,1,1
9,2017,NUTS,2016,UKM7,2,1
10,2017,NUTS,2016,UKM75,3,1
11,2018,NUTS,2016,NL,0,1
12,2018,NUTS,2016,NL3,1,1
13,2018,NUTS,2016,NL33,2,1
14,2018,NUTS,2016,NL337,3,1
15,2019,NUTS,2016,FR,0,1
16,2019,NUTS,2016,FR1,1,1
17,2019,NUTS,2016,FR10,2,1
18,2019,NUTS,2016,FR101,3,1
19,2020,NUTS,2016,AT,0,8
20,2020,NUTS,2016,AT1,1,6
21,2020,NUTS,2016,AT13,2,6
22,2020,NUTS,2016,AT130,3,6
23,2020,NUTS,2016,AT3,1,2
24,2020,NUTS,2016,AT33,2,2
25,2020,NUTS,2016,AT332,3,2
26,2020,NUTS,2016,BE,0,5
27,2020,NUTS,2016,BE1,1,1
28,2020,NUTS,2016,BE10,2,1
29,2020,NUTS,2016,BE100,3,1
30,2020,NUTS,2016,BE2,1,3
31,2020,NUTS,2016,BE21,2,1
32,2020,NUTS,2016,BE213,3,1
33,2020,NUTS,2016,BE23,2,2
34,2020,NUTS,2016,BE234,3,2
35,2020,NUTS,2016,BE3,1,1
36,2020,NUTS,2016,BE33,2,1
37,2020,NUTS,2016,BE332,3,1
38,2020,NUTS,2016,BG,0,1
39,2020,NUTS,2016,BG4,1,1
40,2020,NUTS,2016,BG41,2,1
41,2020,NUTS,2016,BG411,3,1
42,2020,NUTS,2016,CH,0,20
43,2020,NUTS,2016,CH0,1,20
44,2020,NUTS,2016,CH01,2,5
45,2020,NUTS,2016,CH011,3,1
46,2020,NUTS,2016,CH013,3,4
47,2020,NUTS,2016,CH02,2,6
48,2020,NUTS,2016,CH021,3,6
49,2020,NUTS,2016,CH03,2,2
50,2020,NUTS,2016,CH031,3,2
51,2020,NUTS,2016,CH04,2,7
52,2020,NUTS,2016,CH040,3,7
53,2020,NUTS,2016,CY,0,2
54,2020,NUTS,2016,CY0,1,2
55,2020,NUTS,2016,CY00,2,2
56,2020,NUTS,2016,CY000,3,2
57,2020,NUTS,2016,CZ,0,2
58,2020,NUTS,2016,CZ0,1,2
59,2020,NUTS,2016,CZ01,2,1
60,2020,NUTS,2016,CZ010,3,1
61,2020,NUTS,2016,CZ08,2,1
62,2020,NUTS,2016,CZ080,3,1
63,2020,NUTS,2016,DE,0,63
64,2020,NUTS,2016,DE1,1,5
65,2020,NUTS,2016,DE12,2,2
66,2020,NUTS,2016,DE125,3,2
67,2020,NUTS,2016,DE14,2,3
68,2020,NUTS,2016,DE142,3,2
69,2020,NUTS,2016,DE144,3,1
70,2020,NUTS,2016,DE2,1,13
71,2020,NUTS,2016,DE21,2,13
72,2020,NUTS,2016,DE212,3,12
73,2020,NUTS,2016,DE21B,3,1
74,2020,NUTS,2016,DE3,1,14
75,2020,NUTS,2016,DE30,2,14
76,2020,NUTS,2016,DE300,3,14
77,2020,NUTS,2016,DE4,1,1
78,2020,NUTS,2016,DE40,2,1
79,2020,NUTS,2016,DE404,3,1
80,2020,NUTS,2016,DE7,1,11
81,2020,NUTS,2016,DE71,2,8
82,2020,NUTS,2016,DE712,3,5
83,2020,NUTS,2016,DE71C,3,3
84,2020,NUTS,2016,DE72,2,3
85,2020,NUTS,2016,DE721,3,3
86,2020,NUTS,2016,DE9,1,4
87,2020,NUTS,2016,DE91,2,4
88,2020,NUTS,2016,DE911,3,2
89,2020,NUTS,2016,DE91C,3,2
90,2020,NUTS,2016,DEA,1,9
91,2020,NUTS,2016,DEA2,2,8
92,2020,NUTS,2016,DEA22,3,4
93,2020,NUTS,2016,DEA23,3,3
94,2020,NUTS,2016,DEA26,3,1
95,2020,NUTS,2016,DEA3,2,1
96,2020,NUTS,2016,DEA33,3,1
97,2020,NUTS,2016,DED,1,3
98,2020,NUTS,2016,DED4,2,3
99,2020,NUTS,2016,DED41,3,3
100,2020,NUTS,2016,DEE,1,3
101,2020,NUTS,2016,DEE0,2,3
102,2020,NUTS,2016,DEE02,3,1
103,2020,NUTS,2016,DEE03,3,2
104,2020,NUTS,2016,DK,0,8
105,2020,NUTS,2016,DK0,1,8
106,2020,NUTS,2016,DK01,2,8
107,2020,NUTS,2016,DK011,3,4
108,2020,NUTS,2016,DK012,3,4
109,2020,NUTS,2016,EE,0,3
110,2020,NUTS,2016,EE0,1,3
111,2020,NUTS,2016,EE00,2,3
112,2020,NUTS,2016,EE001,3,1
113,2020,NUTS,2016,EE008,3,2
114,2020,NUTS,2016,EL,0,6
115,2020,NUTS,2016,EL3,1,3
116,2020,NUTS,2016,EL30,2,3
117,2020,NUTS,2016,EL303,3,3
118,2020,NUTS,2016,EL4,1,2
119,2020,NUTS,2016,EL43,2,2
120,2020,NUTS,2016,EL431,3,1
121,2020,NUTS,2016,EL433,3,1
122,2020,NUTS,2016,EL6,1,1
123,2020,NUTS,2016,EL63,2,1
124,2020,NUTS,2016,EL632,3,1
125,2020,NUTS,2016,ES,0,19
126,2020,NUTS,2016,ES2,1,5
127,2020,NUTS,2016,ES21,2,4
128,2020,NUTS,2016,ES213,3,4
129,2020,NUTS,2016,ES23,2,1
130,2020,NUTS,2016,ES230,3,1
131,2020,NUTS,2016,ES3,1,9
132,2020,NUTS,2016,ES30,2,9
133,2020,NUTS,2016,ES300,3,9
134,2020,NUTS,2016,ES5,1,4
135,2020,NUTS,2016,ES51,2,3
136,2020,NUTS,2016,ES511,3,3
137,2020,NUTS,2016,ES52,2,1
138,2020,NUTS,2016,ES523,3,1
139,2020,NUTS,2016,ES6,1,1
140,2020,NUTS,2016,ES62,2,1
141,2020,NUTS,2016,ES620,3,1
142,2020,NUTS,2016,FI,0,1
143,2020,NUTS,2016,FI1,1,1
144,2020,NUTS,2016,FI1B,2,1
145,2020,NUTS,2016,FI1B1,3,1
146,2020,NUTS,2016,FR,0,18
147,2020,NUTS,2016,FR1,1,9
148,2020,NUTS,2016,FR10,2,9
149,2020,NUTS,2016,FR101,3,5
150,2020,NUTS,2016,FR104,3,4
151,2020,NUTS,2016,FRB,1,1
152,2020,NUTS,2016,FRB0,2,1
153,2020,NUTS,2016,FRB04,3,1
154,2020,NUTS,2016,FRE,1,1
155,2020,NUTS,2016,FRE1,2,1
156,2020,NUTS,2016,FRE11,3,1
157,2020,NUTS,2016,FRF,1,2
158,2020,NUTS,2016,FRF1,2,1
159,2020,NUTS,2016,FRF11,3,1
160,2020,NUTS,2016,FRF3,2,1
161,2020,NUTS,2016,FRF31,3,1
162,2020,NUTS,2016,FRG,1,2
163,2020,NUTS,2016,FRG0,2,2
164,2020,NUTS,2016,FRG01,3,1
165,2020,NUTS,2016,FRG04,3,1
166,2020,NUTS,2016,FRJ,1,1
167,2020,NUTS,2016,FRJ1,2,1
168,2020,NUTS,2016,FRJ13,3,1
169,2020,NUTS,2016,FRL,1,1
170,2020,NUTS,2016,FRL0,2,1
171,2020,NUTS,2016,FRL04,3,1
172,2020,NUTS,2016,FRY,1,1
173,2020,NUTS,2016,FRY4,2,1
174,2020,NUTS,2016,FRY40,3,1
175,2020,NUTS,2016,HU,0,1
176,2020,NUTS,2016,HU1,1,1
177,2020,NUTS,2016,HU11,2,1
178,2020,NUTS,2016,HU110,3,1
179,2020,NUTS,2016,IE,0,3
180,2020,NUTS,2016,IE0,1,3
181,2020,NUTS,2016,IE05,2,1
182,2020,NUTS,2016,IE051,3,1
183,2020,NUTS,2016,IE06,2,2
184,2020,NUTS,2016,IE061,3,1
185,2020,NUTS,2016,IE062,3,1
186,2020,NUTS,2016,IT,0,43
187,2020,NUTS,2016,ITC,1,9
188,2020,NUTS,2016,ITC1,2,2
189,2020,NUTS,2016,ITC11,3,2
190,2020,NUTS,2016,ITC4,2,7
191,2020,NUTS,2016,ITC48,3,2
192,2020,NUTS,2016,ITC4C,3,5
193,2020,NUTS,2016,ITF,1,3
194,2020,NUTS,2016,ITF3,2,1
195,2020,NUTS,2016,ITF33,3,1
196,2020,NUTS,2016,ITF4,2,2
197,2020,NUTS,2016,ITF47,3,2
198,2020,NUTS,2016,ITG,1,2
199,2020,NUTS,2016,ITG1,2,2
200,2020,NUTS,2016,ITG17,3,2
201,2020,NUTS,2016,ITH,1,13
202,2020,NUTS,2016,ITH2,2,1
203,2020,NUTS,2016,ITH20,3,1
204,2020,NUTS,2016,ITH3,2,5
205,2020,NUTS,2016,ITH36,3,5
206,2020,NUTS,2016,ITH4,2,1
207,2020,NUTS,2016,ITH44,3,1
208,2020,NUTS,2016,ITH5,2,6
209,2020,NUTS,2016,ITH55,3,4
