,year,nuts_id,nuts_year_spec,antibodies_count
0,2020.0,AT,2016,3
1,2020.0,BE,2016,3
2,2020.0,CH,2016,14
3,2020.0,DE,2016,44
4,2020.0,DK,2016,5
5,2020.0,EL,2016,2
6,2020.0,ES,2016,17
7,2020.0,FI,2016,2
8,2020.0,FR,2016,12
9,2020.0,IS,2016,3
10,2020.0,IT,2016,18
11,2020.0,NL,2016,13
12,2020.0,SE,2016,18
13,2020.0,UK,2016,85
14,2021.0,AT,2016,6
15,2021.0,CH,2016,1
16,2021.0,CY,2016,1
17,2021.0,DE,2016,5
18,2021.0,DK,2016,1
19,2021.0,ES,2016,2
20,2021.0,FI,2016,1
21,2021.0,IE,2016,1
22,2021.0,NL,2016,4
23,2021.0,SE,2016,5
24,2021.0,UK,2016,4
