,year,nuts_id,nuts_year_spec,lockdown_social_distancing_2_count
0,2020.0,BE100,2016,2
1,2020.0,BE211,2016,9
2,2020.0,BE221,2016,4
3,2020.0,BE234,2016,1
4,2020.0,BE310,2016,1
5,2020.0,BE323,2016,1
6,2020.0,CH011,2016,3
7,2020.0,CH013,2016,5
8,2020.0,CH021,2016,5
9,2020.0,CH040,2016,10
10,2020.0,CH055,2016,1
11,2020.0,CY000,2016,2
12,2020.0,CZ010,2016,1
13,2020.0,DE125,2016,1
14,2020.0,DE126,2016,1
15,2020.0,DE212,2016,8
16,2020.0,DE300,2016,4
17,2020.0,DE712,2016,1
18,2020.0,DEA13,2016,2
19,2020.0,DEA22,2016,1
20,2020.0,DEA26,2016,1
21,2020.0,DEA33,2016,1
22,2020.0,DEA47,2016,2
23,2020.0,DED41,2016,1
24,2020.0,DK011,2016,11
25,2020.0,DK021,2016,2
26,2020.0,DK031,2016,2
27,2020.0,EL303,2016,4
28,2020.0,EL433,2016,1
29,2020.0,ES111,2016,1
30,2020.0,ES213,2016,1
31,2020.0,ES243,2016,1
32,2020.0,ES300,2016,4
33,2020.0,ES413,2016,2
34,2020.0,ES511,2016,3
35,2020.0,ES521,2016,1
36,2020.0,ES620,2016,2
37,2020.0,FR101,2016,4
38,2020.0,FR104,2016,3
39,2020.0,FRI12,2016,1
40,2020.0,FRJ13,2016,1
41,2020.0,FRK26,2016,1
42,2020.0,FRL04,2016,2
43,2020.0,HU110,2016,1
44,2020.0,HU333,2016,1
45,2020.0,IE053,2016,1
46,2020.0,IE061,2016,8
47,2020.0,IS001,2016,1
48,2020.0,ITC11,2016,6
49,2020.0,ITC41,2016,1
50,2020.0,ITC46,2016,2
51,2020.0,ITC4C,2016,7
52,2020.0,ITF33,2016,1
53,2020.0,ITF47,2016,1
54,2020.0,ITH20,2016,1
55,2020.0,ITH36,2016,3
56,2020.0,ITH44,2016,1
57,2020.0,ITI14,2016,1
58,2020.0,ITI43,2016,2
59,2020.0,NL221,2016,2
60,2020.0,NL226,2016,2
61,2020.0,NL310,2016,8
62,2020.0,NL333,2016,2
63,2020.0,NL337,2016,3
64,2020.0,NL33C,2016,3
65,2020.0,NL414,2016,1
66,2020.0,NO011,2016,2
67,2020.0,NO012,2016,1
68,2020.0,NO032,2016,1
69,2020.0,NO051,2016,1
70,2020.0,NO072,2016,1
71,2020.0,PL213,2016,1
72,2020.0,PL22A,2016,1
73,2020.0,PL721,2016,1
74,2020.0,PL841,2016,1
75,2020.0,PL911,2016,1
76,2020.0,SE110,2016,10
77,2020.0,SE121,2016,2
78,2020.0,SI041,2016,2
79,2020.0,SK042,2016,1
80,2020.0,TR100,2016,1
81,2020.0,TR510,2016,2
82,2020.0,TR722,2016,1
83,2020.0,TR832,2016,1
84,2020.0,UKD33,2016,3
85,2020.0,UKD44,2016,3
86,2020.0,UKD72,2016,2
87,2020.0,UKE21,2016,1
88,2020.0,UKE42,2016,1
89,2020.0,UKF14,2016,2
90,2020.0,UKF24,2016,1
91,2020.0,UKG13,2016,9
92,2020.0,UKG33,2016,1
93,2020.0,UKH12,2016,8
94,2020.0,UKH17,2016,2
95,2020.0,UKH23,2016,11
96,2020.0,UKH34,2016,1
97,2020.0,UKI31,2016,39
98,2020.0,UKI32,2016,5
99,2020.0,UKI33,2016,24
100,2020.0,UKI44,2016,1
101,2020.0,UKJ14,2016,25
102,2020.0,UKJ22,2016,3
103,2020.0,UKJ25,2016,1
104,2020.0,UKJ32,2016,4
105,2020.0,UKK11,2016,7
106,2020.0,UKK12,2016,1
107,2020.0,UKK21,2016,1
108,2020.0,UKK43,2016,5
109,2020.0,UKL12,2016,1
110,2020.0,UKL18,2016,2
111,2020.0,UKM72,2016,2
112,2020.0,UKM75,2016,6
113,2020.0,UKM82,2016,3
114,2021.0,AT130,2016,4
115,2021.0,AT221,2016,2
116,2021.0,AT312,2016,1
117,2021.0,AT332,2016,1
118,2021.0,BE100,2016,1
119,2021.0,CY000,2016,3
120,2021.0,DE212,2016,3
121,2021.0,DE300,2016,3
122,2021.0,DE404,2016,1
123,2021.0,DK011,2016,2
124,2021.0,EL303,2016,1
125,2021.0,ES300,2016,3
126,2021.0,FRH03,2016,1
127,2021.0,FRK26,2016,2
128,2021.0,NO043,2016,1
129,2021.0,PT119,2016,1
130,2021.0,SI041,2016,1
131,2021.0,UKD33,2016,2
132,2021.0,UKD72,2016,1
133,2021.0,UKH12,2016,2
134,2021.0,UKI31,2016,3
135,2021.0,UKI32,2016,1
136,2021.0,UKI33,2016,1
137,2021.0,UKI51,2016,1
138,2021.0,UKK11,2016,1
139,2021.0,UKK43,2016,1
140,2021.0,UKL18,2016,1
141,2021.0,UKM75,2016,1
142,2021.0,UKM82,2016,4
