,year,nuts_id,nuts_year_spec,biorxiv_count
0,2011.0,SE1,2016,1
1,2011.0,UKJ,2016,1
2,2012.0,ITH,2016,1
3,2012.0,SE2,2016,1
4,2013.0,CH0,2016,1
5,2013.0,DE1,2016,2
6,2013.0,DE2,2016,4
7,2013.0,DE3,2016,1
8,2013.0,DEA,2016,1
9,2013.0,DED,2016,1
10,2013.0,ES3,2016,1
11,2013.0,FR1,2016,3
12,2013.0,IE0,2016,1
13,2013.0,ITC,2016,1
14,2013.0,ITH,2016,1
15,2013.0,ITI,2016,2
16,2013.0,SE2,2016,2
17,2013.0,TR6,2016,1
18,2013.0,UKC,2016,1
19,2013.0,UKE,2016,3
20,2013.0,UKF,2016,1
21,2013.0,UKH,2016,5
22,2013.0,UKI,2016,5
23,2013.0,UKJ,2016,3
24,2013.0,UKK,2016,1
25,2013.0,UKM,2016,2
26,2014.0,AT1,2016,6
27,2014.0,AT3,2016,1
28,2014.0,BE2,2016,3
29,2014.0,BE3,2016,2
30,2014.0,CH0,2016,49
31,2014.0,CZ0,2016,2
32,2014.0,DE1,2016,12
33,2014.0,DE2,2016,40
34,2014.0,DE3,2016,2
35,2014.0,DE7,2016,4
36,2014.0,DEA,2016,4
37,2014.0,DED,2016,8
38,2014.0,DK0,2016,10
39,2014.0,EE0,2016,7
40,2014.0,ES1,2016,7
41,2014.0,ES3,2016,7
42,2014.0,ES4,2016,5
43,2014.0,ES5,2016,19
44,2014.0,ES6,2016,2
45,2014.0,FI1,2016,11
46,2014.0,FR1,2016,7
47,2014.0,FRF,2016,1
48,2014.0,FRG,2016,4
49,2014.0,FRH,2016,1
50,2014.0,FRJ,2016,3
51,2014.0,HR0,2016,3
52,2014.0,HU1,2016,4
53,2014.0,HU2,2016,2
54,2014.0,HU3,2016,2
55,2014.0,IE0,2016,1
56,2014.0,IS0,2016,5
57,2014.0,ITC,2016,7
58,2014.0,ITF,2016,1
59,2014.0,ITH,2016,5
60,2014.0,ITI,2016,10
61,2014.0,LT0,2016,1
62,2014.0,NL1,2016,6
63,2014.0,NL2,2016,6
64,2014.0,NL3,2016,7
65,2014.0,NL4,2016,1
66,2014.0,NO0,2016,4
67,2014.0,PT1,2016,6
68,2014.0,RO1,2016,1
69,2014.0,SE1,2016,24
70,2014.0,SE2,2016,8
71,2014.0,SK0,2016,1
72,2014.0,TR1,2016,1
73,2014.0,TR5,2016,2
74,2014.0,TR6,2016,1
75,2014.0,TR7,2016,1
76,2014.0,TR8,2016,1
77,2014.0,UKC,2016,1
78,2014.0,UKD,2016,6
79,2014.0,UKE,2016,4
80,2014.0,UKF,2016,7
81,2014.0,UKG,2016,13
82,2014.0,UKH,2016,66
83,2014.0,UKI,2016,18
84,2014.0,UKJ,2016,27
85,2014.0,UKK,2016,11
86,2014.0,UKL,2016,9
87,2014.0,UKM,2016,14
88,2014.0,UKN,2016,1
89,2015.0,AT1,2016,22
90,2015.0,AT2,2016,1
91,2015.0,AT3,2016,1
92,2015.0,BE1,2016,5
93,2015.0,BE2,2016,5
94,2015.0,BE3,2016,3
95,2015.0,BG4,2016,2
96,2015.0,CH0,2016,69
97,2015.0,CY0,2016,3
98,2015.0,CZ0,2016,6
99,2015.0,DE1,2016,36
100,2015.0,DE2,2016,56
101,2015.0,DE3,2016,20
102,2015.0,DE4,2016,1
103,2015.0,DE5,2016,1
104,2015.0,DE6,2016,12
105,2015.0,DE7,2016,7
106,2015.0,DE8,2016,2
107,2015.0,DE9,2016,7
108,2015.0,DEA,2016,13
109,2015.0,DEB,2016,1
110,2015.0,DED,2016,11
111,2015.0,DEE,2016,2
112,2015.0,DK0,2016,44
113,2015.0,EE0,2016,4
114,2015.0,EL3,2016,2
115,2015.0,EL4,2016,1
116,2015.0,EL5,2016,3
117,2015.0,EL6,2016,1
118,2015.0,ES1,2016,6
119,2015.0,ES2,2016,2
120,2015.0,ES3,2016,25
121,2015.0,ES4,2016,10
122,2015.0,ES5,2016,23
123,2015.0,ES6,2016,1
124,2015.0,FI1,2016,25
125,2015.0,FR1,2016,33
