,year,nuts_id,nuts_year_spec,indirect_impacts_count
0,2020.0,AT,2016,5
1,2020.0,BE,2016,1
2,2020.0,CH,2016,2
3,2020.0,CY,2016,1
4,2020.0,DE,2016,19
5,2020.0,DK,2016,4
6,2020.0,EL,2016,1
7,2020.0,ES,2016,10
8,2020.0,FI,2016,1
9,2020.0,FR,2016,3
10,2020.0,HR,2016,2
11,2020.0,IE,2016,6
12,2020.0,IT,2016,12
13,2020.0,NL,2016,13
14,2020.0,NO,2016,4
15,2020.0,PL,2016,5
16,2020.0,PT,2016,6
17,2020.0,SE,2016,4
18,2020.0,TR,2016,3
19,2020.0,UK,2016,162
20,2021.0,DE,2016,1
21,2021.0,DK,2016,1
22,2021.0,NO,2016,1
23,2021.0,UK,2016,10
