,year,nuts_id,nuts_year_spec,lockdown_social_distancing_count
0,2019.0,FR,2016,1
1,2020.0,AT,2016,19
2,2020.0,BE,2016,11
3,2020.0,BG,2016,1
4,2020.0,CH,2016,28
5,2020.0,CY,2016,2
6,2020.0,CZ,2016,3
7,2020.0,DE,2016,76
8,2020.0,DK,2016,13
9,2020.0,EL,2016,6
10,2020.0,ES,2016,35
11,2020.0,FI,2016,3
12,2020.0,FR,2016,38
13,2020.0,HR,2016,1
14,2020.0,HU,2016,7
15,2020.0,IE,2016,8
16,2020.0,IS,2016,3
17,2020.0,IT,2016,62
18,2020.0,LU,2016,2
19,2020.0,MK,2016,3
20,2020.0,NL,2016,11
21,2020.0,NO,2016,3
22,2020.0,PL,2016,8
23,2020.0,PT,2016,12
24,2020.0,SE,2016,22
25,2020.0,SK,2016,1
26,2020.0,TR,2016,6
27,2020.0,UK,2016,216
28,2021.0,AT,2016,1
29,2021.0,BE,2016,3
30,2021.0,BG,2016,2
31,2021.0,CH,2016,8
32,2021.0,DE,2016,7
33,2021.0,DK,2016,4
34,2021.0,ES,2016,4
35,2021.0,FR,2016,7
36,2021.0,IT,2016,12
37,2021.0,LU,2016,1
38,2021.0,NL,2016,1
39,2021.0,NO,2016,1
40,2021.0,PT,2016,2
41,2021.0,SE,2016,4
42,2021.0,SI,2016,1
43,2021.0,TR,2016,1
44,2021.0,UK,2016,13
