,year,nuts_id,nuts_year_spec,lockdown_social_distancing_count
0,2019.0,FRD22,2016,1
1,2020.0,AT126,2016,1
2,2020.0,AT127,2016,1
3,2020.0,AT130,2016,15
4,2020.0,AT221,2016,1
5,2020.0,AT323,2016,1
6,2020.0,BE100,2016,3
7,2020.0,BE211,2016,2
8,2020.0,BE221,2016,2
9,2020.0,BE234,2016,3
10,2020.0,BE242,2016,1
11,2020.0,BG411,2016,1
12,2020.0,CH011,2016,6
13,2020.0,CH013,2016,3
14,2020.0,CH021,2016,2
15,2020.0,CH022,2016,2
16,2020.0,CH031,2016,4
17,2020.0,CH033,2016,1
18,2020.0,CH040,2016,10
19,2020.0,CY000,2016,2
20,2020.0,CZ010,2016,1
21,2020.0,CZ064,2016,2
22,2020.0,DE111,2016,1
23,2020.0,DE122,2016,2
24,2020.0,DE125,2016,4
25,2020.0,DE126,2016,1
26,2020.0,DE131,2016,1
27,2020.0,DE212,2016,21
28,2020.0,DE232,2016,1
29,2020.0,DE242,2016,1
30,2020.0,DE252,2016,3
31,2020.0,DE300,2016,14
32,2020.0,DE404,2016,1
33,2020.0,DE501,2016,1
34,2020.0,DE600,2016,3
35,2020.0,DE712,2016,3
36,2020.0,DE731,2016,1
37,2020.0,DE803,2016,1
38,2020.0,DE91C,2016,1
39,2020.0,DE943,2016,1
40,2020.0,DEA23,2016,1
41,2020.0,DEA26,2016,1
42,2020.0,DEA2C,2016,1
43,2020.0,DEA33,2016,1
44,2020.0,DEA51,2016,1
45,2020.0,DEB32,2016,3
46,2020.0,DEB33,2016,1
47,2020.0,DEC01,2016,1
48,2020.0,DED41,2016,2
49,2020.0,DED43,2016,1
50,2020.0,DED51,2016,1
51,2020.0,DEE02,2016,1
52,2020.0,DK011,2016,6
53,2020.0,DK021,2016,1
54,2020.0,DK031,2016,6
55,2020.0,EL303,2016,3
56,2020.0,EL522,2016,1
57,2020.0,EL613,2016,1
58,2020.0,EL651,2016,1
59,2020.0,ES111,2016,3
60,2020.0,ES114,2016,1
61,2020.0,ES120,2016,1
62,2020.0,ES213,2016,2
63,2020.0,ES243,2016,4
64,2020.0,ES300,2016,9
65,2020.0,ES413,2016,2
66,2020.0,ES511,2016,4
67,2020.0,ES513,2016,1
68,2020.0,ES521,2016,2
69,2020.0,ES523,2016,1
70,2020.0,ES614,2016,1
71,2020.0,ES618,2016,2
72,2020.0,ES620,2016,2
73,2020.0,FI1B1,2016,1
74,2020.0,FI1D2,2016,2
75,2020.0,FR101,2016,8
76,2020.0,FR104,2016,11
77,2020.0,FR105,2016,2
78,2020.0,FRE23,2016,1
79,2020.0,FRG04,2016,3
80,2020.0,FRI12,2016,2
81,2020.0,FRJ13,2016,4
82,2020.0,FRK26,2016,3
83,2020.0,FRL04,2016,4
84,2020.0,HR041,2016,1
85,2020.0,HU110,2016,5
86,2020.0,HU333,2016,2
87,2020.0,IE053,2016,3
88,2020.0,IE061,2016,5
89,2020.0,IS001,2016,3
90,2020.0,ITC11,2016,7
91,2020.0,ITC48,2016,5
92,2020.0,ITC4C,2016,7
93,2020.0,ITF33,2016,1
94,2020.0,ITF46,2016,1
95,2020.0,ITF47,2016,5
96,2020.0,ITF51,2016,1
97,2020.0,ITF61,2016,1
98,2020.0,ITG13,2016,1
99,2020.0,ITG17,2016,1
100,2020.0,ITH20,2016,7
101,2020.0,ITH31,2016,2
102,2020.0,ITH35,2016,2
103,2020.0,ITH36,2016,6
104,2020.0,ITH52,2016,1
105,2020.0,ITH54,2016,1
106,2020.0,ITH56,2016,3
107,2020.0,ITI14,2016,1
