,year,nuts_id,nuts_year_spec,hospitalisation_lq
183,2020,ES521,2016,2.335386221294363
184,2020,ES522,2016,0.0
185,2020,ES523,2016,0.4406389096781817
186,2020,ES532,2016,0.0
187,2020,ES614,2016,0.0
188,2020,ES615,2016,0.0
189,2020,ES616,2016,0.0
190,2020,ES617,2016,2.415916780649341
191,2020,ES618,2016,1.0153853136062447
192,2020,ES620,2016,1.2974367896079795
193,2020,ES705,2016,0.0
194,2020,ES709,2016,0.0
195,2020,FI193,2016,0.0
196,2020,FI195,2016,0.0
197,2020,FI1B1,2016,0.6818645901589381
198,2020,FI1C1,2016,1.9021245241311557
199,2020,FI1C5,2016,0.0
200,2020,FI1D2,2016,0.0
201,2020,FI1D9,2016,4.1827812918705005
202,2020,FR101,2016,0.0
203,2020,FR102,2016,0.0
204,2020,FR103,2016,0.0
205,2020,FR104,2016,0.22989856157122526
206,2020,FR105,2016,0.0
207,2020,FR107,2016,0.0
208,2020,FR108,2016,0.0
209,2020,FRB04,2016,0.0
210,2020,FRB06,2016,0.0
211,2020,FRC11,2016,0.0
212,2020,FRC21,2016,0.0
213,2020,FRD11,2016,0.0
214,2020,FRD22,2016,0.0
215,2020,FRE11,2016,0.0
216,2020,FRE12,2016,0.0
217,2020,FRE22,2016,0.0
218,2020,FRE23,2016,0.0
219,2020,FRF11,2016,0.0
220,2020,FRF12,2016,0.0
221,2020,FRF22,2016,0.0
222,2020,FRF23,2016,0.0
223,2020,FRF31,2016,0.0
224,2020,FRG01,2016,0.0
225,2020,FRG02,2016,0.0
226,2020,FRG04,2016,0.0
227,2020,FRH02,2016,0.0
228,2020,FRH03,2016,0.0
229,2020,FRH04,2016,0.0
230,2020,FRI12,2016,0.0
231,2020,FRI13,2016,0.0
232,2020,FRI23,2016,0.0
233,2020,FRI32,2016,0.0
234,2020,FRI34,2016,0.0
235,2020,FRJ13,2016,0.0
236,2020,FRJ15,2016,0.0
237,2020,FRJ23,2016,0.0
238,2020,FRK24,2016,0.0
239,2020,FRK25,2016,0.0
240,2020,FRK26,2016,0.526778846908503
241,2020,FRK27,2016,0.0
242,2020,FRL03,2016,0.0
243,2020,FRL04,2016,0.0
244,2020,FRL05,2016,0.0
245,2020,FRL06,2016,0.0
246,2020,FRY40,2016,0.0
247,2020,HR031,2016,0.0
248,2020,HR035,2016,12.738470297969254
249,2020,HR037,2016,0.0
250,2020,HR041,2016,0.0
251,2020,HR04B,2016,0.0
252,2020,HU110,2016,0.0
253,2020,HU120,2016,0.0
254,2020,HU213,2016,0.0
255,2020,HU231,2016,0.0
256,2020,HU232,2016,0.0
257,2020,HU311,2016,0.0
258,2020,HU321,2016,0.0
259,2020,HU333,2016,0.0
260,2020,IE042,2016,0.0
261,2020,IE051,2016,2.9192327766179536
262,2020,IE052,2016,0.0
263,2020,IE053,2016,1.729915719477306
264,2020,IE061,2016,0.4831833561298682
265,2020,IE062,2016,0.0
266,2020,IE063,2016,0.0
267,2020,IS001,2016,0.7149141493758254
268,2020,IS002,2016,0.0
269,2020,ITC11,2016,0.4655254926168166
270,2020,ITC12,2016,0.0
271,2020,ITC16,2016,0.0
272,2020,ITC18,2016,0.0
273,2020,ITC33,2016,0.0
274,2020,ITC41,2016,0.0
275,2020,ITC46,2016,0.0
276,2020,ITC47,2016,4.1212698022841705
277,2020,ITC48,2016,1.321916729034545
278,2020,ITC4C,2016,0.6039791951623353
279,2020,ITF11,2016,0.0
280,2020,ITF12,2016,0.0
281,2020,ITF14,2016,0.0
282,2020,ITF22,2016,0.0
283,2020,ITF32,2016,0.0
284,2020,ITF33,2016,0.0
285,2020,ITF35,2016,0.0
286,2020,ITF45,2016,0.0
287,2020,ITF46,2016,0.0
288,2020,ITF47,2016,0.0
289,2020,ITF51,2016,0.0
290,2020,ITF61,2016,0.0
291,2020,ITF63,2016,35.030793319415444
292,2020,ITF65,2016,0.0
293,2020,ITG13,2016,3.7871127912881564
294,2020,ITG16,2016,0.0
295,2020,ITG17,2016,0.0
296,2020,ITG25,2016,0.0
297,2020,ITG27,2016,0.0
298,2020,ITH10,2016,0.0
299,2020,ITH20,2016,0.0
300,2020,ITH31,2016,0.0
301,2020,ITH35,2016,0.0
302,2020,ITH36,2016,0.0
303,2020,ITH42,2016,0.0
304,2020,ITH44,2016,0.0
305,2020,ITH52,2016,3.1846175744923135
306,2020,ITH54,2016,0.0
307,2020,ITH55,2016,1.0418079797595672
308,2020,ITH56,2016,2.5021995228153893
309,2020,ITI14,2016,1.3626240513224812
310,2020,ITI17,2016,0.5004399045630777
311,2020,ITI19,2016,2.0913906459352503
312,2020,ITI21,2016,0.0
313,2020,ITI31,2016,0.0
314,2020,ITI32,2016,0.0
315,2020,ITI33,2016,0.0
316,2020,ITI41,2016,0.0
317,2020,ITI43,2016,0.5887528288977386
318,2020,ITI45,2016,0.0
319,2020,LT011,2016,12.363809406852512
320,2020,LT022,2016,0.0
321,2020,LU000,2016,0.0
322,2020,LV006,2016,4.246156765989751
323,2020,ME000,2016,0.0
324,2020,MK006,2016,0.0
325,2020,MK008,2016,0.0
326,2020,MT001,2016,0.0
327,2020,NL113,2016,1.0778705636743215
328,2020,NL213,2016,0.0
329,2020,NL221,2016,0.0
330,2020,NL226,2016,0.30428484968004726
331,2020,NL310,2016,0.8631817655708119
332,2020,NL329,2016,0.16741119865909412
333,2020,NL332,2016,0.0
334,2020,NL333,2016,0.0
335,2020,NL337,2016,0.6594031683654672
336,2020,NL33C,2016,3.562453557906656
337,2020,NL412,2016,0.0
338,2020,NL414,2016,0.0
339,2020,NL423,2016,3.131244095590207
340,2020,NO011,2016,0.2853832449646879
341,2020,NO012,2016,0.0
342,2020,NO021,2016,0.0
343,2020,NO031,2016,0.0
344,2020,NO032,2016,0.0
345,2020,NO042,2016,0.0
346,2020,NO043,2016,0.0
347,2020,NO051,2016,0.0
348,2020,NO060,2016,0.0
349,2020,NO071,2016,0.0
350,2020,NO072,2016,23.35386221294363
351,2020,PL213,2016,0.0
352,2020,PL224,2016,0.0
353,2020,PL229,2016,0.0
354,2020,PL22A,2016,0.0
355,2020,PL415,2016,0.0
356,2020,PL424,2016,0.0
357,2020,PL432,2016,0.0
358,2020,PL514,2016,0.0
359,2020,PL613,2016,0.0
360,2020,PL622,2016,0.0
361,2020,PL633,2016,0.0
362,2020,PL711,2016,0.0
363,2020,PL721,2016,0.0
364,2020,PL814,2016,0.0
365,2020,PL823,2016,0.0
366,2020,PL841,2016,0.0
367,2020,PL842,2016,0.0
368,2020,PL911,2016,1.197633959638135
369,2020,PL913,2016,0.0
370,2020,PT119,2016,0.0
371,2020,PT11A,2016,0.0
372,2020,PT11D,2016,0.0
373,2020,PT16D,2016,0.0
374,2020,PT16E,2016,2.5021995228153893
375,2020,PT16G,2016,0.0
376,2020,PT16J,2016,0.0
377,2020,PT170,2016,1.0341193599827438
378,2020,PT200,2016,0.0
379,2020,PT300,2016,0.0
380,2020,RO111,2016,0.0
381,2020,RO113,2016,0.0
382,2020,RO213,2016,0.0
383,2020,RO215,2016,0.0
384,2020,RO321,2016,0.0
385,2020,RO322,2016,0.0
386,2020,RO411,2016,0.0
387,2020,RS110,2016,5.920697462436414
388,2020,RS123,2016,0.0
389,2020,RS214,2016,0.0
390,2020,RS225,2016,0.0
391,2020,SE110,2016,1.7437550452331245
392,2020,SE121,2016,1.0483030419775197
393,2020,SE123,2016,2.2600511818977704
394,2020,SE124,2016,3.68745192835952
395,2020,SE125,2016,0.0
396,2020,SE213,2016,0.0
397,2020,SE221,2016,0.0
398,2020,SE224,2016,0.8896709414454717
399,2020,SE231,2016,0.0
400,2020,SE232,2016,1.3034713793270862
401,2020,SE311,2016,0.0
402,2020,SE312,2016,0.0
403,2020,SE321,2016,0.0
404,2020,SE331,2016,2.2419707724425884
405,2020,SE332,2016,0.0
406,2020,SI032,2016,0.0
407,2020,SI033,2016,0.0
408,2020,SI041,2016,1.0008798091261555
409,2020,SI043,2016,0.0
410,2020,SI044,2016,0.0
411,2020,SK010,2016,0.0
412,2020,SK023,2016,0.0
413,2020,SK032,2016,0.0
414,2020,SK041,2016,0.0
415,2020,SK042,2016,0.0
416,2020,TR100,2016,0.8053055935497804
417,2020,TR211,2016,0.0
418,2020,TR212,2016,0.0
419,2020,TR213,2016,0.0
420,2020,TR221,2016,0.0
421,2020,TR222,2016,0.0
422,2020,TR310,2016,0.0
423,2020,TR321,2016,0.0
424,2020,TR322,2016,0.0
425,2020,TR331,2016,0.0
426,2020,TR332,2016,0.0
427,2020,TR334,2016,0.0
428,2020,TR411,2016,0.0
429,2020,TR412,2016,0.0
430,2020,TR421,2016,0.0
431,2020,TR422,2016,0.0
432,2020,TR423,2016,0.0
433,2020,TR424,2016,0.0
434,2020,TR510,2016,0.5838465553235908
435,2020,TR521,2016,0.0
436,2020,TR522,2016,0.0
437,2020,TR611,2016,0.0
438,2020,TR621,2016,0.0
439,2020,TR622,2016,0.0
440,2020,TR631,2016,0.0
441,2020,TR712,2016,0.0
442,2020,TR715,2016,0.0
443,2020,TR721,2016,0.0
444,2020,TR722,2016,0.0
445,2020,TR811,2016,0.0
446,2020,TR812,2016,0.0
447,2020,TR813,2016,0.0
448,2020,TR822,2016,0.0
449,2020,TR823,2016,0.0
450,2020,TR831,2016,0.0
451,2020,TR832,2016,0.0
452,2020,TR834,2016,0.0
453,2020,TR901,2016,0.0
454,2020,TR902,2016,0.0
455,2020,TR903,2016,0.0
456,2020,TRA11,2016,0.0
457,2020,TRA22,2016,0.0
458,2020,TRB11,2016,0.0
459,2020,TRB12,2016,0.0
460,2020,TRB13,2016,0.0
461,2020,TRC12,2016,0.0
462,2020,TRC32,2016,0.0
463,2020,TRC34,2016,0.0
464,2020,UKC11,2016,0.0
465,2020,UKC12,2016,0.0
466,2020,UKC14,2016,0.0
467,2020,UKC22,2016,5.389352818371607
468,2020,UKD11,2016,0.0
469,2020,UKD12,2016,0.0
470,2020,UKD33,2016,3.0966447133184927
471,2020,UKD34,2016,0.0
472,2020,UKD35,2016,0.0
473,2020,UKD36,2016,0.0
474,2020,UKD37,2016,140.12317327766178
475,2020,UKD42,2016,0.0
476,2020,UKD44,2016,2.1230783829948754
477,2020,UKD45,2016,29.49961542687616
478,2020,UKD47,2016,0.0
479,2020,UKD61,2016,0.0
480,2020,UKD62,2016,0.0
481,2020,UKD63,2016,0.0
482,2020,UKD71,2016,0.0
483,2020,UKD72,2016,3.7600135942127495
484,2020,UKD74,2016,70.06158663883089
485,2020,UKE11,2016,5.189747158431918
486,2020,UKE12,2016,0.0
487,2020,UKE21,2016,0.0
488,2020,UKE22,2016,0.0
489,2020,UKE31,2016,0.0
490,2020,UKE32,2016,2.3589759811054174
491,2020,UKE41,2016,31.13848295059151
492,2020,UKE42,2016,1.4445687966769256
493,2020,UKE44,2016,0.0
494,2020,UKF11,2016,0.0
495,2020,UKF13,2016,0.0
496,2020,UKF14,2016,3.1577053132994206
497,2020,UKF15,2016,0.0
498,2020,UKF16,2016,14.74980771343808
499,2020,UKF21,2016,5.189747158431918
500,2020,UKF22,2016,0.0
501,2020,UKF24,2016,0.0
502,2020,UKF25,2016,0.0
503,2020,UKF30,2016,0.0
504,2020,UKG12,2016,0.0
505,2020,UKG13,2016,1.3604191580355511
506,2020,UKG21,2016,0.0
507,2020,UKG22,2016,0.0
508,2020,UKG23,2016,0.0
509,2020,UKG24,2016,0.0
510,2020,UKG31,2016,2.5021995228153893
511,2020,UKG33,2016,0.0
512,2020,UKG36,2016,0.0
513,2020,UKG39,2016,0.0
514,2020,UKH11,2016,0.0
515,2020,UKH12,2016,0.5857448023683028
516,2020,UKH14,2016,0.0
517,2020,UKH15,2016,0.0
518,2020,UKH17,2016,0.0
519,2020,UKH21,2016,0.0
520,2020,UKH23,2016,4.086925887265135
521,2020,UKH25,2016,0.0
522,2020,UKH31,2016,0.0
523,2020,UKH34,2016,0.0
524,2020,UKH35,2016,0.0
525,2020,UKH36,2016,0.0
526,2020,UKH37,2016,0.0
527,2020,UKI31,2016,3.4754338355226153
528,2020,UKI32,2016,4.7298961443936465
529,2020,UKI33,2016,1.8727153661322724
530,2020,UKI34,2016,5.495026403045561
531,2020,UKI42,2016,3.9550895683210987
