,year,nuts_id,nuts_year_spec,variants_count
0,2018.0,DE,2016,1
1,2019.0,UK,2016,3
2,2020.0,AT,2016,7
3,2020.0,BE,2016,4
4,2020.0,BG,2016,1
5,2020.0,CH,2016,20
6,2020.0,CY,2016,1
7,2020.0,CZ,2016,3
8,2020.0,DE,2016,18
9,2020.0,DK,2016,2
10,2020.0,EL,2016,8
11,2020.0,ES,2016,14
12,2020.0,FI,2016,3
13,2020.0,FR,2016,7
14,2020.0,HU,2016,5
15,2020.0,IE,2016,2
16,2020.0,IT,2016,26
17,2020.0,LV,2016,2
18,2020.0,NL,2016,11
19,2020.0,NO,2016,2
20,2020.0,PL,2016,1
21,2020.0,PT,2016,1
22,2020.0,SE,2016,2
23,2020.0,SI,2016,1
24,2020.0,TR,2016,4
25,2020.0,UK,2016,97
26,2021.0,CH,2016,12
27,2021.0,CY,2016,1
28,2021.0,DE,2016,7
29,2021.0,DK,2016,1
30,2021.0,EL,2016,4
31,2021.0,ES,2016,1
32,2021.0,FR,2016,1
33,2021.0,IE,2016,3
34,2021.0,IT,2016,3
35,2021.0,NL,2016,1
36,2021.0,PL,2016,2
37,2021.0,SE,2016,2
38,2021.0,UK,2016,27
