year,region_type,region_year_spec,region_id,region_level,deep_learning_count
0,2010.0,NUTS,2010,AT,0,1
1,2010.0,NUTS,2010,AT1,1,1
2,2010.0,NUTS,2010,AT12,2,1
3,2010.0,NUTS,2010,AT127,3,1
4,2010.0,NUTS,2010,BE,0,1
5,2010.0,NUTS,2010,BE1,1,1
6,2010.0,NUTS,2010,BE10,2,1
7,2010.0,NUTS,2010,BE100,3,1
8,2010.0,NUTS,2010,CH,0,2
9,2010.0,NUTS,2010,CH0,1,2
10,2010.0,NUTS,2010,CH07,2,2
11,2010.0,NUTS,2010,CH070,3,2
12,2010.0,NUTS,2010,DE,0,4
13,2010.0,NUTS,2010,DE1,1,1
14,2010.0,NUTS,2010,DE14,2,1
15,2010.0,NUTS,2010,DE142,3,1
16,2010.0,NUTS,2010,DE2,1,1
17,2010.0,NUTS,2010,DE21,2,1
18,2010.0,NUTS,2010,DE212,3,1
19,2010.0,NUTS,2010,DE3,1,1
20,2010.0,NUTS,2010,DE30,2,1
21,2010.0,NUTS,2010,DE300,3,1
22,2010.0,NUTS,2010,DE4,1,1
23,2010.0,NUTS,2010,DE40,2,1
24,2010.0,NUTS,2010,DE404,3,1
25,2010.0,NUTS,2010,EL,0,1
26,2010.0,NUTS,2010,EL4,1,1
27,2010.0,NUTS,2010,EL41,2,1
28,2010.0,NUTS,2010,EL411,3,1
29,2010.0,NUTS,2010,ES,0,1
30,2010.0,NUTS,2010,ES1,1,1
31,2010.0,NUTS,2010,ES13,2,1
32,2010.0,NUTS,2010,ES130,3,1
33,2010.0,NUTS,2010,FI,0,1
34,2010.0,NUTS,2010,FI1,1,1
35,2010.0,NUTS,2010,FI1C,2,1
36,2010.0,NUTS,2010,FI1C1,3,1
37,2010.0,NUTS,2010,FR,0,4
38,2010.0,NUTS,2010,FR1,1,1
39,2010.0,NUTS,2010,FR10,2,1
40,2010.0,NUTS,2010,FR104,3,1
41,2010.0,NUTS,2010,FR6,1,1
42,2010.0,NUTS,2010,FR61,2,1
43,2010.0,NUTS,2010,FR612,3,1
44,2010.0,NUTS,2010,FR7,1,2
45,2010.0,NUTS,2010,FR71,2,2
46,2010.0,NUTS,2010,FR716,3,2
47,2010.0,NUTS,2010,HU,0,1
48,2010.0,NUTS,2010,HU1,1,1
49,2010.0,NUTS,2010,HU10,2,1
50,2010.0,NUTS,2010,HU101,3,1
51,2010.0,NUTS,2010,IT,0,1
52,2010.0,NUTS,2010,ITH,1,1
53,2010.0,NUTS,2010,ITH5,2,1
54,2010.0,NUTS,2010,ITH55,3,1
55,2010.0,NUTS,2010,PL,0,1
56,2010.0,NUTS,2010,PL6,1,1
57,2010.0,NUTS,2010,PL63,2,1
58,2010.0,NUTS,2010,PL633,3,1
