,year,nuts_id,nuts_year_spec,image_detection_count
0,2019.0,ES,2016,1
1,2019.0,NO,2016,1
2,2020.0,CH,2016,7
3,2020.0,CY,2016,2
4,2020.0,CZ,2016,1
5,2020.0,DE,2016,7
6,2020.0,DK,2016,2
7,2020.0,EL,2016,3
8,2020.0,ES,2016,6
9,2020.0,FR,2016,8
10,2020.0,HU,2016,3
11,2020.0,IT,2016,9
12,2020.0,LU,2016,1
13,2020.0,NL,2016,3
14,2020.0,NO,2016,1
15,2020.0,PL,2016,1
16,2020.0,SI,2016,1
17,2020.0,TR,2016,9
18,2020.0,UK,2016,31
19,2021.0,CY,2016,1
20,2021.0,DE,2016,4
21,2021.0,ES,2016,1
22,2021.0,IT,2016,2
23,2021.0,SK,2016,2
24,2021.0,TR,2016,1
25,2021.0,UK,2016,5
