,year,nuts_id,nuts_year_spec,mental_health_count
0,2020.0,AT124,2016,2
1,2020.0,AT130,2016,3
2,2020.0,AT221,2016,3
3,2020.0,AT332,2016,1
4,2020.0,BE100,2016,1
5,2020.0,BE211,2016,3
6,2020.0,BE234,2016,2
7,2020.0,BE323,2016,1
8,2020.0,CH011,2016,3
9,2020.0,CH013,2016,3
10,2020.0,CH021,2016,7
11,2020.0,CH040,2016,8
12,2020.0,CY000,2016,1
13,2020.0,CZ042,2016,1
14,2020.0,CZ064,2016,1
15,2020.0,DE125,2016,1
16,2020.0,DE142,2016,1
17,2020.0,DE144,2016,1
18,2020.0,DE212,2016,3
19,2020.0,DE300,2016,7
20,2020.0,DE402,2016,1
21,2020.0,DE600,2016,1
22,2020.0,DE712,2016,1
23,2020.0,DE929,2016,2
24,2020.0,DEA13,2016,1
25,2020.0,DEA22,2016,2
26,2020.0,DEA33,2016,3
27,2020.0,DEC01,2016,2
28,2020.0,DED41,2016,2
29,2020.0,DED51,2016,1
30,2020.0,DEE03,2016,3
31,2020.0,DK011,2016,3
32,2020.0,DK031,2016,1
33,2020.0,DK042,2016,1
34,2020.0,EL303,2016,6
35,2020.0,EL522,2016,4
36,2020.0,EL543,2016,2
37,2020.0,EL632,2016,1
38,2020.0,ES243,2016,1
39,2020.0,ES300,2016,4
40,2020.0,ES415,2016,1
41,2020.0,ES511,2016,1
42,2020.0,ES514,2016,1
43,2020.0,ES523,2016,4
44,2020.0,ES614,2016,2
45,2020.0,ES617,2016,1
46,2020.0,FI1B1,2016,2
47,2020.0,FR101,2016,2
48,2020.0,FRG04,2016,1
49,2020.0,FRI12,2016,3
50,2020.0,FRL04,2016,1
51,2020.0,HR041,2016,2
52,2020.0,HU333,2016,1
53,2020.0,IE061,2016,1
54,2020.0,IE062,2016,1
55,2020.0,IS001,2016,1
56,2020.0,ITC33,2016,1
57,2020.0,ITC41,2016,1
58,2020.0,ITC4C,2016,9
59,2020.0,ITF11,2016,2
60,2020.0,ITF46,2016,1
61,2020.0,ITH20,2016,1
62,2020.0,ITH36,2016,3
63,2020.0,ITI17,2016,1
64,2020.0,ITI43,2016,6
65,2020.0,NL113,2016,6
66,2020.0,NL213,2016,1
67,2020.0,NL226,2016,3
68,2020.0,NL310,2016,2
69,2020.0,NL329,2016,2
70,2020.0,NL337,2016,3
71,2020.0,NO011,2016,10
72,2020.0,NO012,2016,1
73,2020.0,NO032,2016,1
74,2020.0,NO042,2016,1
75,2020.0,NO043,2016,1
76,2020.0,PL213,2016,1
77,2020.0,PL911,2016,6
78,2020.0,PT119,2016,1
79,2020.0,PT11A,2016,1
80,2020.0,PT16E,2016,1
81,2020.0,PT170,2016,3
82,2020.0,RS123,2016,1
83,2020.0,SE110,2016,6
84,2020.0,SE121,2016,1
85,2020.0,SE224,2016,1
86,2020.0,SE331,2016,1
87,2020.0,SI041,2016,2
88,2020.0,TR100,2016,2
