year,region_type,region_year_spec,region_id,region_level,image_detection_count
0,2019,NUTS,2016,ES,0,1
1,2019,NUTS,2016,ES3,1,1
2,2019,NUTS,2016,ES30,2,1
3,2019,NUTS,2016,ES300,3,1
4,2019,NUTS,2016,NO,0,1
5,2019,NUTS,2016,NO0,1,1
6,2019,NUTS,2016,NO06,2,1
7,2019,NUTS,2016,NO060,3,1
8,2020,NUTS,2016,CH,0,7
9,2020,NUTS,2016,CH0,1,7
10,2020,NUTS,2016,CH01,2,3
11,2020,NUTS,2016,CH011,3,3
12,2020,NUTS,2016,CH04,2,4
13,2020,NUTS,2016,CH040,3,4
14,2020,NUTS,2016,CY,0,2
15,2020,NUTS,2016,CY0,1,2
16,2020,NUTS,2016,CY00,2,2
17,2020,NUTS,2016,CY000,3,2
18,2020,NUTS,2016,CZ,0,1
19,2020,NUTS,2016,CZ0,1,1
20,2020,NUTS,2016,CZ06,2,1
21,2020,NUTS,2016,CZ064,3,1
22,2020,NUTS,2016,DE,0,7
23,2020,NUTS,2016,DE1,1,2
24,2020,NUTS,2016,DE12,2,2
25,2020,NUTS,2016,DE125,3,2
26,2020,NUTS,2016,DE9,1,1
27,2020,NUTS,2016,DE92,2,1
28,2020,NUTS,2016,DE929,3,1
29,2020,NUTS,2016,DEB,1,1
30,2020,NUTS,2016,DEB2,2,1
31,2020,NUTS,2016,DEB21,3,1
32,2020,NUTS,2016,DEC,1,1
33,2020,NUTS,2016,DEC0,2,1
34,2020,NUTS,2016,DEC01,3,1
35,2020,NUTS,2016,DED,1,1
36,2020,NUTS,2016,DED4,2,1
37,2020,NUTS,2016,DED41,3,1
38,2020,NUTS,2016,DEG,1,1
39,2020,NUTS,2016,DEG0,2,1
40,2020,NUTS,2016,DEG03,3,1
41,2020,NUTS,2016,DK,0,2
42,2020,NUTS,2016,DK0,1,2
43,2020,NUTS,2016,DK01,2,2
44,2020,NUTS,2016,DK011,3,1
45,2020,NUTS,2016,DK012,3,1
46,2020,NUTS,2016,EL,0,3
47,2020,NUTS,2016,EL3,1,3
48,2020,NUTS,2016,EL30,2,3
49,2020,NUTS,2016,EL303,3,3
50,2020,NUTS,2016,ES,0,6
51,2020,NUTS,2016,ES1,1,3
52,2020,NUTS,2016,ES11,2,3
53,2020,NUTS,2016,ES111,3,3
54,2020,NUTS,2016,ES5,1,1
55,2020,NUTS,2016,ES51,2,1
56,2020,NUTS,2016,ES512,3,1
57,2020,NUTS,2016,ES6,1,2
58,2020,NUTS,2016,ES61,2,2
59,2020,NUTS,2016,ES614,3,1
60,2020,NUTS,2016,ES617,3,1
61,2020,NUTS,2016,FR,0,8
62,2020,NUTS,2016,FR1,1,4
63,2020,NUTS,2016,FR10,2,4
64,2020,NUTS,2016,FR104,3,2
65,2020,NUTS,2016,FR107,3,2
66,2020,NUTS,2016,FRF,1,2
67,2020,NUTS,2016,FRF1,2,2
68,2020,NUTS,2016,FRF12,3,2
69,2020,NUTS,2016,FRI,1,1
70,2020,NUTS,2016,FRI1,2,1
71,2020,NUTS,2016,FRI12,3,1
72,2020,NUTS,2016,FRJ,1,1
73,2020,NUTS,2016,FRJ1,2,1
74,2020,NUTS,2016,FRJ13,3,1
75,2020,NUTS,2016,HU,0,3
76,2020,NUTS,2016,HU1,1,3
77,2020,NUTS,2016,HU11,2,3
78,2020,NUTS,2016,HU110,3,3
79,2020,NUTS,2016,IT,0,9
80,2020,NUTS,2016,ITC,1,2
81,2020,NUTS,2016,ITC4,2,2
82,2020,NUTS,2016,ITC47,3,1
83,2020,NUTS,2016,ITC4C,3,1
84,2020,NUTS,2016,ITF,1,1
85,2020,NUTS,2016,ITF1,2,1
86,2020,NUTS,2016,ITF11,3,1
87,2020,NUTS,2016,ITG,1,2
88,2020,NUTS,2016,ITG1,2,2
89,2020,NUTS,2016,ITG13,3,1
90,2020,NUTS,2016,ITG17,3,1
91,2020,NUTS,2016,ITH,1,3
92,2020,NUTS,2016,ITH3,2,2
93,2020,NUTS,2016,ITH36,3,2
94,2020,NUTS,2016,ITH4,2,1
95,2020,NUTS,2016,ITH44,3,1
96,2020,NUTS,2016,ITI,1,1
97,2020,NUTS,2016,ITI1,2,1
98,2020,NUTS,2016,ITI14,3,1
99,2020,NUTS,2016,LU,0,1
100,2020,NUTS,2016,LU0,1,1
101,2020,NUTS,2016,LU00,2,1
102,2020,NUTS,2016,LU000,3,1
103,2020,NUTS,2016,NL,0,3
104,2020,NUTS,2016,NL3,1,1
105,2020,NUTS,2016,NL32,2,1
106,2020,NUTS,2016,NL329,3,1
107,2020,NUTS,2016,NL4,1,2
108,2020,NUTS,2016,NL41,2,1
109,2020,NUTS,2016,NL414,3,1
110,2020,NUTS,2016,NL42,2,1
111,2020,NUTS,2016,NL423,3,1
112,2020,NUTS,2016,NO,0,1
113,2020,NUTS,2016,NO0,1,1
114,2020,NUTS,2016,NO01,2,1
115,2020,NUTS,2016,NO011,3,1
116,2020,NUTS,2016,PL,0,1
117,2020,NUTS,2016,PL9,1,1
118,2020,NUTS,2016,PL91,2,1
119,2020,NUTS,2016,PL911,3,1
120,2020,NUTS,2016,SI,0,1
121,2020,NUTS,2016,SI0,1,1
122,2020,NUTS,2016,SI04,2,1
123,2020,NUTS,2016,SI041,3,1
124,2020,NUTS,2016,TR,0,9
125,2020,NUTS,2016,TR1,1,1
126,2020,NUTS,2016,TR10,2,1
127,2020,NUTS,2016,TR100,3,1
128,2020,NUTS,2016,TR2,1,2
129,2020,NUTS,2016,TR22,2,2
130,2020,NUTS,2016,TR222,3,2
131,2020,NUTS,2016,TR5,1,2
132,2020,NUTS,2016,TR51,2,2
133,2020,NUTS,2016,TR510,3,2
134,2020,NUTS,2016,TR8,1,4
135,2020,NUTS,2016,TR81,2,3
136,2020,NUTS,2016,TR811,3,3
137,2020,NUTS,2016,TR83,2,1
138,2020,NUTS,2016,TR834,3,1
139,2020,NUTS,2016,UK,0,31
140,2020,NUTS,2016,UKD,1,4
141,2020,NUTS,2016,UKD3,2,1
142,2020,NUTS,2016,UKD33,3,1
143,2020,NUTS,2016,UKD4,2,3
144,2020,NUTS,2016,UKD44,3,2
145,2020,NUTS,2016,UKD47,3,1
146,2020,NUTS,2016,UKE,1,2
147,2020,NUTS,2016,UKE4,2,2
148,2020,NUTS,2016,UKE41,3,1
149,2020,NUTS,2016,UKE42,3,1
150,2020,NUTS,2016,UKF,1,3
151,2020,NUTS,2016,UKF1,2,1
152,2020,NUTS,2016,UKF14,3,1
153,2020,NUTS,2016,UKF2,2,2
154,2020,NUTS,2016,UKF21,3,2
155,2020,NUTS,2016,UKG,1,5
156,2020,NUTS,2016,UKG3,2,5
157,2020,NUTS,2016,UKG31,3,4
158,2020,NUTS,2016,UKG39,3,1
159,2020,NUTS,2016,UKH,1,3
160,2020,NUTS,2016,UKH1,2,2
161,2020,NUTS,2016,UKH12,3,2
162,2020,NUTS,2016,UKH2,2,1
163,2020,NUTS,2016,UKH21,3,1
164,2020,NUTS,2016,UKI,1,9
165,2020,NUTS,2016,UKI3,2,8
166,2020,NUTS,2016,UKI31,3,7
167,2020,NUTS,2016,UKI33,3,1
168,2020,NUTS,2016,UKI7,2,1
169,2020,NUTS,2016,UKI74,3,1
