year,region_type,region_year_spec,region_id,region_level,vaccination_programmes_count
0,2019,NUTS,2016,CH,0,1
1,2019,NUTS,2016,CH0,1,1
2,2019,NUTS,2016,CH01,2,1
3,2019,NUTS,2016,CH013,3,1
4,2019,NUTS,2016,UK,0,1
5,2019,NUTS,2016,UKI,1,1
6,2019,NUTS,2016,UKI3,2,1
7,2019,NUTS,2016,UKI33,3,1
8,2020,NUTS,2016,AT,0,3
9,2020,NUTS,2016,AT1,1,1
10,2020,NUTS,2016,AT13,2,1
11,2020,NUTS,2016,AT130,3,1
12,2020,NUTS,2016,AT2,1,2
13,2020,NUTS,2016,AT22,2,2
14,2020,NUTS,2016,AT221,3,2
15,2020,NUTS,2016,BE,0,7
16,2020,NUTS,2016,BE1,1,2
17,2020,NUTS,2016,BE10,2,2
18,2020,NUTS,2016,BE100,3,2
19,2020,NUTS,2016,BE2,1,1
20,2020,NUTS,2016,BE24,2,1
21,2020,NUTS,2016,BE241,3,1
22,2020,NUTS,2016,BE3,1,4
23,2020,NUTS,2016,BE32,2,4
24,2020,NUTS,2016,BE323,3,4
25,2020,NUTS,2016,CH,0,4
26,2020,NUTS,2016,CH0,1,4
27,2020,NUTS,2016,CH04,2,4
28,2020,NUTS,2016,CH040,3,4
29,2020,NUTS,2016,DE,0,16
30,2020,NUTS,2016,DE1,1,1
31,2020,NUTS,2016,DE13,2,1
32,2020,NUTS,2016,DE131,3,1
33,2020,NUTS,2016,DE2,1,3
34,2020,NUTS,2016,DE21,2,1
35,2020,NUTS,2016,DE212,3,1
36,2020,NUTS,2016,DE23,2,1
37,2020,NUTS,2016,DE232,3,1
38,2020,NUTS,2016,DE25,2,1
39,2020,NUTS,2016,DE252,3,1
40,2020,NUTS,2016,DE3,1,2
41,2020,NUTS,2016,DE30,2,2
42,2020,NUTS,2016,DE300,3,2
43,2020,NUTS,2016,DE7,1,1
44,2020,NUTS,2016,DE71,2,1
45,2020,NUTS,2016,DE712,3,1
46,2020,NUTS,2016,DEA,1,1
47,2020,NUTS,2016,DEA2,2,1
48,2020,NUTS,2016,DEA26,3,1
49,2020,NUTS,2016,DED,1,7
50,2020,NUTS,2016,DED4,2,7
51,2020,NUTS,2016,DED41,3,1
52,2020,NUTS,2016,DED43,3,6
53,2020,NUTS,2016,DEE,1,1
54,2020,NUTS,2016,DEE0,2,1
55,2020,NUTS,2016,DEE03,3,1
56,2020,NUTS,2016,ES,0,10
57,2020,NUTS,2016,ES3,1,2
58,2020,NUTS,2016,ES30,2,2
