,year,nuts_id,nuts_year_spec,antibodies_count
0,2020.0,AT1,2016,3
1,2020.0,BE2,2016,3
2,2020.0,CH0,2016,14
3,2020.0,DE1,2016,9
4,2020.0,DE2,2016,5
5,2020.0,DE3,2016,5
6,2020.0,DE6,2016,1
7,2020.0,DE7,2016,2
8,2020.0,DE9,2016,4
9,2020.0,DEA,2016,15
10,2020.0,DEC,2016,2
11,2020.0,DED,2016,1
12,2020.0,DK0,2016,5
13,2020.0,EL5,2016,1
14,2020.0,EL6,2016,1
15,2020.0,ES2,2016,2
16,2020.0,ES3,2016,9
17,2020.0,ES5,2016,6
18,2020.0,FI1,2016,2
19,2020.0,FR1,2016,7
20,2020.0,FRB,2016,1
21,2020.0,FRE,2016,1
22,2020.0,FRF,2016,1
23,2020.0,FRL,2016,1
24,2020.0,FRY,2016,1
25,2020.0,IS0,2016,3
26,2020.0,ITC,2016,10
27,2020.0,ITH,2016,3
28,2020.0,ITI,2016,5
29,2020.0,NL2,2016,1
30,2020.0,NL3,2016,10
31,2020.0,NL4,2016,2
32,2020.0,SE1,2016,13
33,2020.0,SE2,2016,3
34,2020.0,SE3,2016,2
35,2020.0,UKD,2016,10
36,2020.0,UKE,2016,4
37,2020.0,UKF,2016,3
38,2020.0,UKG,2016,5
39,2020.0,UKH,2016,11
40,2020.0,UKI,2016,24
41,2020.0,UKJ,2016,18
42,2020.0,UKL,2016,2
43,2020.0,UKM,2016,8
44,2021.0,AT1,2016,4
45,2021.0,AT3,2016,2
46,2021.0,CH0,2016,1
47,2021.0,CY0,2016,1
48,2021.0,DE1,2016,2
49,2021.0,DE6,2016,1
50,2021.0,DEA,2016,2
51,2021.0,DK0,2016,1
52,2021.0,ES5,2016,2
53,2021.0,FI1,2016,1
54,2021.0,IE0,2016,1
55,2021.0,NL2,2016,1
56,2021.0,NL3,2016,3
57,2021.0,SE1,2016,5
58,2021.0,UKG,2016,1
59,2021.0,UKH,2016,1
60,2021.0,UKI,2016,1
61,2021.0,UKJ,2016,1
