,year,nuts_id,nuts_year_spec,ai_covid_share
0,2020.0,AT,2016,0.049586776859504134
1,2020.0,BE,2016,0.0
2,2020.0,BG,2016,0.0
3,2020.0,CH,2016,0.02608695652173913
4,2020.0,CY,2016,0.0
5,2020.0,CZ,2016,0.02857142857142857
6,2020.0,DE,2016,0.01522248243559719
7,2020.0,DK,2016,0.006329113924050633
8,2020.0,EE,2016,0.0
9,2020.0,EL,2016,0.009009009009009009
10,2020.0,ES,2016,0.015228426395939087
11,2020.0,FI,2016,0.0
12,2020.0,FR,2016,0.013513513513513514
13,2020.0,HR,2016,0.0
14,2020.0,HU,2016,0.019230769230769232
15,2020.0,IE,2016,0.02857142857142857
16,2020.0,IS,2016,0.0
17,2020.0,IT,2016,0.012441679626749611
18,2020.0,LT,2016,0.0
19,2020.0,LU,2016,0.125
20,2020.0,LV,2016,0.0
21,2020.0,MK,2016,0.0
22,2020.0,MT,2016,0.0
23,2020.0,NL,2016,0.005154639175257732
24,2020.0,NO,2016,0.012658227848101266
25,2020.0,PL,2016,0.010752688172043012
26,2020.0,PT,2016,0.019230769230769232
27,2020.0,RO,2016,0.5
28,2020.0,RS,2016,0.0
29,2020.0,SE,2016,0.007380073800738007
30,2020.0,SI,2016,0.0
31,2020.0,SK,2016,0.0
32,2020.0,TR,2016,0.07142857142857142
33,2020.0,UK,2016,0.012808197246237591
34,2021.0,AT,2016,0.037037037037037035
35,2021.0,BE,2016,0.0
36,2021.0,BG,2016,0.0
37,2021.0,CH,2016,0.014492753623188406
38,2021.0,CY,2016,0.125
39,2021.0,CZ,2016,0.0
40,2021.0,DE,2016,0.008620689655172414
41,2021.0,DK,2016,0.0
42,2021.0,EE,2016,0.0
43,2021.0,EL,2016,0.0
44,2021.0,ES,2016,0.027777777777777776
45,2021.0,FI,2016,0.0
46,2021.0,FR,2016,0.0
47,2021.0,IE,2016,0.0
48,2021.0,IS,2016,0.0
49,2021.0,IT,2016,0.04225352112676056
50,2021.0,LU,2016,0.0
51,2021.0,LV,2016,0.0
52,2021.0,ME,2016,0.0
53,2021.0,MT,2016,0.0
54,2021.0,NL,2016,0.0
55,2021.0,NO,2016,0.0
56,2021.0,PL,2016,0.0
57,2021.0,PT,2016,0.09090909090909091
58,2021.0,SE,2016,0.0
59,2021.0,SI,2016,0.0
60,2021.0,SK,2016,0.4
61,2021.0,TR,2016,0.0
62,2021.0,UK,2016,0.017738359201773836
