,year,nuts_id,nuts_year_spec,repurposed_treatments_count
0,2020.0,BE2,2016,2
1,2020.0,BE3,2016,2
2,2020.0,CH0,2016,5
3,2020.0,DE1,2016,2
4,2020.0,DE2,2016,2
5,2020.0,DE6,2016,1
6,2020.0,DEC,2016,1
7,2020.0,DK0,2016,11
8,2020.0,EL3,2016,3
9,2020.0,EL5,2016,5
10,2020.0,EL6,2016,1
11,2020.0,ES3,2016,15
12,2020.0,ES4,2016,2
13,2020.0,ES5,2016,6
14,2020.0,ES6,2016,3
15,2020.0,FI1,2016,1
16,2020.0,FR1,2016,23
17,2020.0,FRK,2016,1
18,2020.0,FRL,2016,2
19,2020.0,HU1,2016,2
20,2020.0,IE0,2016,6
21,2020.0,ITC,2016,12
22,2020.0,ITF,2016,1
23,2020.0,ITG,2016,1
24,2020.0,ITH,2016,6
25,2020.0,ITI,2016,5
26,2020.0,NL2,2016,3
27,2020.0,NL3,2016,7
28,2020.0,NO0,2016,3
29,2020.0,PL2,2016,2
30,2020.0,PL5,2016,1
31,2020.0,PL6,2016,2
32,2020.0,PL7,2016,3
33,2020.0,PL8,2016,2
34,2020.0,PT1,2016,1
35,2020.0,SE1,2016,4
36,2020.0,SE2,2016,3
37,2020.0,TR1,2016,1
38,2020.0,TRA,2016,1
39,2020.0,UKC,2016,9
40,2020.0,UKD,2016,14
41,2020.0,UKE,2016,3
42,2020.0,UKF,2016,14
43,2020.0,UKG,2016,10
44,2020.0,UKH,2016,6
45,2020.0,UKI,2016,23
46,2020.0,UKJ,2016,12
47,2020.0,UKK,2016,6
48,2020.0,UKL,2016,2
49,2020.0,UKM,2016,5
50,2021.0,BE2,2016,1
51,2021.0,CH0,2016,2
52,2021.0,DEA,2016,1
53,2021.0,DK0,2016,1
54,2021.0,EL3,2016,1
55,2021.0,EL6,2016,1
56,2021.0,ES5,2016,1
57,2021.0,FI1,2016,1
58,2021.0,FR1,2016,2
59,2021.0,IE0,2016,1
60,2021.0,NL3,2016,2
61,2021.0,PL2,2016,2
62,2021.0,PL5,2016,1
63,2021.0,PL6,2016,1
64,2021.0,PL7,2016,2
65,2021.0,PL8,2016,2
66,2021.0,PL9,2016,1
67,2021.0,SI0,2016,1
68,2021.0,UKC,2016,2
69,2021.0,UKD,2016,4
70,2021.0,UKF,2016,4
71,2021.0,UKG,2016,2
72,2021.0,UKH,2016,1
73,2021.0,UKI,2016,6
74,2021.0,UKJ,2016,6
75,2021.0,UKK,2016,2
76,2021.0,UKM,2016,1
77,2021.0,UKN,2016,1
