,year,nuts_id,nuts_year_spec,smoking_cancer_count
0,2020.0,BE213,2016,1
1,2020.0,ES300,2016,4
2,2020.0,ES511,2016,2
3,2020.0,FR101,2016,2
4,2020.0,FRE23,2016,1
5,2020.0,IE053,2016,1
6,2020.0,IE062,2016,1
7,2020.0,ITC48,2016,1
8,2020.0,ITC4C,2016,2
9,2020.0,ITH56,2016,1
10,2020.0,MT001,2016,1
11,2020.0,NL33C,2016,2
12,2020.0,PT11A,2016,1
13,2020.0,SE232,2016,2
14,2020.0,UKD33,2016,3
15,2020.0,UKD72,2016,4
16,2020.0,UKE31,2016,1
17,2020.0,UKF14,2016,1
18,2020.0,UKF16,2016,1
19,2020.0,UKF21,2016,1
20,2020.0,UKG13,2016,1
21,2020.0,UKG31,2016,4
22,2020.0,UKH12,2016,3
23,2020.0,UKH17,2016,2
24,2020.0,UKH23,2016,5
25,2020.0,UKH34,2016,1
26,2020.0,UKH35,2016,1
27,2020.0,UKI31,2016,7
28,2020.0,UKI32,2016,13
29,2020.0,UKI33,2016,5
30,2020.0,UKI42,2016,1
31,2020.0,UKI43,2016,1
32,2020.0,UKJ14,2016,9
33,2020.0,UKJ32,2016,1
34,2020.0,UKK30,2016,1
35,2020.0,UKK43,2016,1
36,2020.0,UKL21,2016,1
37,2020.0,UKL22,2016,1
38,2020.0,UKM75,2016,5
39,2020.0,UKM82,2016,3
40,2020.0,UKN06,2016,1
41,2021.0,BE213,2016,1
42,2021.0,ES300,2016,1
43,2021.0,FRK26,2016,1
44,2021.0,SE232,2016,1
45,2021.0,UKD33,2016,1
46,2021.0,UKE21,2016,2
47,2021.0,UKJ14,2016,1
48,2021.0,UKJ32,2016,1
49,2021.0,UKM75,2016,2
50,2021.0,UKN06,2016,1
