year,region_type,region_year_spec,region_id,region_level,impact_studies_count
0,2018,NUTS,2016,FR,0,1
1,2018,NUTS,2016,FR1,1,1
2,2018,NUTS,2016,FR10,2,1
3,2018,NUTS,2016,FR101,3,1
4,2019,NUTS,2016,ES,0,1
5,2019,NUTS,2016,ES3,1,1
6,2019,NUTS,2016,ES30,2,1
7,2019,NUTS,2016,ES300,3,1
8,2019,NUTS,2016,NL,0,1
9,2019,NUTS,2016,NL3,1,1
10,2019,NUTS,2016,NL33,2,1
11,2019,NUTS,2016,NL337,3,1
12,2020,NUTS,2016,AT,0,2
13,2020,NUTS,2016,AT1,1,2
14,2020,NUTS,2016,AT13,2,2
15,2020,NUTS,2016,AT130,3,2
16,2020,NUTS,2016,BE,0,5
17,2020,NUTS,2016,BE2,1,5
18,2020,NUTS,2016,BE21,2,2
19,2020,NUTS,2016,BE213,3,2
20,2020,NUTS,2016,BE24,2,3
21,2020,NUTS,2016,BE242,3,3
22,2020,NUTS,2016,BG,0,1
23,2020,NUTS,2016,BG4,1,1
24,2020,NUTS,2016,BG41,2,1
25,2020,NUTS,2016,BG411,3,1
26,2020,NUTS,2016,CH,0,14
27,2020,NUTS,2016,CH0,1,14
28,2020,NUTS,2016,CH01,2,6
29,2020,NUTS,2016,CH011,3,2
30,2020,NUTS,2016,CH013,3,4
31,2020,NUTS,2016,CH02,2,3
32,2020,NUTS,2016,CH021,3,3
33,2020,NUTS,2016,CH03,2,2
34,2020,NUTS,2016,CH031,3,1
35,2020,NUTS,2016,CH033,3,1
36,2020,NUTS,2016,CH04,2,3
37,2020,NUTS,2016,CH040,3,3
38,2020,NUTS,2016,CZ,0,4
39,2020,NUTS,2016,CZ0,1,4
40,2020,NUTS,2016,CZ01,2,1
41,2020,NUTS,2016,CZ010,3,1
42,2020,NUTS,2016,CZ06,2,3
43,2020,NUTS,2016,CZ064,3,3
44,2020,NUTS,2016,DE,0,44
45,2020,NUTS,2016,DE1,1,9
46,2020,NUTS,2016,DE12,2,4
47,2020,NUTS,2016,DE125,3,4
48,2020,NUTS,2016,DE14,2,5
49,2020,NUTS,2016,DE144,3,5
50,2020,NUTS,2016,DE2,1,7
51,2020,NUTS,2016,DE21,2,4
52,2020,NUTS,2016,DE212,3,4
53,2020,NUTS,2016,DE23,2,1
54,2020,NUTS,2016,DE232,3,1
55,2020,NUTS,2016,DE25,2,1
56,2020,NUTS,2016,DE252,3,1
57,2020,NUTS,2016,DE26,2,1
58,2020,NUTS,2016,DE263,3,1
59,2020,NUTS,2016,DE3,1,6
60,2020,NUTS,2016,DE30,2,6
61,2020,NUTS,2016,DE300,3,6
62,2020,NUTS,2016,DE7,1,11
63,2020,NUTS,2016,DE71,2,6
64,2020,NUTS,2016,DE712,3,4
65,2020,NUTS,2016,DE71C,3,2
66,2020,NUTS,2016,DE72,2,4
67,2020,NUTS,2016,DE721,3,2
68,2020,NUTS,2016,DE724,3,2
69,2020,NUTS,2016,DE73,2,1
70,2020,NUTS,2016,DE731,3,1
71,2020,NUTS,2016,DE9,1,3
72,2020,NUTS,2016,DE91,2,3
73,2020,NUTS,2016,DE91C,3,3
74,2020,NUTS,2016,DEA,1,7
75,2020,NUTS,2016,DEA1,2,2
76,2020,NUTS,2016,DEA13,3,2
77,2020,NUTS,2016,DEA2,2,2
78,2020,NUTS,2016,DEA22,3,2
79,2020,NUTS,2016,DEA3,2,2
80,2020,NUTS,2016,DEA33,3,2
81,2020,NUTS,2016,DEA5,2,1
82,2020,NUTS,2016,DEA51,3,1
83,2020,NUTS,2016,DED,1,1
84,2020,NUTS,2016,DED4,2,1
85,2020,NUTS,2016,DED41,3,1
86,2020,NUTS,2016,DK,0,9
87,2020,NUTS,2016,DK0,1,9
88,2020,NUTS,2016,DK01,2,4
89,2020,NUTS,2016,DK011,3,4
90,2020,NUTS,2016,DK04,2,5
91,2020,NUTS,2016,DK042,3,5
92,2020,NUTS,2016,EE,0,3
93,2020,NUTS,2016,EE0,1,3
94,2020,NUTS,2016,EE00,2,3
95,2020,NUTS,2016,EE008,3,3
96,2020,NUTS,2016,ES,0,8
97,2020,NUTS,2016,ES2,1,1
98,2020,NUTS,2016,ES24,2,1
99,2020,NUTS,2016,ES243,3,1
100,2020,NUTS,2016,ES3,1,7
101,2020,NUTS,2016,ES30,2,7
102,2020,NUTS,2016,ES300,3,7
103,2020,NUTS,2016,FI,0,4
104,2020,NUTS,2016,FI1,1,4
105,2020,NUTS,2016,FI1B,2,4
106,2020,NUTS,2016,FI1B1,3,4
107,2020,NUTS,2016,FR,0,16
108,2020,NUTS,2016,FR1,1,8
109,2020,NUTS,2016,FR10,2,8
110,2020,NUTS,2016,FR101,3,3
111,2020,NUTS,2016,FR104,3,5
112,2020,NUTS,2016,FRE,1,1
113,2020,NUTS,2016,FRE1,2,1
114,2020,NUTS,2016,FRE11,3,1
115,2020,NUTS,2016,FRJ,1,1
116,2020,NUTS,2016,FRJ1,2,1
117,2020,NUTS,2016,FRJ13,3,1
118,2020,NUTS,2016,FRK,1,3
119,2020,NUTS,2016,FRK2,2,3
120,2020,NUTS,2016,FRK25,3,1
121,2020,NUTS,2016,FRK26,3,2
122,2020,NUTS,2016,FRL,1,3
123,2020,NUTS,2016,FRL0,2,3
124,2020,NUTS,2016,FRL04,3,3
125,2020,NUTS,2016,HU,0,2
126,2020,NUTS,2016,HU1,1,1
127,2020,NUTS,2016,HU11,2,1
128,2020,NUTS,2016,HU110,3,1
129,2020,NUTS,2016,HU2,1,1
130,2020,NUTS,2016,HU23,2,1
131,2020,NUTS,2016,HU231,3,1
132,2020,NUTS,2016,IE,0,2
133,2020,NUTS,2016,IE0,1,2
134,2020,NUTS,2016,IE05,2,1
135,2020,NUTS,2016,IE053,3,1
136,2020,NUTS,2016,IE06,2,1
137,2020,NUTS,2016,IE061,3,1
138,2020,NUTS,2016,IT,0,19
139,2020,NUTS,2016,ITC,1,8
140,2020,NUTS,2016,ITC1,2,2
141,2020,NUTS,2016,ITC11,3,2
142,2020,NUTS,2016,ITC4,2,6
143,2020,NUTS,2016,ITC4C,3,6
144,2020,NUTS,2016,ITF,1,3
145,2020,NUTS,2016,ITF3,2,3
146,2020,NUTS,2016,ITF33,3,3
147,2020,NUTS,2016,ITG,1,1
148,2020,NUTS,2016,ITG1,2,1
149,2020,NUTS,2016,ITG17,3,1
150,2020,NUTS,2016,ITH,1,2
151,2020,NUTS,2016,ITH3,2,1
152,2020,NUTS,2016,ITH36,3,1
153,2020,NUTS,2016,ITH4,2,1
154,2020,NUTS,2016,ITH44,3,1
155,2020,NUTS,2016,ITI,1,5
156,2020,NUTS,2016,ITI1,2,2
157,2020,NUTS,2016,ITI14,3,2
158,2020,NUTS,2016,ITI2,2,1
