year,region_type,region_year_spec,region_id,region_level,impact_studies_count
159,2020,NUTS,2016,ITI21,3,1
160,2020,NUTS,2016,ITI4,2,2
161,2020,NUTS,2016,ITI43,3,2
162,2020,NUTS,2016,NL,0,17
163,2020,NUTS,2016,NL1,1,1
164,2020,NUTS,2016,NL11,2,1
165,2020,NUTS,2016,NL113,3,1
166,2020,NUTS,2016,NL2,1,7
167,2020,NUTS,2016,NL22,2,7
168,2020,NUTS,2016,NL226,3,7
169,2020,NUTS,2016,NL3,1,9
170,2020,NUTS,2016,NL32,2,5
171,2020,NUTS,2016,NL329,3,5
172,2020,NUTS,2016,NL33,2,4
173,2020,NUTS,2016,NL337,3,2
174,2020,NUTS,2016,NL33C,3,2
175,2020,NUTS,2016,NO,0,3
176,2020,NUTS,2016,NO0,1,3
177,2020,NUTS,2016,NO06,2,2
178,2020,NUTS,2016,NO060,3,2
179,2020,NUTS,2016,NO07,2,1
180,2020,NUTS,2016,NO071,3,1
181,2020,NUTS,2016,PL,0,7
182,2020,NUTS,2016,PL2,1,4
183,2020,NUTS,2016,PL21,2,2
184,2020,NUTS,2016,PL213,3,2
185,2020,NUTS,2016,PL22,2,2
186,2020,NUTS,2016,PL22A,3,2
187,2020,NUTS,2016,PL4,1,1
188,2020,NUTS,2016,PL41,2,1
189,2020,NUTS,2016,PL415,3,1
190,2020,NUTS,2016,PL6,1,1
191,2020,NUTS,2016,PL63,2,1
192,2020,NUTS,2016,PL633,3,1
193,2020,NUTS,2016,PL8,1,1
194,2020,NUTS,2016,PL84,2,1
195,2020,NUTS,2016,PL841,3,1
196,2020,NUTS,2016,SE,0,2
197,2020,NUTS,2016,SE1,1,1
198,2020,NUTS,2016,SE11,2,1
199,2020,NUTS,2016,SE110,3,1
200,2020,NUTS,2016,SE2,1,1
201,2020,NUTS,2016,SE23,2,1
202,2020,NUTS,2016,SE232,3,1
203,2020,NUTS,2016,SI,0,1
204,2020,NUTS,2016,SI0,1,1
205,2020,NUTS,2016,SI04,2,1
206,2020,NUTS,2016,SI041,3,1
207,2020,NUTS,2016,SK,0,1
208,2020,NUTS,2016,SK0,1,1
209,2020,NUTS,2016,SK01,2,1
210,2020,NUTS,2016,SK010,3,1
211,2020,NUTS,2016,TR,0,3
212,2020,NUTS,2016,TR1,1,2
213,2020,NUTS,2016,TR10,2,2
214,2020,NUTS,2016,TR100,3,2
215,2020,NUTS,2016,TR5,1,1
216,2020,NUTS,2016,TR51,2,1
217,2020,NUTS,2016,TR510,3,1
218,2020,NUTS,2016,UK,0,83
219,2020,NUTS,2016,UKD,1,10
220,2020,NUTS,2016,UKD4,2,1
221,2020,NUTS,2016,UKD44,3,1
222,2020,NUTS,2016,UKD7,2,9
223,2020,NUTS,2016,UKD72,3,9
224,2020,NUTS,2016,UKE,1,4
225,2020,NUTS,2016,UKE2,2,1
226,2020,NUTS,2016,UKE21,3,1
227,2020,NUTS,2016,UKE3,2,2
228,2020,NUTS,2016,UKE32,3,2
229,2020,NUTS,2016,UKE4,2,1
230,2020,NUTS,2016,UKE44,3,1
231,2020,NUTS,2016,UKF,1,1
232,2020,NUTS,2016,UKF1,2,1
233,2020,NUTS,2016,UKF14,3,1
234,2020,NUTS,2016,UKG,1,5
235,2020,NUTS,2016,UKG2,2,5
236,2020,NUTS,2016,UKG24,3,5
237,2020,NUTS,2016,UKH,1,21
238,2020,NUTS,2016,UKH1,2,11
239,2020,NUTS,2016,UKH12,3,11
240,2020,NUTS,2016,UKH2,2,10
241,2020,NUTS,2016,UKH23,3,10
242,2020,NUTS,2016,UKI,1,22
243,2020,NUTS,2016,UKI3,2,20
244,2020,NUTS,2016,UKI31,3,11
245,2020,NUTS,2016,UKI32,3,4
246,2020,NUTS,2016,UKI33,3,5
247,2020,NUTS,2016,UKI7,2,2
248,2020,NUTS,2016,UKI74,3,2
249,2020,NUTS,2016,UKJ,1,16
250,2020,NUTS,2016,UKJ1,2,11
251,2020,NUTS,2016,UKJ14,3,11
252,2020,NUTS,2016,UKJ2,2,3
253,2020,NUTS,2016,UKJ25,3,3
254,2020,NUTS,2016,UKJ4,2,2
255,2020,NUTS,2016,UKJ44,3,2
256,2020,NUTS,2016,UKK,1,2
257,2020,NUTS,2016,UKK1,2,2
258,2020,NUTS,2016,UKK11,3,2
259,2020,NUTS,2016,UKM,1,2
260,2020,NUTS,2016,UKM8,2,2
261,2020,NUTS,2016,UKM82,3,2
262,2021,NUTS,2021,BE,0,4
263,2021,NUTS,2021,BE2,1,4
264,2021,NUTS,2021,BE21,2,3
265,2021,NUTS,2021,BE213,3,3
266,2021,NUTS,2021,BE23,2,1
267,2021,NUTS,2021,BE234,3,1
268,2021,NUTS,2021,CH,0,1
269,2021,NUTS,2021,CH0,1,1
270,2021,NUTS,2021,CH01,2,1
271,2021,NUTS,2021,CH011,3,1
272,2021,NUTS,2021,DE,0,5
273,2021,NUTS,2021,DE2,1,2
274,2021,NUTS,2021,DE21,2,2
275,2021,NUTS,2021,DE212,3,2
276,2021,NUTS,2021,DE3,1,1
277,2021,NUTS,2021,DE30,2,1
278,2021,NUTS,2021,DE300,3,1
279,2021,NUTS,2021,DE9,1,1
280,2021,NUTS,2021,DE92,2,1
281,2021,NUTS,2021,DE929,3,1
282,2021,NUTS,2021,DEA,1,1
283,2021,NUTS,2021,DEA1,2,1
284,2021,NUTS,2021,DEA13,3,1
285,2021,NUTS,2021,DK,0,1
286,2021,NUTS,2021,DK0,1,1
287,2021,NUTS,2021,DK01,2,1
288,2021,NUTS,2021,DK011,3,1
289,2021,NUTS,2021,EE,0,1
290,2021,NUTS,2021,EE0,1,1
291,2021,NUTS,2021,EE00,2,1
292,2021,NUTS,2021,EE008,3,1
293,2021,NUTS,2021,EL,0,3
294,2021,NUTS,2021,EL3,1,1
295,2021,NUTS,2021,EL30,2,1
296,2021,NUTS,2021,EL303,3,1
297,2021,NUTS,2021,EL4,1,1
298,2021,NUTS,2021,EL43,2,1
299,2021,NUTS,2021,EL433,3,1
300,2021,NUTS,2021,EL5,1,1
301,2021,NUTS,2021,EL51,2,1
302,2021,NUTS,2021,EL512,3,1
303,2021,NUTS,2021,FR,0,4
304,2021,NUTS,2021,FR1,1,1
305,2021,NUTS,2021,FR10,2,1
306,2021,NUTS,2021,FR104,3,1
307,2021,NUTS,2021,FRG,1,1
308,2021,NUTS,2021,FRG0,2,1
309,2021,NUTS,2021,FRG01,3,1
310,2021,NUTS,2021,FRI,1,1
311,2021,NUTS,2021,FRI1,2,1
312,2021,NUTS,2021,FRI12,3,1
313,2021,NUTS,2021,FRJ,1,1
314,2021,NUTS,2021,FRJ2,2,1
315,2021,NUTS,2021,FRJ23,3,1
316,2021,NUTS,2021,IE,0,1
317,2021,NUTS,2021,IE0,1,1
318,2021,NUTS,2021,IE05,2,1
319,2021,NUTS,2021,IE053,3,1
320,2021,NUTS,2021,IT,0,2
321,2021,NUTS,2021,ITC,1,1
322,2021,NUTS,2021,ITC4,2,1
323,2021,NUTS,2021,ITC4C,3,1
324,2021,NUTS,2021,ITI,1,1
325,2021,NUTS,2021,ITI4,2,1
326,2021,NUTS,2021,ITI43,3,1
327,2021,NUTS,2021,LU,0,1
328,2021,NUTS,2021,LU0,1,1
329,2021,NUTS,2021,LU00,2,1
330,2021,NUTS,2021,LU000,3,1
331,2021,NUTS,2021,NL,0,6
332,2021,NUTS,2021,NL2,1,2
333,2021,NUTS,2021,NL22,2,2
334,2021,NUTS,2021,NL226,3,2
335,2021,NUTS,2021,NL3,1,4
336,2021,NUTS,2021,NL33,2,4
337,2021,NUTS,2021,NL337,3,1
338,2021,NUTS,2021,NL33C,3,3
339,2021,NUTS,2021,NO,0,2
340,2021,NUTS,2021,NO0,1,2
341,2021,NUTS,2021,NO06,2,1
342,2021,NUTS,2021,NO060,3,1
343,2021,NUTS,2021,NO08,2,1
344,2021,NUTS,2021,NO081,3,1
345,2021,NUTS,2021,PL,0,1
346,2021,NUTS,2021,PL8,1,1
347,2021,NUTS,2021,PL84,2,1
348,2021,NUTS,2021,PL841,3,1
349,2021,NUTS,2021,PT,0,1
350,2021,NUTS,2021,PT1,1,1
351,2021,NUTS,2021,PT11,2,1
352,2021,NUTS,2021,PT11A,3,1
353,2021,NUTS,2021,SE,0,4
354,2021,NUTS,2021,SE1,1,3
355,2021,NUTS,2021,SE11,2,3
356,2021,NUTS,2021,SE110,3,3
357,2021,NUTS,2021,SE3,1,1
358,2021,NUTS,2021,SE33,2,1
359,2021,NUTS,2021,SE331,3,1
360,2021,NUTS,2021,UK,0,18
361,2021,NUTS,2021,UKD,1,6
362,2021,NUTS,2021,UKD3,2,2
363,2021,NUTS,2021,UKD33,3,2
364,2021,NUTS,2021,UKD4,2,1
365,2021,NUTS,2021,UKD44,3,1
366,2021,NUTS,2021,UKD7,2,3
367,2021,NUTS,2021,UKD72,3,3
368,2021,NUTS,2021,UKE,1,1
369,2021,NUTS,2021,UKE4,2,1
370,2021,NUTS,2021,UKE44,3,1
371,2021,NUTS,2021,UKG,1,2
372,2021,NUTS,2021,UKG2,2,1
373,2021,NUTS,2021,UKG24,3,1
374,2021,NUTS,2021,UKG3,2,1
375,2021,NUTS,2021,UKG31,3,1
376,2021,NUTS,2021,UKH,1,3
377,2021,NUTS,2021,UKH1,2,1
378,2021,NUTS,2021,UKH12,3,1
379,2021,NUTS,2021,UKH2,2,2
380,2021,NUTS,2021,UKH23,3,2
381,2021,NUTS,2021,UKI,1,1
382,2021,NUTS,2021,UKI3,2,1
383,2021,NUTS,2021,UKI33,3,1
384,2021,NUTS,2021,UKJ,1,5
385,2021,NUTS,2021,UKJ1,2,3
386,2021,NUTS,2021,UKJ14,3,3
387,2021,NUTS,2021,UKJ2,2,1
388,2021,NUTS,2021,UKJ25,3,1
389,2021,NUTS,2021,UKJ4,2,1
390,2021,NUTS,2021,UKJ44,3,1
