year,region_type,region_year_spec,region_id,region_level,cord_count
0,2010,NUTS,2010,AT,0,32
1,2010,NUTS,2010,AT1,1,25
2,2010,NUTS,2010,AT13,2,25
3,2010,NUTS,2010,AT130,3,25
4,2010,NUTS,2010,AT2,1,4
5,2010,NUTS,2010,AT22,2,4
6,2010,NUTS,2010,AT221,3,4
7,2010,NUTS,2010,AT3,1,3
8,2010,NUTS,2010,AT33,2,3
9,2010,NUTS,2010,AT332,3,3
10,2010,NUTS,2010,BE,0,38
11,2010,NUTS,2010,BE1,1,8
12,2010,NUTS,2010,BE10,2,8
13,2010,NUTS,2010,BE100,3,8
14,2010,NUTS,2010,BE2,1,26
15,2010,NUTS,2010,BE21,2,6
16,2010,NUTS,2010,BE211,3,5
17,2010,NUTS,2010,BE213,3,1
18,2010,NUTS,2010,BE23,2,9
19,2010,NUTS,2010,BE234,3,9
20,2010,NUTS,2010,BE24,2,11
21,2010,NUTS,2010,BE242,3,11
22,2010,NUTS,2010,BE3,1,4
23,2010,NUTS,2010,BE31,2,3
24,2010,NUTS,2010,BE310,3,3
25,2010,NUTS,2010,BE33,2,1
26,2010,NUTS,2010,BE332,3,1
27,2010,NUTS,2010,CH,0,81
28,2010,NUTS,2010,CH0,1,81
29,2010,NUTS,2010,CH01,2,25
30,2010,NUTS,2010,CH011,3,11
31,2010,NUTS,2010,CH013,3,14
32,2010,NUTS,2010,CH02,2,11
33,2010,NUTS,2010,CH021,3,11
34,2010,NUTS,2010,CH03,2,11
35,2010,NUTS,2010,CH031,3,11
36,2010,NUTS,2010,CH04,2,28
37,2010,NUTS,2010,CH040,3,28
38,2010,NUTS,2010,CH05,2,6
39,2010,NUTS,2010,CH055,3,6
40,2010,NUTS,2010,CZ,0,20
41,2010,NUTS,2010,CZ0,1,20
42,2010,NUTS,2010,CZ01,2,9
43,2010,NUTS,2010,CZ010,3,9
44,2010,NUTS,2010,CZ02,2,1
45,2010,NUTS,2010,CZ020,3,1
46,2010,NUTS,2010,CZ06,2,9
47,2010,NUTS,2010,CZ064,3,9
48,2010,NUTS,2010,CZ07,2,1
49,2010,NUTS,2010,CZ071,3,1
50,2010,NUTS,2010,DE,0,178
51,2010,NUTS,2010,DE1,1,17
52,2010,NUTS,2010,DE12,2,2
53,2010,NUTS,2010,DE125,3,2
54,2010,NUTS,2010,DE13,2,9
55,2010,NUTS,2010,DE131,3,8
56,2010,NUTS,2010,DE138,3,1
57,2010,NUTS,2010,DE14,2,6
58,2010,NUTS,2010,DE142,3,4
59,2010,NUTS,2010,DE144,3,2
60,2010,NUTS,2010,DE2,1,33
61,2010,NUTS,2010,DE21,2,25
62,2010,NUTS,2010,DE212,3,25
63,2010,NUTS,2010,DE23,2,5
64,2010,NUTS,2010,DE232,3,5
65,2010,NUTS,2010,DE25,2,1
66,2010,NUTS,2010,DE252,3,1
67,2010,NUTS,2010,DE26,2,2
68,2010,NUTS,2010,DE263,3,2
69,2010,NUTS,2010,DE3,1,32
70,2010,NUTS,2010,DE30,2,32
71,2010,NUTS,2010,DE300,3,32
72,2010,NUTS,2010,DE4,1,1
73,2010,NUTS,2010,DE40,2,1
74,2010,NUTS,2010,DE404,3,1
75,2010,NUTS,2010,DE5,1,1
76,2010,NUTS,2010,DE50,2,1
77,2010,NUTS,2010,DE501,3,1
78,2010,NUTS,2010,DE6,1,10
79,2010,NUTS,2010,DE60,2,10
80,2010,NUTS,2010,DE600,3,10
81,2010,NUTS,2010,DE7,1,24
82,2010,NUTS,2010,DE71,2,8
83,2010,NUTS,2010,DE712,3,5
84,2010,NUTS,2010,DE71C,3,3
85,2010,NUTS,2010,DE72,2,12
86,2010,NUTS,2010,DE721,3,5
87,2010,NUTS,2010,DE724,3,7
88,2010,NUTS,2010,DE73,2,4
89,2010,NUTS,2010,DE731,3,4
90,2010,NUTS,2010,DE8,1,3
91,2010,NUTS,2010,DE80,2,3
92,2010,NUTS,2010,DE803,3,3
93,2010,NUTS,2010,DE9,1,14
94,2010,NUTS,2010,DE91,2,4
95,2010,NUTS,2010,DE915,3,4
96,2010,NUTS,2010,DE92,2,10
97,2010,NUTS,2010,DE929,3,10
98,2010,NUTS,2010,DEA,1,23
99,2010,NUTS,2010,DEA1,2,4
100,2010,NUTS,2010,DEA13,3,4
101,2010,NUTS,2010,DEA2,2,15
102,2010,NUTS,2010,DEA22,3,9
103,2010,NUTS,2010,DEA23,3,2
104,2010,NUTS,2010,DEA2D,3,4
105,2010,NUTS,2010,DEA3,2,1
106,2010,NUTS,2010,DEA33,3,1
107,2010,NUTS,2010,DEA4,2,1
108,2010,NUTS,2010,DEA41,3,1
109,2010,NUTS,2010,DEA5,2,2
110,2010,NUTS,2010,DEA51,3,2
111,2010,NUTS,2010,DEB,1,1
112,2010,NUTS,2010,DEB3,2,1
113,2010,NUTS,2010,DEB3F,3,1
114,2010,NUTS,2010,DEC,1,1
115,2010,NUTS,2010,DEC0,2,1
116,2010,NUTS,2010,DEC01,3,1
117,2010,NUTS,2010,DED,1,10
118,2010,NUTS,2010,DED4,2,3
119,2010,NUTS,2010,DED41,3,3
120,2010,NUTS,2010,DED5,2,7
121,2010,NUTS,2010,DED51,3,7
122,2010,NUTS,2010,DEE,1,3
123,2010,NUTS,2010,DEE0,2,3
