,year,nuts_id,nuts_year_spec,impact_studies_3_count
0,2020.0,AT,2016,4
1,2020.0,BE,2016,9
2,2020.0,CH,2016,17
3,2020.0,CZ,2016,3
4,2020.0,DE,2016,78
5,2020.0,DK,2016,1
6,2020.0,EE,2016,1
7,2020.0,EL,2016,8
8,2020.0,ES,2016,30
9,2020.0,FI,2016,4
10,2020.0,FR,2016,19
11,2020.0,IS,2016,2
12,2020.0,IT,2016,66
13,2020.0,LU,2016,1
14,2020.0,NL,2016,40
15,2020.0,NO,2016,4
16,2020.0,PL,2016,1
17,2020.0,RS,2016,2
18,2020.0,SE,2016,39
19,2020.0,TR,2016,4
20,2020.0,UK,2016,138
21,2021.0,CH,2016,3
22,2021.0,DE,2016,8
23,2021.0,DK,2016,1
24,2021.0,ES,2016,1
25,2021.0,FR,2016,2
26,2021.0,IE,2016,1
27,2021.0,IT,2016,6
28,2021.0,NL,2016,3
29,2021.0,SE,2016,5
30,2021.0,SK,2016,1
31,2021.0,TR,2016,1
32,2021.0,UK,2016,13
