,year,nuts_id,nuts_year_spec,detection_sequencing_count
0,2020.0,AT13,2016,1
1,2020.0,BE23,2016,1
2,2020.0,BE33,2016,1
3,2020.0,CH01,2016,10
4,2020.0,CH03,2016,2
5,2020.0,CH04,2016,2
6,2020.0,CY00,2016,1
7,2020.0,DE13,2016,1
8,2020.0,DE21,2016,3
9,2020.0,DE23,2016,1
10,2020.0,DE30,2016,1
11,2020.0,DE71,2016,2
12,2020.0,DEA2,2016,4
13,2020.0,DEA5,2016,1
14,2020.0,DEB3,2016,1
15,2020.0,DED5,2016,2
16,2020.0,EL30,2016,1
17,2020.0,ES11,2016,3
18,2020.0,ES30,2016,3
19,2020.0,ES51,2016,1
20,2020.0,ES52,2016,2
21,2020.0,ES70,2016,1
22,2020.0,FI1B,2016,1
23,2020.0,FR10,2016,8
24,2020.0,FRF1,2016,1
25,2020.0,FRK2,2016,1
26,2020.0,HU11,2016,4
27,2020.0,ITC4,2016,8
28,2020.0,ITF4,2016,1
29,2020.0,ITG2,2016,1
30,2020.0,ITH3,2016,1
31,2020.0,ITH4,2016,2
32,2020.0,ITH5,2016,2
33,2020.0,ITI1,2016,2
34,2020.0,ITI4,2016,2
35,2020.0,LT01,2016,2
36,2020.0,NL31,2016,3
37,2020.0,NL33,2016,2
38,2020.0,NL42,2016,1
39,2020.0,NO01,2016,1
40,2020.0,NO04,2016,2
41,2020.0,NO06,2016,1
42,2020.0,PL21,2016,2
43,2020.0,RO32,2016,1
44,2020.0,SE11,2016,2
45,2020.0,SE22,2016,1
46,2020.0,SI04,2016,1
47,2020.0,TR10,2016,3
48,2020.0,TR72,2016,1
49,2020.0,TRA2,2016,1
50,2020.0,UKD3,2016,2
51,2020.0,UKD4,2016,1
52,2020.0,UKD6,2016,1
53,2020.0,UKD7,2016,1
54,2020.0,UKE3,2016,1
55,2020.0,UKG1,2016,1
56,2020.0,UKG3,2016,4
57,2020.0,UKH2,2016,4
58,2020.0,UKI3,2016,11
59,2020.0,UKI4,2016,1
60,2020.0,UKJ1,2016,2
61,2020.0,UKJ2,2016,2
62,2020.0,UKK1,2016,2
63,2020.0,UKK4,2016,1
64,2020.0,UKL2,2016,1
65,2020.0,UKM7,2016,3
66,2020.0,UKM8,2016,1
67,2021.0,AT33,2016,1
68,2021.0,CH01,2016,2
69,2021.0,CH02,2016,1
70,2021.0,CH03,2016,1
71,2021.0,DE21,2016,1
72,2021.0,DE30,2016,2
73,2021.0,ES22,2016,2
74,2021.0,ES30,2016,2
75,2021.0,ES52,2016,1
76,2021.0,FR10,2016,1
77,2021.0,FRL0,2016,1
78,2021.0,NL22,2016,1
79,2021.0,NL31,2016,2
80,2021.0,NL32,2016,1
81,2021.0,NL33,2016,1
82,2021.0,SK01,2016,2
83,2021.0,TR10,2016,1
84,2021.0,TR21,2016,1
85,2021.0,TR31,2016,1
86,2021.0,TR41,2016,1
87,2021.0,TR42,2016,1
88,2021.0,TR51,2016,2
89,2021.0,TR61,2016,1
90,2021.0,TR81,2016,1
91,2021.0,UKD3,2016,1
92,2021.0,UKH2,2016,1
93,2021.0,UKI3,2016,2
94,2021.0,UKI4,2016,2
95,2021.0,UKM7,2016,2
96,2021.0,UKM8,2016,1
