,year,nuts_id,nuts_year_spec,social_media_count
0,2020.0,AT130,2016,4
1,2020.0,AT221,2016,1
2,2020.0,AT312,2016,1
3,2020.0,AT332,2016,2
4,2020.0,BE213,2016,3
5,2020.0,CH011,2016,4
6,2020.0,CH013,2016,2
7,2020.0,CH040,2016,9
8,2020.0,CH055,2016,1
9,2020.0,CH070,2016,1
10,2020.0,CY000,2016,1
11,2020.0,DE122,2016,1
12,2020.0,DE125,2016,2
13,2020.0,DE126,2016,1
14,2020.0,DE134,2016,1
15,2020.0,DE138,2016,1
16,2020.0,DE142,2016,2
17,2020.0,DE144,2016,1
18,2020.0,DE212,2016,6
19,2020.0,DE21H,2016,1
20,2020.0,DE300,2016,8
21,2020.0,DE501,2016,3
22,2020.0,DE600,2016,1
23,2020.0,DE721,2016,1
24,2020.0,DE803,2016,1
25,2020.0,DE911,2016,1
26,2020.0,DE91C,2016,1
27,2020.0,DEA13,2016,4
28,2020.0,DEA22,2016,4
29,2020.0,DEA2C,2016,4
30,2020.0,DEA2D,2016,1
31,2020.0,DEA33,2016,2
32,2020.0,DEA41,2016,1
33,2020.0,DEA47,2016,1
34,2020.0,DEA51,2016,1
35,2020.0,DEB32,2016,2
36,2020.0,DED41,2016,7
37,2020.0,DK011,2016,1
38,2020.0,DK012,2016,3
39,2020.0,DK031,2016,1
40,2020.0,EE008,2016,2
41,2020.0,EL303,2016,2
42,2020.0,EL522,2016,1
43,2020.0,ES120,2016,1
44,2020.0,ES220,2016,1
45,2020.0,ES412,2016,1
46,2020.0,ES511,2016,3
47,2020.0,ES618,2016,1
48,2020.0,FI1B1,2016,1
49,2020.0,FI1C1,2016,1
50,2020.0,FR101,2016,2
51,2020.0,FR103,2016,4
52,2020.0,FR104,2016,2
53,2020.0,FRF31,2016,1
54,2020.0,FRG04,2016,1
55,2020.0,FRH03,2016,1
56,2020.0,FRK24,2016,1
57,2020.0,FRL04,2016,3
58,2020.0,HU110,2016,3
59,2020.0,HU213,2016,1
60,2020.0,HU231,2016,1
61,2020.0,IE053,2016,2
62,2020.0,ITC11,2016,3
63,2020.0,ITC4C,2016,6
64,2020.0,ITF33,2016,2
65,2020.0,ITF47,2016,1
66,2020.0,ITF65,2016,1
67,2020.0,ITH20,2016,4
68,2020.0,ITH35,2016,1
69,2020.0,ITH36,2016,1
70,2020.0,ITH55,2016,2
71,2020.0,ITI14,2016,2
72,2020.0,ITI17,2016,2
73,2020.0,ITI43,2016,2
74,2020.0,LU000,2016,5
75,2020.0,LV006,2016,1
76,2020.0,NL213,2016,1
77,2020.0,NL221,2016,1
78,2020.0,NL226,2016,3
79,2020.0,NL329,2016,1
80,2020.0,NL333,2016,1
81,2020.0,NL337,2016,1
82,2020.0,NL423,2016,3
83,2020.0,NO060,2016,1
84,2020.0,PL415,2016,1
85,2020.0,PL514,2016,4
86,2020.0,PL711,2016,1
87,2020.0,PL911,2016,1
88,2020.0,PT16E,2016,1
89,2020.0,RO113,2016,1
90,2020.0,SE110,2016,1
91,2020.0,SE121,2016,1
92,2020.0,SE213,2016,1
93,2020.0,SE224,2016,2
94,2020.0,TR100,2016,2
95,2020.0,TR510,2016,3
96,2020.0,UKD33,2016,3
97,2020.0,UKD47,2016,1
98,2020.0,UKD72,2016,1
99,2020.0,UKE11,2016,1
100,2020.0,UKE21,2016,1
101,2020.0,UKE32,2016,2
102,2020.0,UKE42,2016,5
103,2020.0,UKF14,2016,2
104,2020.0,UKG13,2016,1
105,2020.0,UKG31,2016,1
106,2020.0,UKG39,2016,1
107,2020.0,UKH12,2016,8
108,2020.0,UKH17,2016,1
109,2020.0,UKH21,2016,1
110,2020.0,UKH23,2016,1
111,2020.0,UKH34,2016,2
112,2020.0,UKI31,2016,6
113,2020.0,UKI32,2016,4
114,2020.0,UKI33,2016,4
115,2020.0,UKI42,2016,3
116,2020.0,UKI44,2016,1
117,2020.0,UKI51,2016,1
118,2020.0,UKJ14,2016,8
119,2020.0,UKJ22,2016,1
120,2020.0,UKJ25,2016,1
121,2020.0,UKJ34,2016,1
122,2020.0,UKK11,2016,2
123,2020.0,UKK12,2016,1
124,2020.0,UKL18,2016,2
125,2020.0,UKM50,2016,1
126,2020.0,UKM75,2016,8
127,2020.0,UKM82,2016,2
128,2020.0,UKN06,2016,2
129,2021.0,AT130,2016,1
130,2021.0,AT221,2016,2
131,2021.0,AT312,2016,1
132,2021.0,CH013,2016,2
133,2021.0,CH021,2016,2
134,2021.0,CH040,2016,3
135,2021.0,DE212,2016,2
136,2021.0,DE21H,2016,1
137,2021.0,DE300,2016,3
138,2021.0,DE711,2016,2
139,2021.0,DK021,2016,1
140,2021.0,DK042,2016,1
141,2021.0,DK050,2016,1
142,2021.0,EE008,2016,1
143,2021.0,ES614,2016,1
144,2021.0,FRF11,2016,1
145,2021.0,ITH55,2016,2
146,2021.0,ITI17,2016,1
147,2021.0,ITI43,2016,1
148,2021.0,NL226,2016,1
149,2021.0,NL333,2016,1
150,2021.0,NL423,2016,1
151,2021.0,PL711,2016,1
152,2021.0,PT170,2016,2
153,2021.0,SE110,2016,1
154,2021.0,SE124,2016,1
155,2021.0,TR100,2016,1
156,2021.0,UKD33,2016,2
157,2021.0,UKE32,2016,2
158,2021.0,UKG13,2016,2
159,2021.0,UKG31,2016,1
160,2021.0,UKH12,2016,1
161,2021.0,UKI31,2016,1
162,2021.0,UKI32,2016,1
163,2021.0,UKJ14,2016,2
