,year,nuts_id,nuts_year_spec,trials_count
0,2017.0,UKJ3,2016,1
1,2018.0,FRL0,2016,1
2,2019.0,FRL0,2016,1
3,2020.0,AT13,2016,2
4,2020.0,AT22,2016,1
5,2020.0,CH01,2016,1
6,2020.0,CH02,2016,2
7,2020.0,DE13,2016,2
8,2020.0,DE21,2016,1
9,2020.0,DE26,2016,1
10,2020.0,DE40,2016,1
11,2020.0,DE91,2016,1
12,2020.0,DEA2,2016,3
13,2020.0,DED4,2016,1
14,2020.0,DK01,2016,3
15,2020.0,DK03,2016,1
16,2020.0,EL30,2016,1
17,2020.0,EL52,2016,1
18,2020.0,ES11,2016,1
19,2020.0,ES30,2016,3
20,2020.0,ES51,2016,1
21,2020.0,FI1B,2016,1
22,2020.0,FR10,2016,11
23,2020.0,FRF1,2016,1
24,2020.0,FRI1,2016,2
25,2020.0,FRJ1,2016,1
26,2020.0,FRL0,2016,1
27,2020.0,IE06,2016,1
28,2020.0,ITC1,2016,1
29,2020.0,ITC4,2016,2
30,2020.0,ITH3,2016,1
31,2020.0,ITH5,2016,1
32,2020.0,ITI4,2016,3
33,2020.0,NL21,2016,1
34,2020.0,NL22,2016,6
35,2020.0,NL31,2016,2
36,2020.0,NL32,2016,5
37,2020.0,NL33,2016,5
38,2020.0,NL42,2016,1
39,2020.0,NO01,2016,1
40,2020.0,PL21,2016,1
41,2020.0,PL51,2016,2
42,2020.0,PL91,2016,1
43,2020.0,PT11,2016,1
44,2020.0,SE11,2016,3
45,2020.0,SE33,2016,1
46,2020.0,SK01,2016,1
47,2020.0,TR10,2016,1
48,2020.0,TR51,2016,1
49,2020.0,TR52,2016,1
50,2020.0,TR83,2016,1
51,2020.0,TRB1,2016,1
52,2020.0,UKC2,2016,1
53,2020.0,UKD3,2016,3
54,2020.0,UKD7,2016,2
55,2020.0,UKE1,2016,1
56,2020.0,UKE3,2016,2
57,2020.0,UKF1,2016,2
58,2020.0,UKG1,2016,1
59,2020.0,UKG2,2016,1
60,2020.0,UKG3,2016,1
61,2020.0,UKH1,2016,6
62,2020.0,UKH2,2016,3
63,2020.0,UKI3,2016,18
64,2020.0,UKI4,2016,1
65,2020.0,UKJ1,2016,8
66,2020.0,UKJ3,2016,5
67,2020.0,UKK1,2016,2
68,2020.0,UKK4,2016,1
69,2020.0,UKN0,2016,1
70,2021.0,EL30,2016,1
71,2021.0,FR10,2016,1
72,2021.0,NL22,2016,1
73,2021.0,NL31,2016,1
74,2021.0,NL32,2016,2
75,2021.0,NL33,2016,1
76,2021.0,UKI3,2016,1
77,2021.0,UKK1,2016,1
