,year,nuts_id,nuts_year_spec,education_count
0,2019.0,NL4,2016,1
1,2020.0,AT1,2016,1
2,2020.0,AT2,2016,1
3,2020.0,AT3,2016,1
4,2020.0,BE2,2016,3
5,2020.0,BE3,2016,1
6,2020.0,CH0,2016,5
7,2020.0,CZ0,2016,2
8,2020.0,DE1,2016,4
9,2020.0,DE2,2016,4
10,2020.0,DEA,2016,2
11,2020.0,DK0,2016,3
12,2020.0,ES1,2016,1
13,2020.0,ES2,2016,1
14,2020.0,ES3,2016,3
15,2020.0,ES5,2016,1
16,2020.0,FR1,2016,5
17,2020.0,FRG,2016,1
18,2020.0,ITC,2016,5
19,2020.0,ITF,2016,1
20,2020.0,ITH,2016,2
21,2020.0,ITI,2016,1
22,2020.0,NL3,2016,4
23,2020.0,NO0,2016,2
24,2020.0,SE1,2016,1
25,2020.0,SE2,2016,2
26,2020.0,UKD,2016,7
27,2020.0,UKE,2016,4
28,2020.0,UKF,2016,4
29,2020.0,UKG,2016,7
30,2020.0,UKH,2016,9
31,2020.0,UKI,2016,22
32,2020.0,UKJ,2016,20
33,2020.0,UKK,2016,15
34,2020.0,UKL,2016,2
35,2020.0,UKM,2016,10
36,2020.0,UKN,2016,1
37,2021.0,CH0,2016,1
38,2021.0,DE3,2016,1
39,2021.0,ES5,2016,1
40,2021.0,ITH,2016,2
41,2021.0,ITI,2016,1
42,2021.0,NL3,2016,1
43,2021.0,NO0,2016,2
44,2021.0,PT1,2016,1
45,2021.0,SE1,2016,1
46,2021.0,SE2,2016,1
47,2021.0,UKE,2016,1
48,2021.0,UKF,2016,1
49,2021.0,UKG,2016,1
50,2021.0,UKH,2016,1
51,2021.0,UKK,2016,2
