,year,nuts_id,nuts_year_spec,arxiv_count
182,2005.0,HU,2016,317
183,2005.0,IE,2016,179
184,2005.0,IS,2016,46
185,2005.0,IT,2016,3004
186,2005.0,LT,2016,15
187,2005.0,LU,2016,11
188,2005.0,LV,2016,13
189,2005.0,ME,2016,10
190,2005.0,NL,2016,987
191,2005.0,NO,2016,195
192,2005.0,PL,2016,724
193,2005.0,PT,2016,233
194,2005.0,RO,2016,67
195,2005.0,RS,2016,24
196,2005.0,SE,2016,560
197,2005.0,SI,2016,83
198,2005.0,SK,2016,179
199,2005.0,TR,2016,220
200,2005.0,UK,2016,4529
201,2006.0,AL,2016,1
202,2006.0,AT,2016,425
203,2006.0,BE,2016,568
204,2006.0,BG,2016,99
205,2006.0,CH,2016,1030
206,2006.0,CY,2016,47
207,2006.0,CZ,2016,304
208,2006.0,DE,2016,5614
209,2006.0,DK,2016,299
210,2006.0,EE,2016,39
211,2006.0,EL,2016,392
212,2006.0,ES,2016,2288
213,2006.0,FI,2016,285
214,2006.0,FR,2016,3119
215,2006.0,HR,2016,35
216,2006.0,HU,2016,372
217,2006.0,IE,2016,203
218,2006.0,IS,2016,42
219,2006.0,IT,2016,3064
220,2006.0,LT,2016,9
221,2006.0,LU,2016,15
222,2006.0,LV,2016,17
223,2006.0,ME,2016,10
224,2006.0,MT,2016,1
225,2006.0,NL,2016,1171
226,2006.0,NO,2016,235
227,2006.0,PL,2016,813
228,2006.0,PT,2016,266
229,2006.0,RO,2016,81
230,2006.0,RS,2016,37
231,2006.0,SE,2016,573
232,2006.0,SI,2016,118
233,2006.0,SK,2016,186
234,2006.0,TR,2016,250
235,2006.0,UK,2016,5041
236,2007.0,AL,2016,4
237,2007.0,AT,2016,458
238,2007.0,BE,2016,644
239,2007.0,BG,2016,129
240,2007.0,CH,2016,1179
241,2007.0,CY,2016,42
242,2007.0,CZ,2016,383
243,2007.0,DE,2016,6294
244,2007.0,DK,2016,362
245,2007.0,EE,2016,28
246,2007.0,EL,2016,379
247,2007.0,ES,2016,2616
248,2007.0,FI,2016,348
249,2007.0,FR,2016,3611
250,2007.0,HR,2016,59
251,2007.0,HU,2016,400
252,2007.0,IE,2016,187
253,2007.0,IS,2016,47
254,2007.0,IT,2016,3488
255,2007.0,LT,2016,19
256,2007.0,LU,2016,40
257,2007.0,LV,2016,10
258,2007.0,ME,2016,13
259,2007.0,MT,2016,1
260,2007.0,NL,2016,1343
261,2007.0,NO,2016,241
262,2007.0,PL,2016,888
263,2007.0,PT,2016,344
264,2007.0,RO,2016,84
265,2007.0,RS,2016,36
266,2007.0,SE,2016,668
267,2007.0,SI,2016,124
268,2007.0,SK,2016,257
269,2007.0,TR,2016,256
270,2007.0,UK,2016,5572
271,2008.0,AT,2016,573
272,2008.0,BE,2016,717
273,2008.0,BG,2016,113
274,2008.0,CH,2016,1249
275,2008.0,CY,2016,66
276,2008.0,CZ,2016,398
277,2008.0,DE,2016,6737
278,2008.0,DK,2016,391
279,2008.0,EE,2016,41
280,2008.0,EL,2016,404
281,2008.0,ES,2016,2832
282,2008.0,FI,2016,400
283,2008.0,FR,2016,3745
284,2008.0,HR,2016,58
285,2008.0,HU,2016,351
286,2008.0,IE,2016,271
287,2008.0,IS,2016,70
288,2008.0,IT,2016,3550
289,2008.0,LT,2016,20
290,2008.0,LU,2016,33
291,2008.0,LV,2016,21
292,2008.0,ME,2016,9
293,2008.0,NL,2016,1394
294,2008.0,NO,2016,245
295,2008.0,PL,2016,959
296,2008.0,PT,2016,351
297,2008.0,RO,2016,72
298,2008.0,RS,2016,31
299,2008.0,SE,2016,661
300,2008.0,SI,2016,155
301,2008.0,SK,2016,210
302,2008.0,TR,2016,256
303,2008.0,UK,2016,5949
304,2009.0,AT,2016,704
305,2009.0,BE,2016,921
306,2009.0,BG,2016,110
307,2009.0,CH,2016,1438
308,2009.0,CY,2016,80
309,2009.0,CZ,2016,522
310,2009.0,DE,2016,7352
311,2009.0,DK,2016,408
312,2009.0,EE,2016,60
313,2009.0,EL,2016,473
314,2009.0,ES,2016,3123
315,2009.0,FI,2016,474
316,2009.0,FR,2016,4356
317,2009.0,HR,2016,96
318,2009.0,HU,2016,383
319,2009.0,IE,2016,291
320,2009.0,IS,2016,76
321,2009.0,IT,2016,3907
322,2009.0,LT,2016,27
323,2009.0,LU,2016,46
324,2009.0,LV,2016,17
325,2009.0,ME,2016,20
326,2009.0,MK,2016,1
327,2009.0,MT,2016,4
328,2009.0,NL,2016,1558
329,2009.0,NO,2016,291
330,2009.0,PL,2016,1144
331,2009.0,PT,2016,384
332,2009.0,RO,2016,125
333,2009.0,RS,2016,56
334,2009.0,SE,2016,898
335,2009.0,SI,2016,153
336,2009.0,SK,2016,244
337,2009.0,TR,2016,332
338,2009.0,UK,2016,6527
339,2010.0,AT,2016,763
340,2010.0,BE,2016,851
341,2010.0,BG,2016,115
342,2010.0,CH,2016,1661
343,2010.0,CY,2016,70
344,2010.0,CZ,2016,553
345,2010.0,DE,2016,8367
346,2010.0,DK,2016,499
347,2010.0,EE,2016,59
348,2010.0,EL,2016,490
349,2010.0,ES,2016,3710
350,2010.0,FI,2016,504
351,2010.0,FR,2016,4935
352,2010.0,HR,2016,90
353,2010.0,HU,2016,467
354,2010.0,IE,2016,320
355,2010.0,IS,2016,77
356,2010.0,IT,2016,4258
357,2010.0,LT,2016,37
358,2010.0,LU,2016,56
359,2010.0,LV,2016,20
360,2010.0,ME,2016,11
361,2010.0,MT,2016,5
362,2010.0,NL,2016,1871
363,2010.0,NO,2016,341
364,2010.0,PL,2016,1145
365,2010.0,PT,2016,475
366,2010.0,RO,2016,138
367,2010.0,RS,2016,64
368,2010.0,SE,2016,1127
369,2010.0,SI,2016,168
370,2010.0,SK,2016,312
371,2010.0,TR,2016,322
372,2010.0,UK,2016,7505
