,year,nuts_id,nuts_year_spec,biorxiv_count
0,2011.0,SE,2016,1
1,2011.0,UK,2016,1
2,2012.0,IT,2016,1
3,2012.0,SE,2016,1
4,2013.0,CH,2016,1
5,2013.0,DE,2016,9
6,2013.0,ES,2016,1
7,2013.0,FR,2016,3
8,2013.0,IE,2016,1
9,2013.0,IT,2016,4
10,2013.0,SE,2016,2
11,2013.0,TR,2016,1
12,2013.0,UK,2016,21
13,2014.0,AT,2016,7
14,2014.0,BE,2016,5
15,2014.0,CH,2016,49
16,2014.0,CZ,2016,2
17,2014.0,DE,2016,70
18,2014.0,DK,2016,10
19,2014.0,EE,2016,7
20,2014.0,ES,2016,40
21,2014.0,FI,2016,11
22,2014.0,FR,2016,16
23,2014.0,HR,2016,3
24,2014.0,HU,2016,8
25,2014.0,IE,2016,1
26,2014.0,IS,2016,5
27,2014.0,IT,2016,23
28,2014.0,LT,2016,1
29,2014.0,NL,2016,20
30,2014.0,NO,2016,4
31,2014.0,PT,2016,6
32,2014.0,RO,2016,1
33,2014.0,SE,2016,32
34,2014.0,SK,2016,1
35,2014.0,TR,2016,6
36,2014.0,UK,2016,177
37,2015.0,AT,2016,24
38,2015.0,BE,2016,13
39,2015.0,BG,2016,2
40,2015.0,CH,2016,69
41,2015.0,CY,2016,3
42,2015.0,CZ,2016,6
43,2015.0,DE,2016,169
44,2015.0,DK,2016,44
45,2015.0,EE,2016,4
46,2015.0,EL,2016,7
47,2015.0,ES,2016,67
48,2015.0,FI,2016,25
49,2015.0,FR,2016,68
50,2015.0,HR,2016,4
51,2015.0,HU,2016,3
52,2015.0,IE,2016,7
53,2015.0,IS,2016,9
54,2015.0,IT,2016,44
55,2015.0,NL,2016,66
56,2015.0,NO,2016,20
57,2015.0,PL,2016,3
58,2015.0,PT,2016,12
59,2015.0,RO,2016,3
60,2015.0,SE,2016,85
61,2015.0,SI,2016,5
62,2015.0,SK,2016,1
63,2015.0,TR,2016,9
64,2015.0,UK,2016,428
65,2016.0,AT,2016,59
66,2016.0,BE,2016,53
67,2016.0,BG,2016,10
68,2016.0,CH,2016,232
69,2016.0,CY,2016,4
70,2016.0,CZ,2016,41
71,2016.0,DE,2016,559
72,2016.0,DK,2016,96
73,2016.0,EE,2016,27
74,2016.0,EL,2016,20
75,2016.0,ES,2016,150
76,2016.0,FI,2016,112
77,2016.0,FR,2016,194
78,2016.0,HR,2016,6
79,2016.0,HU,2016,17
80,2016.0,IE,2016,35
81,2016.0,IS,2016,16
82,2016.0,IT,2016,161
83,2016.0,LT,2016,3
84,2016.0,LU,2016,6
85,2016.0,NL,2016,236
86,2016.0,NO,2016,65
87,2016.0,PL,2016,44
88,2016.0,PT,2016,23
89,2016.0,RO,2016,3
90,2016.0,SE,2016,142
91,2016.0,SI,2016,4
92,2016.0,SK,2016,2
93,2016.0,TR,2016,12
94,2016.0,UK,2016,1272
95,2017.0,AT,2016,151
96,2017.0,BE,2016,153
97,2017.0,BG,2016,22
98,2017.0,CH,2016,527
99,2017.0,CY,2016,2
100,2017.0,CZ,2016,65
101,2017.0,DE,2016,1331
102,2017.0,DK,2016,268
103,2017.0,EE,2016,27
104,2017.0,EL,2016,39
105,2017.0,ES,2016,319
106,2017.0,FI,2016,177
107,2017.0,FR,2016,478
108,2017.0,HR,2016,19
109,2017.0,HU,2016,56
110,2017.0,IE,2016,68
111,2017.0,IS,2016,41
