,year,nuts_id,nuts_year_spec,mental_health_lq
153,2020,ITG1,2016,0.0
154,2020,ITG2,2016,0.0
155,2020,ITH1,2016,0.0
156,2020,ITH2,2016,0.6939516129032258
157,2020,ITH3,2016,1.0359469053866337
158,2020,ITH4,2016,0.0
159,2020,ITH5,2016,0.0
160,2020,ITI1,2016,0.14973229821978315
161,2020,ITI2,2016,0.0
162,2020,ITI3,2016,0.0
163,2020,ITI4,2016,1.7674522712310732
164,2020,LT01,2016,0.0
165,2020,LT02,2016,0.0
166,2020,LU00,2016,0.0
167,2020,LV00,2016,0.0
168,2020,ME00,2016,0.0
169,2020,MK00,2016,0.0
170,2020,MT00,2016,0.0
171,2020,NL11,2016,2.2206451612903226
172,2020,NL21,2016,1.288767281105991
173,2020,NL22,2016,0.3950965387332235
174,2020,NL31,2016,0.5927800225210307
175,2020,NL32,2016,0.3449030716460477
176,2020,NL33,2016,0.4120131364905927
177,2020,NL41,2016,0.0
178,2020,NL42,2016,0.0
179,2020,NO01,2016,2.8302340290955095
180,2020,NO02,2016,0.0
181,2020,NO03,2016,13.121994134897362
182,2020,NO04,2016,4.811397849462366
183,2020,NO05,2016,0.0
184,2020,NO06,2016,0.0
185,2020,NO07,2016,0.0
186,2020,PL21,2016,0.6501888985759954
187,2020,PL22,2016,0.0
188,2020,PL41,2016,0.0
189,2020,PL42,2016,0.0
190,2020,PL43,2016,0.0
191,2020,PL51,2016,0.0
192,2020,PL61,2016,0.0
193,2020,PL62,2016,0.0
194,2020,PL63,2016,0.0
195,2020,PL71,2016,0.0
196,2020,PL72,2016,0.0
197,2020,PL81,2016,0.0
198,2020,PL82,2016,0.0
199,2020,PL84,2016,0.0
200,2020,PL91,2016,1.8465919251667928
201,2020,PT11,2016,1.6783945986496622
202,2020,PT16,2016,1.1365506731013462
203,2020,PT17,2016,1.5978812046184978
204,2020,PT20,2016,0.0
205,2020,PT30,2016,0.0
206,2020,RO11,2016,0.0
207,2020,RO21,2016,0.0
208,2020,RO32,2016,0.0
209,2020,RO41,2016,0.0
210,2020,RS11,2016,0.0
211,2020,RS12,2016,4.977308120133482
212,2020,RS21,2016,0.0
213,2020,RS22,2016,0.0
214,2020,SE11,2016,0.7698236559139785
215,2020,SE12,2016,0.2505936379928316
216,2020,SE21,2016,0.0
217,2020,SE22,2016,0.43607835493616603
218,2020,SE23,2016,0.0
219,2020,SE31,2016,0.0
220,2020,SE32,2016,0.0
221,2020,SE33,2016,0.9312382934443288
222,2020,SI03,2016,0.0
223,2020,SI04,2016,1.9118137150181587
224,2020,SK01,2016,0.0
225,2020,SK02,2016,0.0
226,2020,SK03,2016,0.0
227,2020,SK04,2016,0.0
228,2020,TR10,2016,1.6591027067111606
229,2020,TR21,2016,0.0
230,2020,TR22,2016,0.0
231,2020,TR31,2016,0.0
232,2020,TR32,2016,0.0
233,2020,TR33,2016,0.0
234,2020,TR41,2016,0.0
235,2020,TR42,2016,0.0
236,2020,TR51,2016,1.804274193548387
237,2020,TR52,2016,0.0
238,2020,TR61,2016,0.0
239,2020,TR62,2016,14.434193548387096
240,2020,TR63,2016,0.0
241,2020,TR71,2016,0.0
242,2020,TR72,2016,0.0
243,2020,TR81,2016,0.0
244,2020,TR82,2016,0.0
245,2020,TR83,2016,0.0
246,2020,TR90,2016,0.0
