year,region_type,region_year_spec,region_id,region_level,variants_count
105,2020,NUTS,2016,ES413,3,2
106,2020,NUTS,2016,ES5,1,2
107,2020,NUTS,2016,ES52,2,2
108,2020,NUTS,2016,ES523,3,2
109,2020,NUTS,2016,FI,0,3
110,2020,NUTS,2016,FI1,1,3
111,2020,NUTS,2016,FI1B,2,3
112,2020,NUTS,2016,FI1B1,3,3
113,2020,NUTS,2016,FR,0,7
114,2020,NUTS,2016,FR1,1,5
115,2020,NUTS,2016,FR10,2,5
116,2020,NUTS,2016,FR101,3,4
117,2020,NUTS,2016,FR104,3,1
118,2020,NUTS,2016,FRK,1,1
119,2020,NUTS,2016,FRK2,2,1
120,2020,NUTS,2016,FRK26,3,1
121,2020,NUTS,2016,FRL,1,1
122,2020,NUTS,2016,FRL0,2,1
123,2020,NUTS,2016,FRL04,3,1
124,2020,NUTS,2016,HU,0,5
125,2020,NUTS,2016,HU1,1,2
126,2020,NUTS,2016,HU11,2,2
127,2020,NUTS,2016,HU110,3,2
128,2020,NUTS,2016,HU2,1,2
129,2020,NUTS,2016,HU23,2,2
130,2020,NUTS,2016,HU231,3,2
131,2020,NUTS,2016,HU3,1,1
132,2020,NUTS,2016,HU33,2,1
133,2020,NUTS,2016,HU333,3,1
134,2020,NUTS,2016,IE,0,2
135,2020,NUTS,2016,IE0,1,2
136,2020,NUTS,2016,IE04,2,2
137,2020,NUTS,2016,IE042,3,2
138,2020,NUTS,2016,IT,0,26
139,2020,NUTS,2016,ITC,1,17
140,2020,NUTS,2016,ITC1,2,1
141,2020,NUTS,2016,ITC11,3,1
142,2020,NUTS,2016,ITC4,2,16
143,2020,NUTS,2016,ITC47,3,2
144,2020,NUTS,2016,ITC48,3,1
145,2020,NUTS,2016,ITC4C,3,13
146,2020,NUTS,2016,ITF,1,1
147,2020,NUTS,2016,ITF4,2,1
148,2020,NUTS,2016,ITF47,3,1
149,2020,NUTS,2016,ITH,1,1
150,2020,NUTS,2016,ITH5,2,1
151,2020,NUTS,2016,ITH55,3,1
152,2020,NUTS,2016,ITI,1,7
153,2020,NUTS,2016,ITI1,2,4
154,2020,NUTS,2016,ITI14,3,3
155,2020,NUTS,2016,ITI19,3,1
156,2020,NUTS,2016,ITI4,2,3
157,2020,NUTS,2016,ITI43,3,3
158,2020,NUTS,2016,LV,0,2
159,2020,NUTS,2016,LV0,1,2
160,2020,NUTS,2016,LV00,2,2
161,2020,NUTS,2016,LV006,3,2
162,2020,NUTS,2016,NL,0,11
163,2020,NUTS,2016,NL2,1,5
164,2020,NUTS,2016,NL22,2,5
165,2020,NUTS,2016,NL226,3,5
166,2020,NUTS,2016,NL3,1,6
167,2020,NUTS,2016,NL31,2,1
168,2020,NUTS,2016,NL310,3,1
169,2020,NUTS,2016,NL32,2,2
170,2020,NUTS,2016,NL329,3,2
171,2020,NUTS,2016,NL33,2,3
172,2020,NUTS,2016,NL333,3,1
173,2020,NUTS,2016,NL33C,3,2
174,2020,NUTS,2016,NO,0,2
175,2020,NUTS,2016,NO0,1,2
176,2020,NUTS,2016,NO01,2,2
177,2020,NUTS,2016,NO011,3,2
178,2020,NUTS,2016,PL,0,1
179,2020,NUTS,2016,PL4,1,1
180,2020,NUTS,2016,PL41,2,1
181,2020,NUTS,2016,PL415,3,1
182,2020,NUTS,2016,PT,0,1
183,2020,NUTS,2016,PT1,1,1
184,2020,NUTS,2016,PT17,2,1
185,2020,NUTS,2016,PT170,3,1
186,2020,NUTS,2016,SE,0,2
187,2020,NUTS,2016,SE1,1,2
188,2020,NUTS,2016,SE11,2,1
189,2020,NUTS,2016,SE110,3,1
190,2020,NUTS,2016,SE12,2,1
191,2020,NUTS,2016,SE121,3,1
192,2020,NUTS,2016,SI,0,1
193,2020,NUTS,2016,SI0,1,1
194,2020,NUTS,2016,SI04,2,1
195,2020,NUTS,2016,SI041,3,1
196,2020,NUTS,2016,TR,0,4
197,2020,NUTS,2016,TR1,1,3
198,2020,NUTS,2016,TR10,2,3
199,2020,NUTS,2016,TR100,3,3
200,2020,NUTS,2016,TRA,1,1
201,2020,NUTS,2016,TRA2,2,1
202,2020,NUTS,2016,TRA22,3,1
203,2020,NUTS,2016,UK,0,97
204,2020,NUTS,2016,UKC,1,1
205,2020,NUTS,2016,UKC1,2,1
206,2020,NUTS,2016,UKC14,3,1
207,2020,NUTS,2016,UKD,1,2
208,2020,NUTS,2016,UKD7,2,2
209,2020,NUTS,2016,UKD72,3,2
210,2020,NUTS,2016,UKE,1,1
211,2020,NUTS,2016,UKE3,2,1
212,2020,NUTS,2016,UKE32,3,1
213,2020,NUTS,2016,UKF,1,1
214,2020,NUTS,2016,UKF1,2,1
215,2020,NUTS,2016,UKF14,3,1
216,2020,NUTS,2016,UKG,1,8
217,2020,NUTS,2016,UKG1,2,2
218,2020,NUTS,2016,UKG13,3,2
219,2020,NUTS,2016,UKG3,2,6
220,2020,NUTS,2016,UKG31,3,6
221,2020,NUTS,2016,UKH,1,25
222,2020,NUTS,2016,UKH1,2,21
223,2020,NUTS,2016,UKH12,3,14
224,2020,NUTS,2016,UKH15,3,1
225,2020,NUTS,2016,UKH17,3,6
226,2020,NUTS,2016,UKH2,2,4
227,2020,NUTS,2016,UKH23,3,4
228,2020,NUTS,2016,UKI,1,20
229,2020,NUTS,2016,UKI3,2,19
230,2020,NUTS,2016,UKI31,3,10
231,2020,NUTS,2016,UKI32,3,1
232,2020,NUTS,2016,UKI33,3,8
233,2020,NUTS,2016,UKI7,2,1
234,2020,NUTS,2016,UKI74,3,1
235,2020,NUTS,2016,UKJ,1,21
236,2020,NUTS,2016,UKJ1,2,17
237,2020,NUTS,2016,UKJ14,3,17
238,2020,NUTS,2016,UKJ2,2,1
239,2020,NUTS,2016,UKJ25,3,1
240,2020,NUTS,2016,UKJ3,2,3
241,2020,NUTS,2016,UKJ32,3,2
242,2020,NUTS,2016,UKJ37,3,1
243,2020,NUTS,2016,UKK,1,1
244,2020,NUTS,2016,UKK1,2,1
245,2020,NUTS,2016,UKK11,3,1
246,2020,NUTS,2016,UKL,1,2
247,2020,NUTS,2016,UKL2,2,2
