,year,nuts_id,nuts_year_spec,trials_count
0,2017.0,UK,2016,1
1,2018.0,FR,2016,1
2,2019.0,FR,2016,1
3,2020.0,AT,2016,3
4,2020.0,CH,2016,3
5,2020.0,DE,2016,10
6,2020.0,DK,2016,4
7,2020.0,EL,2016,2
8,2020.0,ES,2016,5
9,2020.0,FI,2016,1
10,2020.0,FR,2016,16
11,2020.0,IE,2016,1
12,2020.0,IT,2016,8
13,2020.0,NL,2016,20
14,2020.0,NO,2016,1
15,2020.0,PL,2016,4
16,2020.0,PT,2016,1
17,2020.0,SE,2016,4
18,2020.0,SK,2016,1
19,2020.0,TR,2016,5
20,2020.0,UK,2016,59
21,2021.0,EL,2016,1
22,2021.0,FR,2016,1
23,2021.0,NL,2016,5
24,2021.0,UK,2016,2
