year,region_type,region_year_spec,region_id,region_level,antiviral_drugs_count
0,2018,NUTS,2016,CH,0,2
1,2018,NUTS,2016,CH0,1,2
2,2018,NUTS,2016,CH01,2,1
3,2018,NUTS,2016,CH013,3,1
4,2018,NUTS,2016,CH02,2,1
5,2018,NUTS,2016,CH021,3,1
6,2018,NUTS,2016,DE,0,1
7,2018,NUTS,2016,DE7,1,1
8,2018,NUTS,2016,DE73,2,1
9,2018,NUTS,2016,DE731,3,1
10,2018,NUTS,2016,NL,0,3
11,2018,NUTS,2016,NL2,1,1
12,2018,NUTS,2016,NL22,2,1
13,2018,NUTS,2016,NL226,3,1
14,2018,NUTS,2016,NL3,1,2
15,2018,NUTS,2016,NL31,2,1
16,2018,NUTS,2016,NL310,3,1
17,2018,NUTS,2016,NL32,2,1
18,2018,NUTS,2016,NL329,3,1
19,2018,NUTS,2016,UK,0,2
20,2018,NUTS,2016,UKH,1,1
21,2018,NUTS,2016,UKH1,2,1
22,2018,NUTS,2016,UKH12,3,1
23,2018,NUTS,2016,UKK,1,1
24,2018,NUTS,2016,UKK1,2,1
25,2018,NUTS,2016,UKK11,3,1
26,2019,NUTS,2016,DE,0,5
27,2019,NUTS,2016,DE3,1,1
28,2019,NUTS,2016,DE30,2,1
29,2019,NUTS,2016,DE300,3,1
30,2019,NUTS,2016,DE6,1,3
31,2019,NUTS,2016,DE60,2,3
32,2019,NUTS,2016,DE600,3,3
33,2019,NUTS,2016,DEF,1,1
34,2019,NUTS,2016,DEF0,2,1
35,2019,NUTS,2016,DEF03,3,1
36,2019,NUTS,2016,FR,0,1
37,2019,NUTS,2016,FRL,1,1
38,2019,NUTS,2016,FRL0,2,1
39,2019,NUTS,2016,FRL04,3,1
40,2019,NUTS,2016,IT,0,1
41,2019,NUTS,2016,ITH,1,1
42,2019,NUTS,2016,ITH2,2,1
43,2019,NUTS,2016,ITH20,3,1
44,2019,NUTS,2016,NL,0,1
45,2019,NUTS,2016,NL3,1,1
46,2019,NUTS,2016,NL33,2,1
47,2019,NUTS,2016,NL337,3,1
48,2019,NUTS,2016,UK,0,4
49,2019,NUTS,2016,UKH,1,1
50,2019,NUTS,2016,UKH1,2,1
51,2019,NUTS,2016,UKH12,3,1
52,2019,NUTS,2016,UKJ,1,3
53,2019,NUTS,2016,UKJ2,2,3
54,2019,NUTS,2016,UKJ25,3,3
55,2020,NUTS,2016,AT,0,4
56,2020,NUTS,2016,AT1,1,2
57,2020,NUTS,2016,AT13,2,2
58,2020,NUTS,2016,AT130,3,2
59,2020,NUTS,2016,AT2,1,1
60,2020,NUTS,2016,AT22,2,1
61,2020,NUTS,2016,AT221,3,1
62,2020,NUTS,2016,AT3,1,1
63,2020,NUTS,2016,AT31,2,1
64,2020,NUTS,2016,AT312,3,1
65,2020,NUTS,2016,BE,0,2
66,2020,NUTS,2016,BE2,1,2
67,2020,NUTS,2016,BE21,2,1
68,2020,NUTS,2016,BE213,3,1
69,2020,NUTS,2016,BE24,2,1
70,2020,NUTS,2016,BE242,3,1
71,2020,NUTS,2016,BG,0,1
72,2020,NUTS,2016,BG4,1,1
73,2020,NUTS,2016,BG41,2,1
74,2020,NUTS,2016,BG411,3,1
75,2020,NUTS,2016,CH,0,8
76,2020,NUTS,2016,CH0,1,8
77,2020,NUTS,2016,CH01,2,2
78,2020,NUTS,2016,CH011,3,1
