,year,nuts_id,nuts_year_spec,smoking_cancer_count
0,2020.0,BE2,2016,1
1,2020.0,ES3,2016,4
2,2020.0,ES5,2016,2
3,2020.0,FR1,2016,2
4,2020.0,FRE,2016,1
5,2020.0,IE0,2016,2
6,2020.0,ITC,2016,3
7,2020.0,ITH,2016,1
8,2020.0,MT0,2016,1
9,2020.0,NL3,2016,2
10,2020.0,PT1,2016,1
11,2020.0,SE2,2016,2
12,2020.0,UKD,2016,7
13,2020.0,UKE,2016,1
14,2020.0,UKF,2016,3
15,2020.0,UKG,2016,5
16,2020.0,UKH,2016,12
17,2020.0,UKI,2016,27
18,2020.0,UKJ,2016,10
19,2020.0,UKK,2016,2
20,2020.0,UKL,2016,2
21,2020.0,UKM,2016,8
22,2020.0,UKN,2016,1
23,2021.0,BE2,2016,1
24,2021.0,ES3,2016,1
25,2021.0,FRK,2016,1
26,2021.0,SE2,2016,1
27,2021.0,UKD,2016,1
28,2021.0,UKE,2016,2
29,2021.0,UKJ,2016,2
30,2021.0,UKM,2016,2
31,2021.0,UKN,2016,1
