,year,nuts_id,nuts_year_spec,deep_learning_count
0,2000.0,DED4,2016,1
1,2000.0,EL30,2016,1
2,2000.0,FRF2,2016,1
3,2000.0,UKD3,2016,1
4,2000.0,UKI3,2016,1
5,2001.0,BE21,2016,1
6,2001.0,BE24,2016,1
7,2001.0,CH01,2016,1
8,2001.0,DE13,2016,1
9,2001.0,IE06,2016,1
10,2001.0,NL22,2016,1
11,2002.0,DEA5,2016,1
12,2002.0,FR10,2016,2
13,2002.0,ITF3,2016,1
14,2002.0,ITI4,2016,1
15,2002.0,UKH1,2016,1
16,2003.0,DE21,2016,2
17,2003.0,DE26,2016,1
18,2003.0,DED4,2016,1
19,2003.0,ITH3,2016,1
20,2003.0,ITH4,2016,1
21,2003.0,UKD3,2016,1
22,2003.0,UKF1,2016,1
23,2003.0,UKJ2,2016,2
24,2004.0,CH01,2016,1
25,2004.0,DEA4,2016,1
26,2004.0,ITH4,2016,1
27,2004.0,ITH5,2016,1
28,2004.0,PT17,2016,1
29,2004.0,SE11,2016,1
30,2004.0,SE22,2016,1
31,2004.0,UKD3,2016,1
32,2005.0,ES30,2016,1
33,2005.0,FR10,2016,1
34,2005.0,ITH3,2016,1
35,2005.0,ITH4,2016,1
36,2005.0,ITI4,2016,1
37,2005.0,UKE4,2016,1
38,2005.0,UKI3,2016,1
39,2005.0,UKK4,2016,4
40,2006.0,DE12,2016,1
41,2006.0,EL63,2016,2
42,2006.0,FRK2,2016,1
43,2006.0,UKD3,2016,1
44,2006.0,UKH1,2016,1
45,2006.0,UKH3,2016,1
46,2007.0,BE24,2016,1
47,2007.0,BE31,2016,2
48,2007.0,CH01,2016,2
49,2007.0,CH04,2016,1
50,2007.0,DE30,2016,1
51,2007.0,ES30,2016,2
52,2007.0,ES52,2016,1
53,2007.0,ES62,2016,1
54,2007.0,ES70,2016,1
55,2007.0,FR10,2016,13
56,2007.0,FRE1,2016,1
57,2007.0,IE06,2016,1
58,2007.0,ITC1,2016,1
59,2007.0,ITC4,2016,3
60,2007.0,ITH4,2016,1
61,2007.0,UKF1,2016,1
62,2007.0,UKF2,2016,2
63,2007.0,UKG3,2016,1
64,2007.0,UKH1,2016,1
65,2008.0,AT13,2016,1
66,2008.0,CH04,2016,1
