year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_count
0,2019,NUTS,2016,FR,0,1
1,2019,NUTS,2016,FRD,1,1
2,2019,NUTS,2016,FRD2,2,1
3,2019,NUTS,2016,FRD22,3,1
4,2020,NUTS,2016,AT,0,19
5,2020,NUTS,2016,AT1,1,17
6,2020,NUTS,2016,AT12,2,2
7,2020,NUTS,2016,AT126,3,1
8,2020,NUTS,2016,AT127,3,1
9,2020,NUTS,2016,AT13,2,15
10,2020,NUTS,2016,AT130,3,15
11,2020,NUTS,2016,AT2,1,1
12,2020,NUTS,2016,AT22,2,1
13,2020,NUTS,2016,AT221,3,1
14,2020,NUTS,2016,AT3,1,1
15,2020,NUTS,2016,AT32,2,1
16,2020,NUTS,2016,AT323,3,1
17,2020,NUTS,2016,BE,0,11
18,2020,NUTS,2016,BE1,1,3
19,2020,NUTS,2016,BE10,2,3
20,2020,NUTS,2016,BE100,3,3
21,2020,NUTS,2016,BE2,1,8
22,2020,NUTS,2016,BE21,2,2
23,2020,NUTS,2016,BE211,3,2
24,2020,NUTS,2016,BE22,2,2
25,2020,NUTS,2016,BE221,3,2
26,2020,NUTS,2016,BE23,2,3
27,2020,NUTS,2016,BE234,3,3
28,2020,NUTS,2016,BE24,2,1
29,2020,NUTS,2016,BE242,3,1
30,2020,NUTS,2016,BG,0,1
31,2020,NUTS,2016,BG4,1,1
32,2020,NUTS,2016,BG41,2,1
33,2020,NUTS,2016,BG411,3,1
34,2020,NUTS,2016,CH,0,28
35,2020,NUTS,2016,CH0,1,28
36,2020,NUTS,2016,CH01,2,9
37,2020,NUTS,2016,CH011,3,6
38,2020,NUTS,2016,CH013,3,3
39,2020,NUTS,2016,CH02,2,4
40,2020,NUTS,2016,CH021,3,2
41,2020,NUTS,2016,CH022,3,2
42,2020,NUTS,2016,CH03,2,5
43,2020,NUTS,2016,CH031,3,4
44,2020,NUTS,2016,CH033,3,1
45,2020,NUTS,2016,CH04,2,10
46,2020,NUTS,2016,CH040,3,10
47,2020,NUTS,2016,CY,0,2
48,2020,NUTS,2016,CY0,1,2
49,2020,NUTS,2016,CY00,2,2
50,2020,NUTS,2016,CY000,3,2
51,2020,NUTS,2016,CZ,0,3
52,2020,NUTS,2016,CZ0,1,3
53,2020,NUTS,2016,CZ01,2,1
54,2020,NUTS,2016,CZ010,3,1
55,2020,NUTS,2016,CZ06,2,2
56,2020,NUTS,2016,CZ064,3,2
57,2020,NUTS,2016,DE,0,76
58,2020,NUTS,2016,DE1,1,9
59,2020,NUTS,2016,DE11,2,1
60,2020,NUTS,2016,DE111,3,1
61,2020,NUTS,2016,DE12,2,7
62,2020,NUTS,2016,DE122,3,2
63,2020,NUTS,2016,DE125,3,4
64,2020,NUTS,2016,DE126,3,1
65,2020,NUTS,2016,DE13,2,1
66,2020,NUTS,2016,DE131,3,1
67,2020,NUTS,2016,DE2,1,26
68,2020,NUTS,2016,DE21,2,21
69,2020,NUTS,2016,DE212,3,21
70,2020,NUTS,2016,DE23,2,1
