,year,nuts_id,nuts_year_spec,healthcare_count
0,2020.0,AT,2016,2
1,2020.0,BE,2016,4
2,2020.0,CH,2016,5
3,2020.0,CZ,2016,1
4,2020.0,DE,2016,19
5,2020.0,DK,2016,1
6,2020.0,EL,2016,3
7,2020.0,ES,2016,5
8,2020.0,FI,2016,1
9,2020.0,FR,2016,10
10,2020.0,HR,2016,1
11,2020.0,IE,2016,5
12,2020.0,IT,2016,15
13,2020.0,LU,2016,1
14,2020.0,MT,2016,2
15,2020.0,NL,2016,14
16,2020.0,NO,2016,3
17,2020.0,PT,2016,3
18,2020.0,SE,2016,1
19,2020.0,SI,2016,2
20,2020.0,UK,2016,127
21,2021.0,BE,2016,1
22,2021.0,CH,2016,1
23,2021.0,DE,2016,1
24,2021.0,EL,2016,1
25,2021.0,IT,2016,1
26,2021.0,UK,2016,18
