,year,nuts_id,nuts_year_spec,hospitalisation_count
0,2020.0,AT130,2016,2
1,2020.0,AT221,2016,2
2,2020.0,AT312,2016,1
3,2020.0,AT332,2016,1
4,2020.0,BE213,2016,4
5,2020.0,BE234,2016,2
6,2020.0,BE323,2016,1
7,2020.0,CH011,2016,4
8,2020.0,CH013,2016,4
9,2020.0,CH021,2016,4
10,2020.0,CH022,2016,1
11,2020.0,CH031,2016,2
12,2020.0,CH040,2016,5
13,2020.0,CH055,2016,2
14,2020.0,CY000,2016,2
15,2020.0,CZ010,2016,3
16,2020.0,DE125,2016,2
17,2020.0,DE131,2016,3
18,2020.0,DE212,2016,1
19,2020.0,DE252,2016,1
20,2020.0,DE300,2016,5
21,2020.0,DE600,2016,2
22,2020.0,DE721,2016,1
23,2020.0,DE929,2016,1
24,2020.0,DEA33,2016,2
25,2020.0,DED41,2016,2
26,2020.0,DED51,2016,1
27,2020.0,DK011,2016,10
28,2020.0,DK031,2016,2
29,2020.0,DK042,2016,2
30,2020.0,EL303,2016,4
31,2020.0,EL543,2016,1
32,2020.0,ES220,2016,1
33,2020.0,ES300,2016,13
34,2020.0,ES415,2016,6
35,2020.0,ES511,2016,12
36,2020.0,ES521,2016,1
37,2020.0,ES523,2016,1
38,2020.0,ES617,2016,1
39,2020.0,ES618,2016,1
40,2020.0,ES620,2016,2
41,2020.0,FI1B1,2016,2
42,2020.0,FI1C1,2016,3
43,2020.0,FI1D9,2016,2
44,2020.0,FR104,2016,2
45,2020.0,FRK26,2016,1
46,2020.0,HR035,2016,1
47,2020.0,IE051,2016,1
48,2020.0,IE053,2016,1
49,2020.0,IE061,2016,1
50,2020.0,IS001,2016,1
51,2020.0,ITC11,2016,1
52,2020.0,ITC47,2016,1
53,2020.0,ITC48,2016,1
54,2020.0,ITC4C,2016,3
55,2020.0,ITF63,2016,1
56,2020.0,ITG13,2016,1
57,2020.0,ITH52,2016,1
58,2020.0,ITH55,2016,2
59,2020.0,ITH56,2016,1
60,2020.0,ITI14,2016,6
61,2020.0,ITI17,2016,1
62,2020.0,ITI19,2016,1
63,2020.0,ITI43,2016,2
64,2020.0,LT011,2016,3
65,2020.0,LV006,2016,1
66,2020.0,NL113,2016,3
67,2020.0,NL226,2016,2
68,2020.0,NL310,2016,3
69,2020.0,NL329,2016,1
70,2020.0,NL337,2016,2
71,2020.0,NL33C,2016,6
72,2020.0,NL423,2016,4
73,2020.0,NO011,2016,1
74,2020.0,NO072,2016,1
75,2020.0,PL911,2016,4
76,2020.0,PT16E,2016,1
77,2020.0,PT170,2016,2
78,2020.0,RS110,2016,3
79,2020.0,SE110,2016,14
80,2020.0,SE121,2016,3
81,2020.0,SE123,2016,2
82,2020.0,SE124,2016,1
83,2020.0,SE224,2016,2
84,2020.0,SE232,2016,4
85,2020.0,SE331,2016,2
86,2020.0,SI041,2016,1
87,2020.0,TR100,2016,1
88,2020.0,TR510,2016,1
89,2020.0,UKC22,2016,2
90,2020.0,UKD33,2016,12
91,2020.0,UKD37,2016,1
92,2020.0,UKD44,2016,2
93,2020.0,UKD45,2016,4
94,2020.0,UKD72,2016,15
95,2020.0,UKD74,2016,1
96,2020.0,UKE11,2016,1
97,2020.0,UKE32,2016,5
98,2020.0,UKE41,2016,4
99,2020.0,UKE42,2016,3
100,2020.0,UKF14,2016,8
101,2020.0,UKF16,2016,2
102,2020.0,UKF21,2016,8
103,2020.0,UKG13,2016,4
104,2020.0,UKG31,2016,8
105,2020.0,UKH12,2016,9
106,2020.0,UKH23,2016,7
107,2020.0,UKI31,2016,22
108,2020.0,UKI32,2016,32
109,2020.0,UKI33,2016,17
110,2020.0,UKI34,2016,2
111,2020.0,UKI42,2016,7
112,2020.0,UKI44,2016,1
113,2020.0,UKI62,2016,1
114,2020.0,UKI63,2016,1
115,2020.0,UKJ14,2016,31
116,2020.0,UKJ22,2016,2
117,2020.0,UKJ25,2016,1
118,2020.0,UKJ32,2016,4
119,2020.0,UKJ36,2016,3
120,2020.0,UKJ37,2016,1
121,2020.0,UKK12,2016,1
122,2020.0,UKK30,2016,1
123,2020.0,UKK41,2016,1
124,2020.0,UKK43,2016,5
125,2020.0,UKL22,2016,3
126,2020.0,UKM71,2016,1
127,2020.0,UKM72,2016,2
128,2020.0,UKM75,2016,12
129,2020.0,UKM82,2016,6
130,2020.0,UKN06,2016,2
131,2020.0,UKN14,2016,1
132,2021.0,BE221,2016,1
133,2021.0,CH011,2016,3
134,2021.0,CH013,2016,1
135,2021.0,CH022,2016,1
136,2021.0,DE131,2016,1
137,2021.0,DE300,2016,1
138,2021.0,DE712,2016,1
139,2021.0,DEA23,2016,1
140,2021.0,DEA51,2016,1
141,2021.0,DED41,2016,1
142,2021.0,DED51,2016,1
143,2021.0,DK011,2016,3
144,2021.0,EL303,2016,1
145,2021.0,ES243,2016,2
146,2021.0,ES511,2016,1
147,2021.0,ITC4C,2016,1
148,2021.0,ITF21,2016,1
149,2021.0,NL113,2016,1
150,2021.0,NL226,2016,1
151,2021.0,NL33C,2016,2
152,2021.0,NL423,2016,1
153,2021.0,PT11A,2016,1
154,2021.0,SE110,2016,1
155,2021.0,SE331,2016,1
156,2021.0,TR310,2016,1
157,2021.0,UKD72,2016,1
158,2021.0,UKF21,2016,1
159,2021.0,UKG31,2016,4
160,2021.0,UKH12,2016,3
161,2021.0,UKI31,2016,3
162,2021.0,UKI44,2016,1
163,2021.0,UKJ14,2016,1
164,2021.0,UKJ32,2016,3
165,2021.0,UKL12,2016,1
166,2021.0,UKL15,2016,1
167,2021.0,UKL18,2016,1
168,2021.0,UKL21,2016,2
169,2021.0,UKL22,2016,3
170,2021.0,UKM75,2016,1
171,2021.0,UKM82,2016,1
