,year,nuts_id,nuts_year_spec,image_detection_count
0,2019.0,ES300,2016,1
1,2019.0,NO060,2016,1
2,2020.0,CH011,2016,3
3,2020.0,CH040,2016,4
4,2020.0,CY000,2016,2
5,2020.0,CZ064,2016,1
6,2020.0,DE125,2016,2
7,2020.0,DE929,2016,1
8,2020.0,DEB21,2016,1
9,2020.0,DEC01,2016,1
10,2020.0,DED41,2016,1
11,2020.0,DEG03,2016,1
12,2020.0,DK011,2016,1
13,2020.0,DK012,2016,1
14,2020.0,EL303,2016,3
15,2020.0,ES111,2016,3
16,2020.0,ES512,2016,1
17,2020.0,ES614,2016,1
18,2020.0,ES617,2016,1
19,2020.0,FR104,2016,2
20,2020.0,FR107,2016,2
21,2020.0,FRF12,2016,2
22,2020.0,FRI12,2016,1
23,2020.0,FRJ13,2016,1
24,2020.0,HU110,2016,3
25,2020.0,ITC47,2016,1
26,2020.0,ITC4C,2016,1
27,2020.0,ITF11,2016,1
28,2020.0,ITG13,2016,1
29,2020.0,ITG17,2016,1
30,2020.0,ITH36,2016,2
31,2020.0,ITH44,2016,1
32,2020.0,ITI14,2016,1
33,2020.0,LU000,2016,1
34,2020.0,NL329,2016,1
35,2020.0,NL414,2016,1
36,2020.0,NL423,2016,1
37,2020.0,NO011,2016,1
38,2020.0,PL911,2016,1
39,2020.0,SI041,2016,1
40,2020.0,TR100,2016,1
41,2020.0,TR222,2016,2
42,2020.0,TR510,2016,2
43,2020.0,TR811,2016,3
44,2020.0,TR834,2016,1
45,2020.0,UKD33,2016,1
46,2020.0,UKD44,2016,2
47,2020.0,UKD47,2016,1
48,2020.0,UKE41,2016,1
49,2020.0,UKE42,2016,1
50,2020.0,UKF14,2016,1
51,2020.0,UKF21,2016,2
52,2020.0,UKG31,2016,4
53,2020.0,UKG39,2016,1
54,2020.0,UKH12,2016,2
55,2020.0,UKH21,2016,1
56,2020.0,UKI31,2016,7
57,2020.0,UKI33,2016,1
58,2020.0,UKI74,2016,1
59,2020.0,UKJ13,2016,1
60,2020.0,UKJ14,2016,2
61,2020.0,UKJ25,2016,1
62,2020.0,UKM75,2016,1
63,2021.0,CY000,2016,1
64,2021.0,DE212,2016,3
65,2021.0,DE300,2016,1
66,2021.0,ES614,2016,1
67,2021.0,ITC11,2016,1
68,2021.0,ITC4C,2016,1
69,2021.0,SK042,2016,2
70,2021.0,TR222,2016,1
71,2021.0,UKG13,2016,1
72,2021.0,UKH12,2016,1
73,2021.0,UKI31,2016,2
74,2021.0,UKI33,2016,1
