year,region_type,region_year_spec,region_id,region_level,deep_learning_lq
0,2012.0,NUTS,2010,AT,0,0.6847826086956522
1,2012.0,NUTS,2010,BE,0,2.706185567010309
2,2012.0,NUTS,2010,BG,0,0.0
3,2012.0,NUTS,2010,CH,0,3.1265508684863526
4,2012.0,NUTS,2010,CY,0,0.0
5,2012.0,NUTS,2010,CZ,0,0.8701657458563535
6,2012.0,NUTS,2010,DE,0,0.8168557536466775
7,2012.0,NUTS,2010,DK,0,2.0127795527156547
8,2012.0,NUTS,2010,EE,0,0.0
9,2012.0,NUTS,2010,EL,0,1.2
10,2012.0,NUTS,2010,ES,0,0.3197969543147208
11,2012.0,NUTS,2010,FI,0,1.7004048582995952
12,2012.0,NUTS,2010,FR,0,1.2579872204472842
13,2012.0,NUTS,2010,HR,0,0.0
14,2012.0,NUTS,2010,HU,0,0.0
15,2012.0,NUTS,2010,IE,0,0.0
16,2012.0,NUTS,2010,IS,0,0.0
17,2012.0,NUTS,2010,IT,0,0.6788793103448276
18,2012.0,NUTS,2010,LT,0,0.0
19,2012.0,NUTS,2010,LU,0,0.0
20,2012.0,NUTS,2010,LV,0,0.0
21,2012.0,NUTS,2010,ME,0,0.0
22,2012.0,NUTS,2010,MK,0,0.0
23,2012.0,NUTS,2010,MT,0,0.0
24,2012.0,NUTS,2010,NL,0,2.488888888888889
25,2012.0,NUTS,2010,NO,0,0.0
26,2012.0,NUTS,2010,PL,0,0.0
27,2012.0,NUTS,2010,PT,0,2.3551401869158877
28,2012.0,NUTS,2010,RO,0,0.0
29,2012.0,NUTS,2010,SE,0,0.0
30,2012.0,NUTS,2010,SI,0,0.0
31,2012.0,NUTS,2010,SK,0,0.0
32,2012.0,NUTS,2010,TR,0,1.2524850894632205
33,2012.0,NUTS,2010,UK,0,0.8742273243345527
34,2012.0,NUTS,2010,AT1,1,0.0
35,2012.0,NUTS,2010,AT2,1,6.176470588235294
36,2012.0,NUTS,2010,AT3,1,0.0
37,2012.0,NUTS,2010,BE1,1,1.6578947368421053
38,2012.0,NUTS,2010,BE2,1,3.3333333333333335
39,2012.0,NUTS,2010,BE3,1,3.1034482758620685
40,2012.0,NUTS,2010,BG3,1,0.0
41,2012.0,NUTS,2010,BG4,1,0.0
42,2012.0,NUTS,2010,CH0,1,3.1265508684863526
43,2012.0,NUTS,2010,CY0,1,0.0
44,2012.0,NUTS,2010,CZ0,1,0.8701657458563535
45,2012.0,NUTS,2010,DE1,1,0.0
46,2012.0,NUTS,2010,DE2,1,0.863013698630137
47,2012.0,NUTS,2010,DE3,1,3.586337760910816
48,2012.0,NUTS,2010,DE4,1,0.0
49,2012.0,NUTS,2010,DE5,1,0.0
50,2012.0,NUTS,2010,DE6,1,0.0
51,2012.0,NUTS,2010,DE7,1,1.381578947368421
52,2012.0,NUTS,2010,DE8,1,0.0
53,2012.0,NUTS,2010,DE9,1,1.7796610169491525
54,2012.0,NUTS,2010,DEA,1,0.0
55,2012.0,NUTS,2010,DEB,1,0.0
56,2012.0,NUTS,2010,DEC,1,21.35593220338983
57,2012.0,NUTS,2010,DED,1,0.0
58,2012.0,NUTS,2010,DEE,1,0.0
59,2012.0,NUTS,2010,DEF,1,0.0
60,2012.0,NUTS,2010,DEG,1,0.0
61,2012.0,NUTS,2010,DK0,1,2.0127795527156547
62,2012.0,NUTS,2010,EE0,1,0.0
63,2012.0,NUTS,2010,EL1,1,0.0
64,2012.0,NUTS,2010,EL2,1,0.0
65,2012.0,NUTS,2010,EL3,1,0.0
66,2012.0,NUTS,2010,EL4,1,4.809160305343511
67,2012.0,NUTS,2010,ES1,1,0.0
68,2012.0,NUTS,2010,ES2,1,0.0
69,2012.0,NUTS,2010,ES3,1,0.0
70,2012.0,NUTS,2010,ES4,1,0.0
71,2012.0,NUTS,2010,ES5,1,0.7787391841779975
72,2012.0,NUTS,2010,ES6,1,1.4685314685314683
73,2012.0,NUTS,2010,ES7,1,0.0
74,2012.0,NUTS,2010,FI1,1,1.7004048582995952
75,2012.0,NUTS,2010,FR1,1,1.565217391304348
76,2012.0,NUTS,2010,FR2,1,0.0
77,2012.0,NUTS,2010,FR3,1,0.0
78,2012.0,NUTS,2010,FR4,1,0.0
79,2012.0,NUTS,2010,FR5,1,2.032258064516129
80,2012.0,NUTS,2010,FR6,1,0.0
81,2012.0,NUTS,2010,FR7,1,0.0
82,2012.0,NUTS,2010,FR8,1,0.0
83,2012.0,NUTS,2010,FR9,1,48.46153846153845
84,2012.0,NUTS,2010,HR0,1,0.0
85,2012.0,NUTS,2010,HU1,1,0.0
86,2012.0,NUTS,2010,HU2,1,0.0
87,2012.0,NUTS,2010,HU3,1,0.0
88,2012.0,NUTS,2010,IE0,1,0.0
89,2012.0,NUTS,2010,IS0,1,0.0
90,2012.0,NUTS,2010,ITC,1,1.3740458015267174
91,2012.0,NUTS,2010,ITF,1,0.0
92,2012.0,NUTS,2010,ITG,1,0.0
93,2012.0,NUTS,2010,ITH,1,0.0
94,2012.0,NUTS,2010,ITI,1,1.18125
95,2012.0,NUTS,2010,LT0,1,0.0
96,2012.0,NUTS,2010,LU0,1,0.0
97,2012.0,NUTS,2010,LV0,1,0.0
98,2012.0,NUTS,2010,ME0,1,0.0
99,2012.0,NUTS,2010,MK0,1,0.0
100,2012.0,NUTS,2010,MT0,1,0.0
101,2012.0,NUTS,2010,NL1,1,0.0
102,2012.0,NUTS,2010,NL2,1,2.844243792325056
103,2012.0,NUTS,2010,NL3,1,2.8767123287671232
104,2012.0,NUTS,2010,NL4,1,0.0
105,2012.0,NUTS,2010,NO0,1,0.0
106,2012.0,NUTS,2010,PL1,1,0.0
107,2012.0,NUTS,2010,PL2,1,0.0
108,2012.0,NUTS,2010,PL3,1,0.0
109,2012.0,NUTS,2010,PL4,1,0.0
110,2012.0,NUTS,2010,PL5,1,0.0
111,2012.0,NUTS,2010,PL6,1,0.0
112,2012.0,NUTS,2010,PT1,1,2.3908918406072104
113,2012.0,NUTS,2010,PT2,1,0.0
114,2012.0,NUTS,2010,PT3,1,0.0
115,2012.0,NUTS,2010,RO1,1,0.0
116,2012.0,NUTS,2010,RO2,1,0.0
117,2012.0,NUTS,2010,RO3,1,0.0
118,2012.0,NUTS,2010,RO4,1,0.0
119,2012.0,NUTS,2010,SE1,1,0.0
120,2012.0,NUTS,2010,SE2,1,0.0
121,2012.0,NUTS,2010,SE3,1,0.0
122,2012.0,NUTS,2010,SI0,1,0.0
123,2012.0,NUTS,2010,SK0,1,0.0
124,2012.0,NUTS,2010,TR1,1,4.2
125,2012.0,NUTS,2010,TR2,1,0.0
126,2012.0,NUTS,2010,TR3,1,0.0
127,2012.0,NUTS,2010,TR4,1,0.0
128,2012.0,NUTS,2010,TR5,1,0.0
129,2012.0,NUTS,2010,TR6,1,0.0
130,2012.0,NUTS,2010,TR7,1,0.0
131,2012.0,NUTS,2010,TR8,1,0.0
132,2012.0,NUTS,2010,TR9,1,0.0
133,2012.0,NUTS,2010,TRA,1,0.0
134,2012.0,NUTS,2010,TRC,1,0.0
135,2012.0,NUTS,2010,UKC,1,0.0
136,2012.0,NUTS,2010,UKD,1,0.0
137,2012.0,NUTS,2010,UKE,1,1.6755319148936167
138,2012.0,NUTS,2010,UKF,1,3.036144578313253
139,2012.0,NUTS,2010,UKG,1,0.0
140,2012.0,NUTS,2010,UKH,1,0.634441087613293
141,2012.0,NUTS,2010,UKI,1,0.0
142,2012.0,NUTS,2010,UKJ,1,0.39424280350438046
143,2012.0,NUTS,2010,UKK,1,4.5
144,2012.0,NUTS,2010,UKL,1,0.0
145,2012.0,NUTS,2010,UKM,1,2.614107883817427
146,2012.0,NUTS,2010,UKN,1,0.0
147,2012.0,NUTS,2010,AT12,2,0.0
148,2012.0,NUTS,2010,AT13,2,0.0
149,2012.0,NUTS,2010,AT21,2,0.0
150,2012.0,NUTS,2010,AT22,2,6.428571428571428
151,2012.0,NUTS,2010,AT31,2,0.0
152,2012.0,NUTS,2010,AT32,2,0.0
153,2012.0,NUTS,2010,AT33,2,0.0
154,2012.0,NUTS,2010,BE10,2,1.6578947368421053
155,2012.0,NUTS,2010,BE21,2,0.0
156,2012.0,NUTS,2010,BE22,2,0.0
157,2012.0,NUTS,2010,BE23,2,6.428571428571428
158,2012.0,NUTS,2010,BE24,2,0.0
159,2012.0,NUTS,2010,BE31,2,0.0
160,2012.0,NUTS,2010,BE32,2,0.0
161,2012.0,NUTS,2010,BE33,2,7.2
162,2012.0,NUTS,2010,BG33,2,0.0
163,2012.0,NUTS,2010,BG41,2,0.0
164,2012.0,NUTS,2010,CH01,2,3.3689839572192515
165,2012.0,NUTS,2010,CH02,2,11.524390243902438
166,2012.0,NUTS,2010,CH03,2,0.0
167,2012.0,NUTS,2010,CH04,2,0.0
168,2012.0,NUTS,2010,CH05,2,0.0
169,2012.0,NUTS,2010,CH06,2,0.0
170,2012.0,NUTS,2010,CH07,2,114.54545454545455
171,2012.0,NUTS,2010,CY00,2,0.0
172,2012.0,NUTS,2010,CZ01,2,1.135135135135135
173,2012.0,NUTS,2010,CZ02,2,0.0
174,2012.0,NUTS,2010,CZ03,2,0.0
175,2012.0,NUTS,2010,CZ05,2,0.0
176,2012.0,NUTS,2010,CZ06,2,0.0
177,2012.0,NUTS,2010,CZ07,2,0.0
178,2012.0,NUTS,2010,CZ08,2,0.0
179,2012.0,NUTS,2010,DE11,2,0.0
180,2012.0,NUTS,2010,DE12,2,0.0
181,2012.0,NUTS,2010,DE13,2,0.0
182,2012.0,NUTS,2010,DE14,2,0.0
183,2012.0,NUTS,2010,DE21,2,0.5795768169273229
184,2012.0,NUTS,2010,DE22,2,209.99999999999997
185,2012.0,NUTS,2010,DE23,2,0.0
186,2012.0,NUTS,2010,DE24,2,0.0
187,2012.0,NUTS,2010,DE25,2,0.0
188,2012.0,NUTS,2010,DE26,2,8.63013698630137
189,2012.0,NUTS,2010,DE27,2,0.0
190,2012.0,NUTS,2010,DE30,2,3.586337760910816
191,2012.0,NUTS,2010,DE40,2,0.0
192,2012.0,NUTS,2010,DE50,2,0.0
193,2012.0,NUTS,2010,DE60,2,0.0
194,2012.0,NUTS,2010,DE71,2,1.9444444444444442
195,2012.0,NUTS,2010,DE72,2,0.0
196,2012.0,NUTS,2010,DE73,2,0.0
197,2012.0,NUTS,2010,DE80,2,0.0
198,2012.0,NUTS,2010,DE91,2,0.0
199,2012.0,NUTS,2010,DE92,2,6.494845360824742
200,2012.0,NUTS,2010,DE94,2,0.0
201,2012.0,NUTS,2010,DEA1,2,0.0
