,year,nuts_id,nuts_year_spec,education_count
0,2019.0,NL423,2016,1
1,2020.0,AT130,2016,1
2,2020.0,AT221,2016,1
3,2020.0,AT323,2016,1
4,2020.0,BE211,2016,2
5,2020.0,BE221,2016,1
6,2020.0,BE310,2016,1
7,2020.0,CH011,2016,1
8,2020.0,CH013,2016,3
9,2020.0,CH021,2016,1
10,2020.0,CZ010,2016,1
11,2020.0,CZ064,2016,1
12,2020.0,DE122,2016,1
13,2020.0,DE126,2016,1
14,2020.0,DE142,2016,2
15,2020.0,DE212,2016,3
16,2020.0,DE232,2016,1
17,2020.0,DEA22,2016,1
18,2020.0,DEA26,2016,1
19,2020.0,DK011,2016,2
20,2020.0,DK050,2016,1
21,2020.0,ES114,2016,1
22,2020.0,ES220,2016,1
23,2020.0,ES300,2016,3
24,2020.0,ES514,2016,1
25,2020.0,FR101,2016,3
26,2020.0,FR103,2016,1
27,2020.0,FR104,2016,1
28,2020.0,FRG01,2016,1
29,2020.0,ITC11,2016,3
30,2020.0,ITC4C,2016,2
31,2020.0,ITF47,2016,1
32,2020.0,ITH35,2016,1
33,2020.0,ITH44,2016,1
34,2020.0,ITI43,2016,1
35,2020.0,NL329,2016,1
36,2020.0,NL333,2016,3
37,2020.0,NO011,2016,2
38,2020.0,SE110,2016,1
39,2020.0,SE224,2016,1
40,2020.0,SE232,2016,1
41,2020.0,UKD33,2016,4
42,2020.0,UKD44,2016,1
43,2020.0,UKD45,2016,1
44,2020.0,UKD72,2016,1
45,2020.0,UKE21,2016,1
46,2020.0,UKE32,2016,2
47,2020.0,UKE42,2016,1
48,2020.0,UKF14,2016,1
49,2020.0,UKF21,2016,3
50,2020.0,UKG13,2016,2
51,2020.0,UKG24,2016,2
52,2020.0,UKG31,2016,3
53,2020.0,UKH12,2016,2
54,2020.0,UKH14,2016,1
55,2020.0,UKH17,2016,2
56,2020.0,UKH23,2016,3
57,2020.0,UKH25,2016,1
58,2020.0,UKI31,2016,5
59,2020.0,UKI32,2016,7
60,2020.0,UKI33,2016,7
61,2020.0,UKI34,2016,1
62,2020.0,UKI42,2016,2
63,2020.0,UKJ14,2016,11
64,2020.0,UKJ22,2016,1
65,2020.0,UKJ32,2016,8
66,2020.0,UKK11,2016,9
67,2020.0,UKK12,2016,1
68,2020.0,UKK43,2016,5
69,2020.0,UKL22,2016,2
70,2020.0,UKM50,2016,4
71,2020.0,UKM62,2016,1
72,2020.0,UKM72,2016,1
73,2020.0,UKM75,2016,2
74,2020.0,UKM77,2016,1
75,2020.0,UKM82,2016,1
76,2020.0,UKN06,2016,1
77,2021.0,CH013,2016,1
78,2021.0,DE300,2016,1
79,2021.0,ES511,2016,1
80,2021.0,ITH35,2016,1
81,2021.0,ITH55,2016,1
82,2021.0,ITI14,2016,1
83,2021.0,NL329,2016,1
84,2021.0,NO011,2016,1
85,2021.0,NO060,2016,1
86,2021.0,PT11A,2016,1
87,2021.0,SE110,2016,1
88,2021.0,SE221,2016,1
89,2021.0,UKE32,2016,1
90,2021.0,UKF21,2016,1
91,2021.0,UKG31,2016,1
92,2021.0,UKH17,2016,1
93,2021.0,UKK11,2016,1
94,2021.0,UKK43,2016,1
