,year,nuts_id,nuts_year_spec,mental_health_count
0,2020.0,AT,2016,9
1,2020.0,BE,2016,7
2,2020.0,CH,2016,21
3,2020.0,CY,2016,1
4,2020.0,CZ,2016,2
5,2020.0,DE,2016,32
6,2020.0,DK,2016,5
7,2020.0,EL,2016,13
8,2020.0,ES,2016,15
9,2020.0,FI,2016,2
10,2020.0,FR,2016,7
11,2020.0,HR,2016,2
12,2020.0,HU,2016,1
13,2020.0,IE,2016,2
14,2020.0,IS,2016,1
15,2020.0,IT,2016,25
16,2020.0,NL,2016,17
17,2020.0,NO,2016,14
18,2020.0,PL,2016,7
19,2020.0,PT,2016,6
20,2020.0,RS,2016,1
21,2020.0,SE,2016,9
22,2020.0,SI,2016,2
23,2020.0,TR,2016,6
24,2020.0,UK,2016,258
25,2021.0,CH,2016,1
26,2021.0,CY,2016,1
27,2021.0,CZ,2016,2
28,2021.0,DE,2016,5
29,2021.0,DK,2016,1
30,2021.0,EL,2016,2
31,2021.0,ES,2016,1
32,2021.0,IT,2016,2
33,2021.0,LV,2016,1
34,2021.0,ME,2016,1
35,2021.0,NL,2016,4
36,2021.0,SE,2016,1
37,2021.0,UK,2016,60
