,year,nuts_id,nuts_year_spec,medrxiv_count
0,2017.0,UK,2016,1
1,2018.0,ES,2016,3
2,2019.0,AT,2016,6
3,2019.0,BE,2016,18
4,2019.0,BG,2016,3
5,2019.0,CH,2016,69
6,2019.0,CY,2016,1
7,2019.0,CZ,2016,5
8,2019.0,DE,2016,92
9,2019.0,DK,2016,15
10,2019.0,EL,2016,5
11,2019.0,ES,2016,45
12,2019.0,FI,2016,7
13,2019.0,FR,2016,23
14,2019.0,HR,2016,1
15,2019.0,HU,2016,2
16,2019.0,IE,2016,10
17,2019.0,IS,2016,2
18,2019.0,IT,2016,42
19,2019.0,NL,2016,82
20,2019.0,NO,2016,12
21,2019.0,PL,2016,4
22,2019.0,PT,2016,13
23,2019.0,SE,2016,36
24,2019.0,SK,2016,2
25,2019.0,TR,2016,4
26,2019.0,UK,2016,437
27,2020.0,AT,2016,119
28,2020.0,BE,2016,200
29,2020.0,BG,2016,12
30,2020.0,CH,2016,479
31,2020.0,CY,2016,25
32,2020.0,CZ,2016,26
33,2020.0,DE,2016,908
34,2020.0,DK,2016,270
35,2020.0,EE,2016,26
36,2020.0,EL,2016,122
37,2020.0,ES,2016,403
38,2020.0,FI,2016,153
39,2020.0,FR,2016,386
40,2020.0,HR,2016,19
41,2020.0,HU,2016,42
42,2020.0,IE,2016,94
43,2020.0,IS,2016,25
44,2020.0,IT,2016,611
45,2020.0,LT,2016,7
46,2020.0,LU,2016,9
47,2020.0,LV,2016,7
48,2020.0,MK,2016,2
49,2020.0,MT,2016,7
50,2020.0,NL,2016,531
51,2020.0,NO,2016,218
52,2020.0,PL,2016,86
53,2020.0,PT,2016,62
54,2020.0,RO,2016,3
55,2020.0,RS,2016,9
56,2020.0,SE,2016,386
57,2020.0,SI,2016,21
58,2020.0,SK,2016,9
59,2020.0,TR,2016,76
60,2020.0,UK,2016,4221
61,2021.0,AT,2016,26
62,2021.0,BE,2016,25
63,2021.0,BG,2016,4
64,2021.0,CH,2016,100
65,2021.0,CY,2016,7
66,2021.0,CZ,2016,6
67,2021.0,DE,2016,124
68,2021.0,DK,2016,40
69,2021.0,EE,2016,2
70,2021.0,EL,2016,21
71,2021.0,ES,2016,42
72,2021.0,FI,2016,25
73,2021.0,FR,2016,50
74,2021.0,HR,2016,1
75,2021.0,HU,2016,4
76,2021.0,IE,2016,15
77,2021.0,IS,2016,2
78,2021.0,IT,2016,85
79,2021.0,LT,2016,2
80,2021.0,LU,2016,2
81,2021.0,LV,2016,1
82,2021.0,ME,2016,1
83,2021.0,MT,2016,1
84,2021.0,NL,2016,106
85,2021.0,NO,2016,31
86,2021.0,PL,2016,23
87,2021.0,PT,2016,6
88,2021.0,RO,2016,2
89,2021.0,SE,2016,50
90,2021.0,SI,2016,4
91,2021.0,SK,2016,3
92,2021.0,TR,2016,15
93,2021.0,UK,2016,662
