,year,nuts_id,nuts_year_spec,antiviral_drugs_count
0,2018.0,CH01,2016,1
1,2018.0,CH02,2016,1
2,2018.0,DE73,2016,1
3,2018.0,NL22,2016,1
4,2018.0,NL31,2016,1
5,2018.0,NL32,2016,1
6,2018.0,UKH1,2016,1
7,2018.0,UKK1,2016,1
8,2019.0,DE30,2016,1
9,2019.0,DE60,2016,3
10,2019.0,DEF0,2016,1
11,2019.0,FRL0,2016,1
12,2019.0,ITH2,2016,1
13,2019.0,NL33,2016,1
14,2019.0,UKH1,2016,1
15,2019.0,UKJ2,2016,3
16,2020.0,AT13,2016,2
17,2020.0,AT22,2016,1
18,2020.0,AT31,2016,1
19,2020.0,BE21,2016,1
20,2020.0,BE24,2016,1
21,2020.0,BG41,2016,1
22,2020.0,CH01,2016,2
23,2020.0,CH02,2016,2
24,2020.0,CH03,2016,1
25,2020.0,CH04,2016,3
26,2020.0,CZ01,2016,2
27,2020.0,CZ06,2016,1
28,2020.0,CZ08,2016,1
29,2020.0,DE12,2016,5
30,2020.0,DE13,2016,1
31,2020.0,DE14,2016,1
32,2020.0,DE21,2016,15
33,2020.0,DE25,2016,1
34,2020.0,DE26,2016,2
35,2020.0,DE30,2016,7
36,2020.0,DE60,2016,12
37,2020.0,DE71,2016,3
38,2020.0,DE72,2016,3
39,2020.0,DE92,2016,2
40,2020.0,DE94,2016,1
41,2020.0,DEA2,2016,6
42,2020.0,DEF0,2016,4
43,2020.0,DK01,2016,3
44,2020.0,EE00,2016,1
45,2020.0,EL30,2016,2
46,2020.0,ES24,2016,1
47,2020.0,ES30,2016,3
48,2020.0,ES41,2016,3
49,2020.0,ES52,2016,2
50,2020.0,ES53,2016,1
51,2020.0,ES62,2016,1
52,2020.0,FI1B,2016,1
53,2020.0,FR10,2016,7
54,2020.0,FRE1,2016,1
55,2020.0,FRF1,2016,1
56,2020.0,FRF3,2016,1
57,2020.0,FRG0,2016,1
58,2020.0,FRJ1,2016,2
59,2020.0,FRK2,2016,2
60,2020.0,FRL0,2016,4
61,2020.0,HU11,2016,2
62,2020.0,IE05,2016,3
63,2020.0,ITC4,2016,1
64,2020.0,ITF3,2016,1
65,2020.0,ITG1,2016,2
66,2020.0,ITG2,2016,1
67,2020.0,ITH3,2016,1
68,2020.0,ITH4,2016,1
69,2020.0,ITH5,2016,1
70,2020.0,ITI1,2016,1
71,2020.0,ITI4,2016,3
72,2020.0,LU00,2016,1
73,2020.0,NL11,2016,2
74,2020.0,NL22,2016,3
75,2020.0,NL31,2016,1
76,2020.0,NL32,2016,6
77,2020.0,NL33,2016,12
78,2020.0,NO05,2016,1
79,2020.0,PL21,2016,1
80,2020.0,PL22,2016,2
81,2020.0,PL63,2016,1
82,2020.0,PL91,2016,1
83,2020.0,RO32,2016,1
84,2020.0,SE11,2016,1
85,2020.0,SE12,2016,1
86,2020.0,SE23,2016,1
87,2020.0,SI04,2016,2
88,2020.0,TR10,2016,2
89,2020.0,TR42,2016,1
90,2020.0,TR62,2016,1
91,2020.0,TR72,2016,1
92,2020.0,UKD3,2016,2
93,2020.0,UKD7,2016,1
94,2020.0,UKE2,2016,3
95,2020.0,UKE3,2016,2
96,2020.0,UKE4,2016,1
97,2020.0,UKF3,2016,1
98,2020.0,UKG1,2016,2
99,2020.0,UKH1,2016,17
100,2020.0,UKI3,2016,7
101,2020.0,UKI4,2016,2
102,2020.0,UKJ1,2016,16
103,2020.0,UKJ2,2016,3
104,2020.0,UKJ3,2016,4
105,2020.0,UKJ4,2016,1
106,2020.0,UKK1,2016,4
107,2020.0,UKM7,2016,1
108,2020.0,UKM8,2016,1
109,2020.0,UKN0,2016,1
110,2021.0,BE33,2016,1
111,2021.0,CH04,2016,2
112,2021.0,DEA5,2016,1
113,2021.0,DK01,2016,1
114,2021.0,EE00,2016,1
115,2021.0,ES41,2016,1
116,2021.0,ES52,2016,1
117,2021.0,ITC3,2016,1
118,2021.0,ITH3,2016,1
119,2021.0,NL22,2016,1
120,2021.0,NL31,2016,1
121,2021.0,NL33,2016,2
122,2021.0,NO07,2016,1
123,2021.0,SE11,2016,1
124,2021.0,SE12,2016,1
125,2021.0,UKD7,2016,2
126,2021.0,UKE3,2016,1
127,2021.0,UKH1,2016,3
128,2021.0,UKI3,2016,1
129,2021.0,UKJ1,2016,1
130,2021.0,UKJ3,2016,1
131,2021.0,UKM7,2016,1
