,year,nuts_id,nuts_year_spec,cord_count
193,2002.0,UKJ1,2016,7
194,2002.0,UKJ2,2016,6
195,2002.0,UKJ3,2016,4
196,2002.0,UKK1,2016,1
197,2002.0,UKL2,2016,1
198,2002.0,UKM7,2016,2
199,2002.0,UKM8,2016,4
200,2002.0,UKN0,2016,4
201,2003.0,AT13,2016,6
202,2003.0,AT33,2016,1
203,2003.0,BE21,2016,2
204,2003.0,BE23,2016,1
205,2003.0,BE33,2016,1
206,2003.0,CH01,2016,9
207,2003.0,CH04,2016,5
208,2003.0,CZ02,2016,1
209,2003.0,DE12,2016,1
210,2003.0,DE13,2016,2
211,2003.0,DE14,2016,2
212,2003.0,DE21,2016,1
213,2003.0,DE23,2016,2
214,2003.0,DE26,2016,9
215,2003.0,DE30,2016,7
216,2003.0,DE60,2016,4
217,2003.0,DE71,2016,9
218,2003.0,DE72,2016,6
219,2003.0,DE73,2016,3
220,2003.0,DE80,2016,2
221,2003.0,DE92,2016,1
222,2003.0,DEA3,2016,1
223,2003.0,DEA5,2016,1
224,2003.0,DED5,2016,5
225,2003.0,DEE0,2016,2
226,2003.0,DEF0,2016,3
227,2003.0,DK01,2016,4
228,2003.0,DK04,2016,2
229,2003.0,EL52,2016,3
230,2003.0,ES11,2016,1
231,2003.0,ES12,2016,1
232,2003.0,ES22,2016,1
233,2003.0,ES30,2016,10
234,2003.0,ES41,2016,1
235,2003.0,ES51,2016,1
236,2003.0,ES62,2016,1
237,2003.0,FI1B,2016,5
238,2003.0,FI1C,2016,6
239,2003.0,FR10,2016,5
240,2003.0,FRK2,2016,2
241,2003.0,IE04,2016,1
242,2003.0,IS00,2016,1
243,2003.0,ITC3,2016,1
244,2003.0,ITC4,2016,4
245,2003.0,ITF4,2016,3
246,2003.0,ITH4,2016,3
247,2003.0,ITH5,2016,2
248,2003.0,ITI1,2016,1
249,2003.0,ITI2,2016,1
250,2003.0,ITI4,2016,4
251,2003.0,NL11,2016,3
252,2003.0,NL22,2016,3
253,2003.0,NL31,2016,9
254,2003.0,NL32,2016,3
255,2003.0,NL33,2016,14
256,2003.0,NO01,2016,2
257,2003.0,PL41,2016,1
258,2003.0,PL91,2016,1
259,2003.0,SE11,2016,9
260,2003.0,SE12,2016,6
261,2003.0,SE22,2016,3
262,2003.0,SE33,2016,3
263,2003.0,TR32,2016,1
264,2003.0,UKC1,2016,1
265,2003.0,UKC2,2016,1
266,2003.0,UKD7,2016,4
267,2003.0,UKE3,2016,1
268,2003.0,UKE4,2016,5
269,2003.0,UKF1,2016,1
270,2003.0,UKF2,2016,4
271,2003.0,UKG1,2016,4
272,2003.0,UKG3,2016,1
273,2003.0,UKH1,2016,8
274,2003.0,UKH2,2016,1
275,2003.0,UKI3,2016,24
276,2003.0,UKI4,2016,6
277,2003.0,UKJ1,2016,10
278,2003.0,UKJ2,2016,4
279,2003.0,UKJ3,2016,2
280,2003.0,UKK1,2016,5
281,2003.0,UKL2,2016,3
282,2003.0,UKM5,2016,3
283,2003.0,UKM7,2016,6
284,2003.0,UKM8,2016,7
285,2004.0,AT13,2016,14
286,2004.0,BE10,2016,4
287,2004.0,BE21,2016,3
288,2004.0,BE23,2016,6
289,2004.0,BE24,2016,7
290,2004.0,BE31,2016,3
291,2004.0,CH01,2016,22
292,2004.0,CH02,2016,1
293,2004.0,CH03,2016,2
294,2004.0,CH04,2016,3
295,2004.0,CH05,2016,1
296,2004.0,CZ02,2016,2
297,2004.0,DE11,2016,1
298,2004.0,DE13,2016,2
299,2004.0,DE14,2016,3
300,2004.0,DE21,2016,6
301,2004.0,DE25,2016,4
302,2004.0,DE26,2016,6
303,2004.0,DE30,2016,10
304,2004.0,DE50,2016,1
305,2004.0,DE60,2016,4
306,2004.0,DE71,2016,11
307,2004.0,DE72,2016,6
308,2004.0,DE80,2016,1
309,2004.0,DE91,2016,5
310,2004.0,DE92,2016,3
311,2004.0,DEA2,2016,1
312,2004.0,DEA3,2016,1
313,2004.0,DEF0,2016,2
314,2004.0,DK01,2016,5
315,2004.0,DK02,2016,1
316,2004.0,DK04,2016,2
317,2004.0,EL30,2016,5
318,2004.0,EL52,2016,5
319,2004.0,EL61,2016,1
320,2004.0,ES12,2016,2
321,2004.0,ES21,2016,1
322,2004.0,ES30,2016,15
323,2004.0,ES51,2016,5
324,2004.0,ES52,2016,2
325,2004.0,ES70,2016,1
326,2004.0,FI1B,2016,6
327,2004.0,FI1C,2016,2
328,2004.0,FR10,2016,9
329,2004.0,FRB0,2016,1
330,2004.0,FRJ1,2016,1
331,2004.0,FRK2,2016,8
332,2004.0,FRL0,2016,2
333,2004.0,HU11,2016,2
334,2004.0,IS00,2016,1
335,2004.0,ITC1,2016,1
336,2004.0,ITC3,2016,2
337,2004.0,ITC4,2016,7
338,2004.0,ITF1,2016,1
339,2004.0,ITF4,2016,8
340,2004.0,ITG1,2016,1
341,2004.0,ITG2,2016,1
342,2004.0,ITH3,2016,2
343,2004.0,ITH5,2016,3
344,2004.0,ITI1,2016,4
345,2004.0,ITI2,2016,1
346,2004.0,ITI4,2016,7
347,2004.0,LV00,2016,1
348,2004.0,NL11,2016,2
349,2004.0,NL22,2016,3
350,2004.0,NL31,2016,14
351,2004.0,NL32,2016,6
352,2004.0,NL33,2016,19
353,2004.0,NO01,2016,3
354,2004.0,NO05,2016,3
355,2004.0,PL41,2016,1
356,2004.0,PL91,2016,1
357,2004.0,PT11,2016,1
358,2004.0,PT17,2016,1
359,2004.0,RS11,2016,1
360,2004.0,SE11,2016,7
361,2004.0,SE12,2016,6
362,2004.0,SE22,2016,3
363,2004.0,SE23,2016,3
364,2004.0,SI04,2016,1
365,2004.0,TR41,2016,1
366,2004.0,TR51,2016,1
367,2004.0,UKC1,2016,3
368,2004.0,UKD3,2016,4
369,2004.0,UKD7,2016,10
370,2004.0,UKE3,2016,3
371,2004.0,UKE4,2016,2
372,2004.0,UKF1,2016,1
373,2004.0,UKF2,2016,4
374,2004.0,UKG1,2016,5
375,2004.0,UKG3,2016,2
376,2004.0,UKH1,2016,21
377,2004.0,UKI3,2016,37
378,2004.0,UKI4,2016,11
379,2004.0,UKJ1,2016,23
380,2004.0,UKJ2,2016,9
381,2004.0,UKJ3,2016,4
382,2004.0,UKK1,2016,11
383,2004.0,UKK4,2016,1
384,2004.0,UKL2,2016,8
385,2004.0,UKM5,2016,2
386,2004.0,UKM7,2016,5
387,2004.0,UKM8,2016,4
388,2004.0,UKN0,2016,2
389,2005.0,AT13,2016,11
390,2005.0,AT22,2016,1
391,2005.0,AT33,2016,2
392,2005.0,BE21,2016,2
393,2005.0,BE23,2016,7
394,2005.0,BE24,2016,11
395,2005.0,BE33,2016,1
396,2005.0,BG41,2016,2
397,2005.0,CH01,2016,23
398,2005.0,CH02,2016,3
399,2005.0,CH03,2016,5
400,2005.0,CH04,2016,6
401,2005.0,CH05,2016,4
402,2005.0,CZ01,2016,2
403,2005.0,CZ02,2016,1
404,2005.0,CZ06,2016,1
405,2005.0,DE12,2016,1
406,2005.0,DE13,2016,4
407,2005.0,DE14,2016,4
408,2005.0,DE21,2016,8
409,2005.0,DE23,2016,1
410,2005.0,DE25,2016,3
411,2005.0,DE26,2016,14
412,2005.0,DE30,2016,22
413,2005.0,DE60,2016,5
414,2005.0,DE71,2016,10
415,2005.0,DE72,2016,10
416,2005.0,DE73,2016,4
417,2005.0,DE80,2016,2
418,2005.0,DE91,2016,2
419,2005.0,DE92,2016,1
420,2005.0,DEA2,2016,2
421,2005.0,DEA5,2016,4
422,2005.0,DEC0,2016,3
423,2005.0,DED4,2016,1
424,2005.0,DED5,2016,4
425,2005.0,DEE0,2016,1
426,2005.0,DEF0,2016,6
427,2005.0,DK01,2016,4
428,2005.0,DK03,2016,1
429,2005.0,DK04,2016,4
430,2005.0,EL30,2016,2
431,2005.0,EL52,2016,5
432,2005.0,ES12,2016,2
433,2005.0,ES30,2016,25
434,2005.0,ES41,2016,1
435,2005.0,ES51,2016,5
436,2005.0,ES52,2016,3
437,2005.0,ES61,2016,3
438,2005.0,ES70,2016,1
439,2005.0,FI19,2016,1
440,2005.0,FI1B,2016,11
441,2005.0,FI1C,2016,7
442,2005.0,FI1D,2016,2
443,2005.0,FR10,2016,14
444,2005.0,FRE1,2016,1
445,2005.0,FRK2,2016,3
446,2005.0,FRL0,2016,2
447,2005.0,HU32,2016,1
448,2005.0,IE05,2016,2
449,2005.0,IE06,2016,1
450,2005.0,IS00,2016,1
451,2005.0,ITC1,2016,1
452,2005.0,ITC3,2016,2
453,2005.0,ITC4,2016,16
454,2005.0,ITF1,2016,1
455,2005.0,ITF3,2016,1
456,2005.0,ITF4,2016,3
457,2005.0,ITF6,2016,1
458,2005.0,ITG1,2016,1
459,2005.0,ITG2,2016,2
460,2005.0,ITH3,2016,3
461,2005.0,ITH5,2016,7
462,2005.0,ITI1,2016,3
463,2005.0,ITI4,2016,8
464,2005.0,NL22,2016,6
465,2005.0,NL31,2016,23
466,2005.0,NL32,2016,14
467,2005.0,NL33,2016,26
468,2005.0,NL41,2016,1
469,2005.0,NL42,2016,1
470,2005.0,NO01,2016,5
471,2005.0,NO05,2016,2
472,2005.0,NO06,2016,1
473,2005.0,PL21,2016,4
474,2005.0,PL91,2016,6
475,2005.0,PT17,2016,2
476,2005.0,SE11,2016,16
477,2005.0,SE12,2016,4
478,2005.0,SE23,2016,1
479,2005.0,SE33,2016,3
480,2005.0,TR51,2016,1
481,2005.0,TR72,2016,1
482,2005.0,TRB1,2016,1
483,2005.0,UKC1,2016,1
484,2005.0,UKD3,2016,3
485,2005.0,UKD4,2016,1
486,2005.0,UKD7,2016,10
487,2005.0,UKE1,2016,1
488,2005.0,UKE2,2016,1
489,2005.0,UKE3,2016,1
490,2005.0,UKE4,2016,8
491,2005.0,UKF1,2016,7
492,2005.0,UKF2,2016,6
493,2005.0,UKG1,2016,4
494,2005.0,UKG3,2016,4
495,2005.0,UKH1,2016,15
496,2005.0,UKH2,2016,2
497,2005.0,UKH3,2016,1
498,2005.0,UKI3,2016,41
499,2005.0,UKI4,2016,17
500,2005.0,UKI7,2016,2
501,2005.0,UKJ1,2016,12
502,2005.0,UKJ2,2016,6
503,2005.0,UKJ3,2016,3
504,2005.0,UKK1,2016,7
505,2005.0,UKK4,2016,4
506,2005.0,UKL2,2016,8
507,2005.0,UKM5,2016,2
508,2005.0,UKM7,2016,15
509,2005.0,UKM8,2016,12
510,2005.0,UKN0,2016,3
511,2006.0,AT13,2016,21
512,2006.0,AT33,2016,2
513,2006.0,BE10,2016,3
514,2006.0,BE21,2016,1
515,2006.0,BE23,2016,10
516,2006.0,BE24,2016,8
517,2006.0,BE31,2016,3
518,2006.0,CH01,2016,17
519,2006.0,CH03,2016,4
520,2006.0,CH04,2016,20
521,2006.0,CH05,2016,4
522,2006.0,CZ01,2016,3
523,2006.0,CZ02,2016,1
524,2006.0,CZ03,2016,1
525,2006.0,CZ06,2016,3
526,2006.0,DE12,2016,4
527,2006.0,DE13,2016,7
528,2006.0,DE14,2016,2
529,2006.0,DE21,2016,27
530,2006.0,DE23,2016,3
531,2006.0,DE24,2016,2
532,2006.0,DE25,2016,7
533,2006.0,DE26,2016,14
534,2006.0,DE30,2016,26
535,2006.0,DE40,2016,1
536,2006.0,DE60,2016,5
537,2006.0,DE71,2016,7
538,2006.0,DE72,2016,15
539,2006.0,DE73,2016,4
540,2006.0,DE80,2016,3
541,2006.0,DE91,2016,5
542,2006.0,DE92,2016,7
543,2006.0,DEA1,2016,1
544,2006.0,DEA2,2016,3
545,2006.0,DEA3,2016,1
546,2006.0,DEA4,2016,1
547,2006.0,DEA5,2016,2
548,2006.0,DED4,2016,4
549,2006.0,DED5,2016,3
550,2006.0,DEE0,2016,7
551,2006.0,DEF0,2016,5
552,2006.0,DK01,2016,6
553,2006.0,DK03,2016,1
554,2006.0,DK04,2016,3
555,2006.0,EE00,2016,2
556,2006.0,EL30,2016,3
557,2006.0,EL43,2016,1
558,2006.0,EL52,2016,6
559,2006.0,EL61,2016,1
560,2006.0,EL63,2016,2
561,2006.0,ES22,2016,2
562,2006.0,ES30,2016,25
