year,region_type,region_year_spec,region_id,region_level,biorxiv_count
0,2011,NUTS,2010,SE,0,1
1,2011,NUTS,2010,SE1,1,1
2,2011,NUTS,2010,SE12,2,1
3,2011,NUTS,2010,SE121,3,1
4,2011,NUTS,2010,UK,0,1
5,2011,NUTS,2010,UKJ,1,1
6,2011,NUTS,2010,UKJ2,2,1
7,2011,NUTS,2010,UKJ21,3,1
8,2012,NUTS,2010,IT,0,1
9,2012,NUTS,2010,ITH,1,1
10,2012,NUTS,2010,ITH4,2,1
11,2012,NUTS,2010,ITH42,3,1
12,2012,NUTS,2010,SE,0,1
13,2012,NUTS,2010,SE2,1,1
14,2012,NUTS,2010,SE23,2,1
15,2012,NUTS,2010,SE232,3,1
16,2013,NUTS,2013,CH,0,1
17,2013,NUTS,2013,CH0,1,1
18,2013,NUTS,2013,CH01,2,1
19,2013,NUTS,2013,CH011,3,1
20,2013,NUTS,2013,DE,0,9
21,2013,NUTS,2013,DE1,1,2
22,2013,NUTS,2013,DE12,2,2
23,2013,NUTS,2013,DE125,3,2
24,2013,NUTS,2013,DE2,1,4
25,2013,NUTS,2013,DE21,2,3
26,2013,NUTS,2013,DE212,3,3
27,2013,NUTS,2013,DE26,2,1
28,2013,NUTS,2013,DE263,3,1
29,2013,NUTS,2013,DE3,1,1
30,2013,NUTS,2013,DE30,2,1
31,2013,NUTS,2013,DE300,3,1
32,2013,NUTS,2013,DEA,1,1
33,2013,NUTS,2013,DEA2,2,1
34,2013,NUTS,2013,DEA23,3,1
35,2013,NUTS,2013,DED,1,1
36,2013,NUTS,2013,DED4,2,1
37,2013,NUTS,2013,DED43,3,1
38,2013,NUTS,2013,ES,0,1
39,2013,NUTS,2013,ES3,1,1
40,2013,NUTS,2013,ES30,2,1
41,2013,NUTS,2013,ES300,3,1
42,2013,NUTS,2013,FR,0,3
43,2013,NUTS,2013,FR1,1,3
44,2013,NUTS,2013,FR10,2,3
45,2013,NUTS,2013,FR101,3,3
46,2013,NUTS,2013,IE,0,1
47,2013,NUTS,2013,IE0,1,1
48,2013,NUTS,2013,IE02,2,1
49,2013,NUTS,2013,IE021,3,1
50,2013,NUTS,2013,IT,0,4
51,2013,NUTS,2013,ITC,1,1
52,2013,NUTS,2013,ITC4,2,1
53,2013,NUTS,2013,ITC4C,3,1
54,2013,NUTS,2013,ITH,1,1
55,2013,NUTS,2013,ITH2,2,1
56,2013,NUTS,2013,ITH20,3,1
57,2013,NUTS,2013,ITI,1,2
58,2013,NUTS,2013,ITI1,2,2
59,2013,NUTS,2013,ITI14,3,2
60,2013,NUTS,2013,SE,0,2
61,2013,NUTS,2013,SE2,1,2
62,2013,NUTS,2013,SE22,2,2
63,2013,NUTS,2013,SE224,3,2
64,2013,NUTS,2013,TR,0,1
65,2013,NUTS,2013,TR6,1,1
66,2013,NUTS,2013,TR62,2,1
67,2013,NUTS,2013,TR622,3,1
68,2013,NUTS,2013,UK,0,21
69,2013,NUTS,2013,UKC,1,1
70,2013,NUTS,2013,UKC2,2,1
71,2013,NUTS,2013,UKC22,3,1
72,2013,NUTS,2013,UKE,1,3
73,2013,NUTS,2013,UKE2,2,1
74,2013,NUTS,2013,UKE21,3,1
75,2013,NUTS,2013,UKE3,2,2
76,2013,NUTS,2013,UKE32,3,2
77,2013,NUTS,2013,UKF,1,1
78,2013,NUTS,2013,UKF1,2,1
79,2013,NUTS,2013,UKF14,3,1
80,2013,NUTS,2013,UKH,1,5
81,2013,NUTS,2013,UKH1,2,4
82,2013,NUTS,2013,UKH12,3,4
83,2013,NUTS,2013,UKH3,2,1
84,2013,NUTS,2013,UKH34,3,1
85,2013,NUTS,2013,UKI,1,5
86,2013,NUTS,2013,UKI3,2,4
87,2013,NUTS,2013,UKI32,3,2
88,2013,NUTS,2013,UKI33,3,2
89,2013,NUTS,2013,UKI4,2,1
90,2013,NUTS,2013,UKI42,3,1
91,2013,NUTS,2013,UKJ,1,3
92,2013,NUTS,2013,UKJ1,2,2
93,2013,NUTS,2013,UKJ14,3,2
94,2013,NUTS,2013,UKJ2,2,1
95,2013,NUTS,2013,UKJ22,3,1
96,2013,NUTS,2013,UKK,1,1
97,2013,NUTS,2013,UKK1,2,1
98,2013,NUTS,2013,UKK11,3,1
99,2013,NUTS,2013,UKM,1,2
100,2013,NUTS,2013,UKM2,2,2
101,2013,NUTS,2013,UKM21,3,1
102,2013,NUTS,2013,UKM25,3,1
103,2014,NUTS,2013,AT,0,7
104,2014,NUTS,2013,AT1,1,6
105,2014,NUTS,2013,AT12,2,2
106,2014,NUTS,2013,AT124,3,1
107,2014,NUTS,2013,AT126,3,1
108,2014,NUTS,2013,AT13,2,4
109,2014,NUTS,2013,AT130,3,4
110,2014,NUTS,2013,AT3,1,1
111,2014,NUTS,2013,AT31,2,1
112,2014,NUTS,2013,AT312,3,1
113,2014,NUTS,2013,BE,0,5
114,2014,NUTS,2013,BE2,1,3
115,2014,NUTS,2013,BE21,2,1
116,2014,NUTS,2013,BE211,3,1
117,2014,NUTS,2013,BE23,2,2
118,2014,NUTS,2013,BE234,3,2
119,2014,NUTS,2013,BE3,1,2
120,2014,NUTS,2013,BE31,2,1
121,2014,NUTS,2013,BE310,3,1
122,2014,NUTS,2013,BE33,2,1
123,2014,NUTS,2013,BE332,3,1
