,year,nuts_id,nuts_year_spec,population_impact_count
0,2020.0,AT,2016,5
1,2020.0,BE,2016,7
2,2020.0,CH,2016,19
3,2020.0,CY,2016,1
4,2020.0,DE,2016,38
5,2020.0,DK,2016,11
6,2020.0,EL,2016,4
7,2020.0,ES,2016,25
8,2020.0,FI,2016,4
9,2020.0,FR,2016,17
10,2020.0,IE,2016,3
11,2020.0,IT,2016,29
12,2020.0,MT,2016,3
13,2020.0,NL,2016,15
14,2020.0,NO,2016,6
15,2020.0,PL,2016,4
16,2020.0,PT,2016,7
17,2020.0,RS,2016,2
18,2020.0,SE,2016,24
19,2020.0,TR,2016,1
20,2020.0,UK,2016,175
21,2021.0,CH,2016,2
22,2021.0,CY,2016,1
23,2021.0,DE,2016,7
24,2021.0,FR,2016,2
25,2021.0,IT,2016,1
26,2021.0,MT,2016,1
27,2021.0,NL,2016,1
28,2021.0,NO,2016,1
29,2021.0,PL,2016,3
30,2021.0,UK,2016,34
