year,region_type,region_year_spec,region_id,region_level,medrxiv_count
0,2017,NUTS,2016,UK,0,1
1,2017,NUTS,2016,UKM,1,1
2,2017,NUTS,2016,UKM7,2,1
3,2017,NUTS,2016,UKM72,3,1
4,2018,NUTS,2016,ES,0,3
5,2018,NUTS,2016,ES2,1,1
6,2018,NUTS,2016,ES22,2,1
7,2018,NUTS,2016,ES220,3,1
8,2018,NUTS,2016,ES3,1,1
9,2018,NUTS,2016,ES30,2,1
10,2018,NUTS,2016,ES300,3,1
11,2018,NUTS,2016,ES5,1,1
12,2018,NUTS,2016,ES51,2,1
13,2018,NUTS,2016,ES511,3,1
14,2019,NUTS,2016,AT,0,6
15,2019,NUTS,2016,AT1,1,2
16,2019,NUTS,2016,AT13,2,2
17,2019,NUTS,2016,AT130,3,2
18,2019,NUTS,2016,AT2,1,1
19,2019,NUTS,2016,AT22,2,1
20,2019,NUTS,2016,AT221,3,1
21,2019,NUTS,2016,AT3,1,3
22,2019,NUTS,2016,AT33,2,3
23,2019,NUTS,2016,AT332,3,3
24,2019,NUTS,2016,BE,0,18
25,2019,NUTS,2016,BE1,1,4
26,2019,NUTS,2016,BE10,2,4
27,2019,NUTS,2016,BE100,3,4
28,2019,NUTS,2016,BE2,1,14
29,2019,NUTS,2016,BE21,2,6
30,2019,NUTS,2016,BE211,3,5
31,2019,NUTS,2016,BE213,3,1
32,2019,NUTS,2016,BE22,2,3
33,2019,NUTS,2016,BE221,3,3
34,2019,NUTS,2016,BE23,2,3
35,2019,NUTS,2016,BE234,3,3
36,2019,NUTS,2016,BE24,2,2
37,2019,NUTS,2016,BE241,3,2
38,2019,NUTS,2016,BG,0,3
39,2019,NUTS,2016,BG4,1,3
40,2019,NUTS,2016,BG41,2,3
41,2019,NUTS,2016,BG411,3,3
42,2019,NUTS,2016,CH,0,69
43,2019,NUTS,2016,CH0,1,69
44,2019,NUTS,2016,CH01,2,23
45,2019,NUTS,2016,CH011,3,7
46,2019,NUTS,2016,CH013,3,16
47,2019,NUTS,2016,CH02,2,17
48,2019,NUTS,2016,CH021,3,13
49,2019,NUTS,2016,CH022,3,1
50,2019,NUTS,2016,CH024,3,1
51,2019,NUTS,2016,CH025,3,2
52,2019,NUTS,2016,CH03,2,9
53,2019,NUTS,2016,CH031,3,9
54,2019,NUTS,2016,CH04,2,16
55,2019,NUTS,2016,CH040,3,16
56,2019,NUTS,2016,CH05,2,4
57,2019,NUTS,2016,CH055,3,4
58,2019,NUTS,2016,CY,0,1
59,2019,NUTS,2016,CY0,1,1
60,2019,NUTS,2016,CY00,2,1
61,2019,NUTS,2016,CY000,3,1
62,2019,NUTS,2016,CZ,0,5
63,2019,NUTS,2016,CZ0,1,5
64,2019,NUTS,2016,CZ01,2,5
65,2019,NUTS,2016,CZ010,3,5
66,2019,NUTS,2016,DE,0,92
67,2019,NUTS,2016,DE1,1,17
68,2019,NUTS,2016,DE12,2,10
69,2019,NUTS,2016,DE125,3,10
70,2019,NUTS,2016,DE13,2,3
71,2019,NUTS,2016,DE131,3,3
72,2019,NUTS,2016,DE14,2,4
73,2019,NUTS,2016,DE142,3,4
74,2019,NUTS,2016,DE2,1,17
75,2019,NUTS,2016,DE21,2,11
76,2019,NUTS,2016,DE212,3,11
77,2019,NUTS,2016,DE23,2,2
78,2019,NUTS,2016,DE232,3,2
79,2019,NUTS,2016,DE25,2,2
80,2019,NUTS,2016,DE252,3,2
81,2019,NUTS,2016,DE26,2,2
82,2019,NUTS,2016,DE263,3,2
83,2019,NUTS,2016,DE3,1,18
84,2019,NUTS,2016,DE30,2,18
85,2019,NUTS,2016,DE300,3,18
86,2019,NUTS,2016,DE6,1,3
87,2019,NUTS,2016,DE60,2,3
88,2019,NUTS,2016,DE600,3,3
89,2019,NUTS,2016,DE7,1,4
90,2019,NUTS,2016,DE71,2,1
91,2019,NUTS,2016,DE712,3,1
