,year,nuts_id,nuts_year_spec,vaccines_count
0,2020.0,BE100,2016,1
1,2020.0,BE211,2016,1
2,2020.0,BE213,2016,3
3,2020.0,BE234,2016,2
4,2020.0,CH011,2016,2
5,2020.0,CH013,2016,1
6,2020.0,DE929,2016,1
7,2020.0,FRF11,2016,1
8,2020.0,ITI14,2016,1
9,2020.0,NL226,2016,1
10,2020.0,NL332,2016,1
11,2020.0,NL337,2016,1
12,2020.0,NL33C,2016,1
13,2020.0,PL911,2016,1
14,2020.0,SE110,2016,4
15,2020.0,SE121,2016,1
16,2020.0,UKC22,2016,1
17,2020.0,UKD33,2016,2
18,2020.0,UKD72,2016,1
19,2020.0,UKE42,2016,1
20,2020.0,UKF21,2016,2
21,2020.0,UKG13,2016,1
22,2020.0,UKG31,2016,1
23,2020.0,UKH12,2016,4
24,2020.0,UKH23,2016,4
25,2020.0,UKI31,2016,3
26,2020.0,UKI32,2016,1
27,2020.0,UKI33,2016,1
28,2020.0,UKJ14,2016,5
29,2020.0,UKJ25,2016,2
30,2020.0,UKK11,2016,2
31,2020.0,UKK43,2016,1
32,2020.0,UKL21,2016,1
33,2020.0,UKM72,2016,1
34,2020.0,UKM75,2016,4
35,2020.0,UKM82,2016,5
36,2021.0,FI1B1,2016,1
37,2021.0,ITC4C,2016,1
38,2021.0,UKH12,2016,2
39,2021.0,UKI31,2016,1
40,2021.0,UKI42,2016,1
41,2021.0,UKJ14,2016,3
42,2021.0,UKJ41,2016,1
