year,region_type,region_year_spec,region_id,region_level,covid_count
0,2015.0,NUTS,2013,UK,0,1
1,2015.0,NUTS,2013,UKM,1,1
2,2015.0,NUTS,2013,UKM2,2,1
3,2015.0,NUTS,2013,UKM25,3,1
4,2016.0,NUTS,2016,UK,0,1
5,2016.0,NUTS,2016,UKM,1,1
6,2016.0,NUTS,2016,UKM8,2,1
7,2016.0,NUTS,2016,UKM82,3,1
8,2017.0,NUTS,2016,UK,0,3
9,2017.0,NUTS,2016,UKJ,1,2
10,2017.0,NUTS,2016,UKJ1,2,1
11,2017.0,NUTS,2016,UKJ11,3,1
12,2017.0,NUTS,2016,UKJ3,2,1
13,2017.0,NUTS,2016,UKJ32,3,1
14,2017.0,NUTS,2016,UKM,1,1
15,2017.0,NUTS,2016,UKM7,2,1
16,2017.0,NUTS,2016,UKM75,3,1
17,2018.0,NUTS,2016,CH,0,2
18,2018.0,NUTS,2016,CH0,1,2
19,2018.0,NUTS,2016,CH01,2,1
20,2018.0,NUTS,2016,CH013,3,1
21,2018.0,NUTS,2016,CH02,2,1
22,2018.0,NUTS,2016,CH021,3,1
23,2018.0,NUTS,2016,DE,0,2
24,2018.0,NUTS,2016,DE7,1,2
25,2018.0,NUTS,2016,DE72,2,1
26,2018.0,NUTS,2016,DE721,3,1
27,2018.0,NUTS,2016,DE73,2,1
28,2018.0,NUTS,2016,DE731,3,1
29,2018.0,NUTS,2016,FR,0,2
30,2018.0,NUTS,2016,FR1,1,1
31,2018.0,NUTS,2016,FR10,2,1
32,2018.0,NUTS,2016,FR101,3,1
33,2018.0,NUTS,2016,FRL,1,1
34,2018.0,NUTS,2016,FRL0,2,1
35,2018.0,NUTS,2016,FRL04,3,1
36,2018.0,NUTS,2016,NL,0,4
37,2018.0,NUTS,2016,NL2,1,1
38,2018.0,NUTS,2016,NL22,2,1
39,2018.0,NUTS,2016,NL226,3,1
40,2018.0,NUTS,2016,NL3,1,3
41,2018.0,NUTS,2016,NL31,2,1
42,2018.0,NUTS,2016,NL310,3,1
43,2018.0,NUTS,2016,NL32,2,1
44,2018.0,NUTS,2016,NL329,3,1
45,2018.0,NUTS,2016,NL33,2,1
46,2018.0,NUTS,2016,NL337,3,1
47,2018.0,NUTS,2016,UK,0,2
48,2018.0,NUTS,2016,UKH,1,1
49,2018.0,NUTS,2016,UKH1,2,1
50,2018.0,NUTS,2016,UKH12,3,1
51,2018.0,NUTS,2016,UKK,1,1
52,2018.0,NUTS,2016,UKK1,2,1
53,2018.0,NUTS,2016,UKK11,3,1
54,2019.0,NUTS,2016,CH,0,1
55,2019.0,NUTS,2016,CH0,1,1
56,2019.0,NUTS,2016,CH01,2,1
57,2019.0,NUTS,2016,CH013,3,1
58,2019.0,NUTS,2016,DE,0,5
59,2019.0,NUTS,2016,DE3,1,1
60,2019.0,NUTS,2016,DE30,2,1
61,2019.0,NUTS,2016,DE300,3,1
62,2019.0,NUTS,2016,DE6,1,3
63,2019.0,NUTS,2016,DE60,2,3
64,2019.0,NUTS,2016,DE600,3,3
65,2019.0,NUTS,2016,DEF,1,1
66,2019.0,NUTS,2016,DEF0,2,1
67,2019.0,NUTS,2016,DEF03,3,1
68,2019.0,NUTS,2016,DK,0,1
69,2019.0,NUTS,2016,DK0,1,1
70,2019.0,NUTS,2016,DK01,2,1
71,2019.0,NUTS,2016,DK011,3,1
72,2019.0,NUTS,2016,ES,0,2
73,2019.0,NUTS,2016,ES3,1,2
74,2019.0,NUTS,2016,ES30,2,2
75,2019.0,NUTS,2016,ES300,3,2
76,2019.0,NUTS,2016,FR,0,4
77,2019.0,NUTS,2016,FR1,1,1
78,2019.0,NUTS,2016,FR10,2,1
79,2019.0,NUTS,2016,FR101,3,1
80,2019.0,NUTS,2016,FRD,1,1
81,2019.0,NUTS,2016,FRD2,2,1
82,2019.0,NUTS,2016,FRD22,3,1
83,2019.0,NUTS,2016,FRL,1,2
84,2019.0,NUTS,2016,FRL0,2,2
85,2019.0,NUTS,2016,FRL04,3,2
86,2019.0,NUTS,2016,IT,0,1
87,2019.0,NUTS,2016,ITH,1,1
88,2019.0,NUTS,2016,ITH2,2,1
89,2019.0,NUTS,2016,ITH20,3,1
90,2019.0,NUTS,2016,NL,0,3
91,2019.0,NUTS,2016,NL3,1,2
92,2019.0,NUTS,2016,NL33,2,2
93,2019.0,NUTS,2016,NL337,3,2
94,2019.0,NUTS,2016,NL4,1,1
95,2019.0,NUTS,2016,NL42,2,1
96,2019.0,NUTS,2016,NL423,3,1
97,2019.0,NUTS,2016,NO,0,1
98,2019.0,NUTS,2016,NO0,1,1
99,2019.0,NUTS,2016,NO06,2,1
100,2019.0,NUTS,2016,NO060,3,1
101,2019.0,NUTS,2016,UK,0,9
102,2019.0,NUTS,2016,UKH,1,2
103,2019.0,NUTS,2016,UKH1,2,1
104,2019.0,NUTS,2016,UKH12,3,1
105,2019.0,NUTS,2016,UKH2,2,1
106,2019.0,NUTS,2016,UKH23,3,1
107,2019.0,NUTS,2016,UKI,1,1
108,2019.0,NUTS,2016,UKI3,2,1
109,2019.0,NUTS,2016,UKI33,3,1
110,2019.0,NUTS,2016,UKJ,1,5
111,2019.0,NUTS,2016,UKJ1,2,2
112,2019.0,NUTS,2016,UKJ14,3,2
113,2019.0,NUTS,2016,UKJ2,2,3
114,2019.0,NUTS,2016,UKJ25,3,3
115,2019.0,NUTS,2016,UKK,1,1
116,2019.0,NUTS,2016,UKK4,2,1
117,2019.0,NUTS,2016,UKK43,3,1
118,2020.0,NUTS,2016,AT,0,121
119,2020.0,NUTS,2016,AT1,1,83
120,2020.0,NUTS,2016,AT12,2,9
121,2020.0,NUTS,2016,AT124,3,4
122,2020.0,NUTS,2016,AT126,3,3
123,2020.0,NUTS,2016,AT127,3,2
124,2020.0,NUTS,2016,AT13,2,74
125,2020.0,NUTS,2016,AT130,3,74
126,2020.0,NUTS,2016,AT2,1,16
127,2020.0,NUTS,2016,AT22,2,16
128,2020.0,NUTS,2016,AT221,3,16
129,2020.0,NUTS,2016,AT3,1,22
130,2020.0,NUTS,2016,AT31,2,3
131,2020.0,NUTS,2016,AT312,3,3
132,2020.0,NUTS,2016,AT32,2,4
133,2020.0,NUTS,2016,AT323,3,4
134,2020.0,NUTS,2016,AT33,2,15
135,2020.0,NUTS,2016,AT332,3,15
136,2020.0,NUTS,2016,BE,0,152
137,2020.0,NUTS,2016,BE1,1,29
138,2020.0,NUTS,2016,BE10,2,29
139,2020.0,NUTS,2016,BE100,3,29
140,2020.0,NUTS,2016,BE2,1,98
141,2020.0,NUTS,2016,BE21,2,54
142,2020.0,NUTS,2016,BE211,3,30
143,2020.0,NUTS,2016,BE213,3,24
144,2020.0,NUTS,2016,BE22,2,8
145,2020.0,NUTS,2016,BE221,3,8
146,2020.0,NUTS,2016,BE23,2,24
147,2020.0,NUTS,2016,BE234,3,24
148,2020.0,NUTS,2016,BE24,2,11
149,2020.0,NUTS,2016,BE241,3,3
150,2020.0,NUTS,2016,BE242,3,8
151,2020.0,NUTS,2016,BE25,2,1
152,2020.0,NUTS,2016,BE255,3,1
153,2020.0,NUTS,2016,BE3,1,25
154,2020.0,NUTS,2016,BE31,2,7
155,2020.0,NUTS,2016,BE310,3,7
156,2020.0,NUTS,2016,BE32,2,9
157,2020.0,NUTS,2016,BE323,3,9
158,2020.0,NUTS,2016,BE33,2,7
159,2020.0,NUTS,2016,BE332,3,7
160,2020.0,NUTS,2016,BE35,2,2
161,2020.0,NUTS,2016,BE352,3,2
162,2020.0,NUTS,2016,BG,0,7
163,2020.0,NUTS,2016,BG4,1,7
164,2020.0,NUTS,2016,BG41,2,7
165,2020.0,NUTS,2016,BG411,3,7
166,2020.0,NUTS,2016,CH,0,345
167,2020.0,NUTS,2016,CH0,1,345
168,2020.0,NUTS,2016,CH01,2,125
169,2020.0,NUTS,2016,CH011,3,52
170,2020.0,NUTS,2016,CH013,3,73
171,2020.0,NUTS,2016,CH02,2,56
172,2020.0,NUTS,2016,CH021,3,50
173,2020.0,NUTS,2016,CH022,3,3
174,2020.0,NUTS,2016,CH024,3,2
175,2020.0,NUTS,2016,CH025,3,1
176,2020.0,NUTS,2016,CH03,2,31
177,2020.0,NUTS,2016,CH031,3,27
178,2020.0,NUTS,2016,CH033,3,4
179,2020.0,NUTS,2016,CH04,2,124
180,2020.0,NUTS,2016,CH040,3,124
181,2020.0,NUTS,2016,CH05,2,8
182,2020.0,NUTS,2016,CH055,3,8
183,2020.0,NUTS,2016,CH07,2,1
184,2020.0,NUTS,2016,CH070,3,1
185,2020.0,NUTS,2016,CY,0,20
186,2020.0,NUTS,2016,CY0,1,20
187,2020.0,NUTS,2016,CY00,2,20
188,2020.0,NUTS,2016,CY000,3,20
189,2020.0,NUTS,2016,CZ,0,35
190,2020.0,NUTS,2016,CZ0,1,35
191,2020.0,NUTS,2016,CZ01,2,18
192,2020.0,NUTS,2016,CZ010,3,18
193,2020.0,NUTS,2016,CZ04,2,1
194,2020.0,NUTS,2016,CZ042,3,1
195,2020.0,NUTS,2016,CZ06,2,14
196,2020.0,NUTS,2016,CZ064,3,14
197,2020.0,NUTS,2016,CZ08,2,2
198,2020.0,NUTS,2016,CZ080,3,2
199,2020.0,NUTS,2016,DE,0,854
200,2020.0,NUTS,2016,DE1,1,125
201,2020.0,NUTS,2016,DE11,2,3
202,2020.0,NUTS,2016,DE111,3,3
203,2020.0,NUTS,2016,DE12,2,64
204,2020.0,NUTS,2016,DE122,3,7
205,2020.0,NUTS,2016,DE125,3,53
206,2020.0,NUTS,2016,DE126,3,4
207,2020.0,NUTS,2016,DE13,2,24
208,2020.0,NUTS,2016,DE131,3,21
209,2020.0,NUTS,2016,DE134,3,1
210,2020.0,NUTS,2016,DE138,3,2
211,2020.0,NUTS,2016,DE14,2,34
212,2020.0,NUTS,2016,DE142,3,17
213,2020.0,NUTS,2016,DE144,3,17
214,2020.0,NUTS,2016,DE2,1,157
215,2020.0,NUTS,2016,DE21,2,127
216,2020.0,NUTS,2016,DE212,3,125
217,2020.0,NUTS,2016,DE21B,3,1
218,2020.0,NUTS,2016,DE21H,3,1
219,2020.0,NUTS,2016,DE23,2,6
220,2020.0,NUTS,2016,DE232,3,6
221,2020.0,NUTS,2016,DE24,2,2
222,2020.0,NUTS,2016,DE242,3,2
223,2020.0,NUTS,2016,DE25,2,12
224,2020.0,NUTS,2016,DE252,3,12
225,2020.0,NUTS,2016,DE26,2,5
226,2020.0,NUTS,2016,DE263,3,5
227,2020.0,NUTS,2016,DE27,2,5
228,2020.0,NUTS,2016,DE271,3,5
229,2020.0,NUTS,2016,DE3,1,139
230,2020.0,NUTS,2016,DE30,2,139
231,2020.0,NUTS,2016,DE300,3,139
232,2020.0,NUTS,2016,DE4,1,10
233,2020.0,NUTS,2016,DE40,2,10
234,2020.0,NUTS,2016,DE402,3,1
235,2020.0,NUTS,2016,DE404,3,9
236,2020.0,NUTS,2016,DE5,1,5
237,2020.0,NUTS,2016,DE50,2,5
238,2020.0,NUTS,2016,DE501,3,5
239,2020.0,NUTS,2016,DE6,1,42
240,2020.0,NUTS,2016,DE60,2,42
241,2020.0,NUTS,2016,DE600,3,42
242,2020.0,NUTS,2016,DE7,1,75
243,2020.0,NUTS,2016,DE71,2,49
244,2020.0,NUTS,2016,DE711,3,1
245,2020.0,NUTS,2016,DE712,3,42
246,2020.0,NUTS,2016,DE71C,3,6
247,2020.0,NUTS,2016,DE72,2,17
248,2020.0,NUTS,2016,DE721,3,11
249,2020.0,NUTS,2016,DE724,3,6
250,2020.0,NUTS,2016,DE73,2,9
251,2020.0,NUTS,2016,DE731,3,9
252,2020.0,NUTS,2016,DE8,1,9
253,2020.0,NUTS,2016,DE80,2,9
254,2020.0,NUTS,2016,DE803,3,6
255,2020.0,NUTS,2016,DE80N,3,3
256,2020.0,NUTS,2016,DE9,1,40
257,2020.0,NUTS,2016,DE91,2,19
258,2020.0,NUTS,2016,DE911,3,4
259,2020.0,NUTS,2016,DE91C,3,15
260,2020.0,NUTS,2016,DE92,2,19
261,2020.0,NUTS,2016,DE929,3,19
262,2020.0,NUTS,2016,DE94,2,2
263,2020.0,NUTS,2016,DE943,3,2
264,2020.0,NUTS,2016,DEA,1,147
265,2020.0,NUTS,2016,DEA1,2,24
266,2020.0,NUTS,2016,DEA13,3,23
267,2020.0,NUTS,2016,DEA1A,3,1
