year,region_type,region_year_spec,region_id,region_level,artificial_intelligence_count
0,2010.0,NUTS,2010,AT,0,5
1,2010.0,NUTS,2010,AT1,1,3
2,2010.0,NUTS,2010,AT12,2,1
3,2010.0,NUTS,2010,AT127,3,1
4,2010.0,NUTS,2010,AT13,2,2
5,2010.0,NUTS,2010,AT130,3,2
6,2010.0,NUTS,2010,AT2,1,1
7,2010.0,NUTS,2010,AT22,2,1
8,2010.0,NUTS,2010,AT221,3,1
9,2010.0,NUTS,2010,AT3,1,1
10,2010.0,NUTS,2010,AT31,2,1
11,2010.0,NUTS,2010,AT312,3,1
12,2010.0,NUTS,2010,BE,0,5
13,2010.0,NUTS,2010,BE1,1,2
14,2010.0,NUTS,2010,BE10,2,2
15,2010.0,NUTS,2010,BE100,3,2
16,2010.0,NUTS,2010,BE2,1,2
17,2010.0,NUTS,2010,BE23,2,2
18,2010.0,NUTS,2010,BE234,3,2
19,2010.0,NUTS,2010,BE3,1,1
20,2010.0,NUTS,2010,BE33,2,1
21,2010.0,NUTS,2010,BE332,3,1
22,2010.0,NUTS,2010,BG,0,1
23,2010.0,NUTS,2010,BG4,1,1
24,2010.0,NUTS,2010,BG41,2,1
25,2010.0,NUTS,2010,BG411,3,1
26,2010.0,NUTS,2010,CH,0,15
27,2010.0,NUTS,2010,CH0,1,15
28,2010.0,NUTS,2010,CH01,2,5
29,2010.0,NUTS,2010,CH011,3,5
30,2010.0,NUTS,2010,CH02,2,3
31,2010.0,NUTS,2010,CH021,3,1
32,2010.0,NUTS,2010,CH022,3,1
33,2010.0,NUTS,2010,CH024,3,1
34,2010.0,NUTS,2010,CH04,2,4
35,2010.0,NUTS,2010,CH040,3,4
36,2010.0,NUTS,2010,CH07,2,3
37,2010.0,NUTS,2010,CH070,3,3
38,2010.0,NUTS,2010,DE,0,57
39,2010.0,NUTS,2010,DE1,1,5
40,2010.0,NUTS,2010,DE11,2,1
41,2010.0,NUTS,2010,DE111,3,1
42,2010.0,NUTS,2010,DE12,2,1
43,2010.0,NUTS,2010,DE125,3,1
44,2010.0,NUTS,2010,DE14,2,3
