,year,nuts_id,nuts_year_spec,impact_studies_count
0,2018.0,FR,2016,1
1,2019.0,ES,2016,1
2,2019.0,NL,2016,1
3,2020.0,AT,2016,2
4,2020.0,BE,2016,5
5,2020.0,BG,2016,1
6,2020.0,CH,2016,14
7,2020.0,CZ,2016,4
8,2020.0,DE,2016,44
9,2020.0,DK,2016,9
10,2020.0,EE,2016,3
11,2020.0,ES,2016,8
12,2020.0,FI,2016,4
13,2020.0,FR,2016,16
14,2020.0,HU,2016,2
15,2020.0,IE,2016,2
16,2020.0,IT,2016,19
17,2020.0,NL,2016,17
18,2020.0,NO,2016,3
19,2020.0,PL,2016,7
20,2020.0,SE,2016,2
21,2020.0,SI,2016,1
22,2020.0,SK,2016,1
23,2020.0,TR,2016,3
24,2020.0,UK,2016,83
25,2021.0,BE,2016,4
26,2021.0,CH,2016,1
27,2021.0,DE,2016,5
28,2021.0,DK,2016,1
29,2021.0,EE,2016,1
30,2021.0,EL,2016,3
31,2021.0,FR,2016,4
32,2021.0,IE,2016,1
33,2021.0,IT,2016,2
34,2021.0,LU,2016,1
35,2021.0,NL,2016,6
36,2021.0,NO,2016,2
37,2021.0,PL,2016,1
38,2021.0,PT,2016,1
39,2021.0,SE,2016,4
40,2021.0,UK,2016,18
