year,nuts_id,nuts_year_spec,rd_government_eur_hab
2015,AT1,2016,
2017,AT1,2016,
2015,AT2,2016,38.2
2017,AT2,2016,
2015,AT3,2016,
2017,AT3,2016,
2014,BE1,2016,117.0
2015,BE1,2016,129.1
2016,BE1,2016,129.8
2017,BE1,2016,133.1
2014,BE2,2016,104.9
2015,BE2,2016,112.2
2016,BE2,2016,131.6
2017,BE2,2016,140.7
2014,BE3,2016,13.5
2015,BE3,2016,14.6
2016,BE3,2016,9.8
2017,BE3,2016,10.0
2014,BG3,2016,2.7
2015,BG3,2016,2.9
2016,BG3,2016,3.3
2017,BG3,2016,3.4
2018,BG3,2016,3.6
2014,BG4,2016,20.6
2015,BG4,2016,22.2
2016,BG4,2016,19.0
2017,BG4,2016,22.1
2018,BG4,2016,22.9
2014,CH0,2016,19.3
2015,CH0,2016,22.0
2017,CH0,2016,19.7
2014,CY0,2016,14.4
2015,CY0,2016,13.1
2016,CY0,2016,12.3
2017,CY0,2016,12.9
2018,CY0,2016,12.9
2014,CZ0,2016,53.5
2015,CZ0,2016,62.9
2016,CZ0,2016,51.0
2017,CZ0,2016,56.0
2018,CZ0,2016,61.7
2014,DE1,2016,180.9
2015,DE1,2016,176.7
2016,DE1,2016,174.9
2017,DE1,2016,184.4
2018,DE1,2016,185.7
2014,DE2,2016,126.0
2015,DE2,2016,135.1
2016,DE2,2016,139.3
2017,DE2,2016,146.1
2018,DE2,2016,154.5
2014,DE3,2016,406.8
2015,DE3,2016,426.8
2016,DE3,2016,417.2
2017,DE3,2016,464.6
2018,DE3,2016,513.4
2014,DE4,2016,201.1
2015,DE4,2016,188.8
2016,DE4,2016,205.8
2017,DE4,2016,210.0
2018,DE4,2016,204.5
2014,DE5,2016,494.4
2015,DE5,2016,514.3
2016,DE5,2016,496.9
2017,DE5,2016,536.3
2018,DE5,2016,546.1
2014,DE6,2016,294.0
2015,DE6,2016,282.9
2016,DE6,2016,278.8
2017,DE6,2016,244.3
2018,DE6,2016,245.4
2014,DE7,2016,108.1
2015,DE7,2016,103.5
2016,DE7,2016,116.3
2017,DE7,2016,126.1
2018,DE7,2016,136.2
2014,DE8,2016,175.4
2015,DE8,2016,157.2
2016,DE8,2016,163.4
2017,DE8,2016,173.0
2018,DE8,2016,177.2
2014,DE9,2016,127.2
2015,DE9,2016,126.7
2016,DE9,2016,125.0
2017,DE9,2016,133.0
2018,DE9,2016,133.1
2014,DEA,2016,118.3
2015,DEA,2016,116.7
2016,DEA,2016,112.8
2017,DEA,2016,116.7
2018,DEA,2016,126.0
2014,DEB,2016,46.2
2015,DEB,2016,52.1
2016,DEB,2016,58.0
2017,DEB,2016,64.5
2018,DEB,2016,67.2
2014,DEC,2016,138.2
2015,DEC,2016,132.0
2016,DEC,2016,117.8
2017,DEC,2016,127.5
2018,DEC,2016,130.7
2014,DED,2016,193.0
2015,DED,2016,218.0
2016,DED,2016,224.0
2017,DED,2016,235.5
2018,DED,2016,246.2
2014,DEE,2016,121.6
