year,nuts_id,nuts_year_spec,r&d_private_eur_hab
2015,AT11,2016,237.9
2017,AT11,2016,221.9
2015,AT12,2016,458.8
2017,AT12,2016,473.9
2015,AT13,2016,907.2
2017,AT13,2016,860.4
2015,AT21,2016,959.2
2017,AT21,2016,934.5
2015,AT22,2016,1385.0
2017,AT22,2016,1384.8
2015,AT31,2016,1169.6
2017,AT31,2016,1362.6
2015,AT32,2016,459.2
2017,AT32,2016,542.0
2015,AT33,2016,841.8
2017,AT33,2016,807.7
2015,AT34,2016,739.2
2017,AT34,2016,753.9
2014,BE10,2016,574.0
2015,BE10,2016,629.8
2016,BE10,2016,723.4
2017,BE10,2016,840.3
2014,BE21,2016,
2015,BE21,2016,
2016,BE21,2016,
2017,BE21,2016,
2014,BE22,2016,
2015,BE22,2016,
2016,BE22,2016,
2017,BE22,2016,
2014,BE23,2016,
2015,BE23,2016,
2016,BE23,2016,
2017,BE23,2016,
2014,BE24,2016,
2015,BE24,2016,
2016,BE24,2016,
2017,BE24,2016,
2014,BE25,2016,
2015,BE25,2016,
2016,BE25,2016,
2017,BE25,2016,
2014,BE31,2016,
2015,BE31,2016,
2016,BE31,2016,
2017,BE31,2016,
2014,BE32,2016,
2015,BE32,2016,
2016,BE32,2016,
2017,BE32,2016,
2014,BE33,2016,
2015,BE33,2016,
2016,BE33,2016,
2017,BE33,2016,
2014,BE34,2016,
2015,BE34,2016,
2016,BE34,2016,
2017,BE34,2016,
2014,BE35,2016,
2015,BE35,2016,
2016,BE35,2016,
2017,BE35,2016,
2014,BG31,2016,4.3
2015,BG31,2016,17.6
2016,BG31,2016,15.8
2017,BG31,2016,16.5
2018,BG31,2016,20.5
2014,BG32,2016,5.1
2015,BG32,2016,21.9
2016,BG32,2016,18.0
2017,BG32,2016,17.7
2018,BG32,2016,15.6
2014,BG33,2016,6.9
2015,BG33,2016,11.0
2016,BG33,2016,18.2
2017,BG33,2016,18.6
2018,BG33,2016,16.9
2014,BG34,2016,9.9
2015,BG34,2016,14.1
2016,BG34,2016,12.9
2017,BG34,2016,15.3
2018,BG34,2016,16.5
2014,BG41,2016,88.3
2015,BG41,2016,111.1
2016,BG41,2016,89.4
2017,BG41,2016,87.2
2018,BG41,2016,102.9
2014,BG42,2016,7.4
2015,BG42,2016,17.6
2016,BG42,2016,19.2
2017,BG42,2016,19.7
2018,BG42,2016,18.9
2015,CH01,2016,1168.4
2015,CH02,2016,969.5
2015,CH03,2016,6162.8
2015,CH04,2016,1105.8
2015,CH05,2016,893.7
2015,CH06,2016,1867.9
2015,CH07,2016,258.3
2014,CY00,2016,23.3
2015,CY00,2016,23.0
2016,CY00,2016,43.1
2017,CY00,2016,47.9
2018,CY00,2016,62.4
2014,CZ01,2016,303.4
2015,CZ01,2016,325.3
2016,CZ01,2016,334.1
2017,CZ01,2016,448.2
2018,CZ01,2016,525.2
2014,CZ02,2016,231.5
2015,CZ02,2016,235.9
2016,CZ02,2016,241.4
2017,CZ02,2016,319.0
2018,CZ02,2016,372.3
2014,CZ03,2016,129.8
2015,CZ03,2016,136.9
2016,CZ03,2016,133.3
2017,CZ03,2016,137.2
2018,CZ03,2016,170.4
2014,CZ04,2016,34.0
2015,CZ04,2016,37.0
2016,CZ04,2016,28.5
2017,CZ04,2016,30.4
2018,CZ04,2016,35.6
2014,CZ05,2016,139.9
2015,CZ05,2016,135.2
2016,CZ05,2016,139.1
2017,CZ05,2016,157.4
2018,CZ05,2016,180.9
2014,CZ06,2016,224.9
2015,CZ06,2016,226.4
2016,CZ06,2016,227.4
2017,CZ06,2016,230.7
2018,CZ06,2016,244.5
2014,CZ07,2016,105.6
2015,CZ07,2016,107.5
2016,CZ07,2016,114.8
2017,CZ07,2016,156.2
2018,CZ07,2016,177.5
2014,CZ08,2016,93.6
2015,CZ08,2016,99.8
2016,CZ08,2016,116.7
2017,CZ08,2016,114.8
2018,CZ08,2016,122.3
2015,DE11,2016,2815.9
2017,DE11,2016,3645.1
2015,DE12,2016,1215.2
2017,DE12,2016,1419.7
2015,DE13,2016,603.1
2017,DE13,2016,654.5
2015,DE14,2016,1445.5
2017,DE14,2016,1624.3
2015,DE21,2016,1787.7
2017,DE21,2016,1710.6
2015,DE22,2016,416.2
2017,DE22,2016,461.0
2015,DE23,2016,603.5
2017,DE23,2016,817.9
2015,DE24,2016,472.7
2017,DE24,2016,569.5
2015,DE25,2016,1142.5
2017,DE25,2016,1152.4
2015,DE26,2016,549.9
2017,DE26,2016,874.7
2015,DE27,2016,523.9
2017,DE27,2016,551.7
2015,DE30,2016,524.1
2017,DE30,2016,533.7
2015,DE40,2016,161.7
2017,DE40,2016,162.3
2015,DE50,2016,480.1
2017,DE50,2016,428.3
2015,DE60,2016,774.2
2017,DE60,2016,794.5
2015,DE71,2016,1216.0
2017,DE71,2016,1297.9
2015,DE72,2016,438.6
2017,DE72,2016,483.5
2015,DE73,2016,410.3
2017,DE73,2016,445.8
2015,DE80,2016,150.1
2017,DE80,2016,156.9
2015,DE91,2016,2907.6
2017,DE91,2016,2775.6
2015,DE92,2016,511.5
2017,DE92,2016,494.2
2015,DE93,2016,206.1
2017,DE93,2016,201.9
2015,DE94,2016,197.5
2017,DE94,2016,199.0
2015,DEA1,2016,518.1
2017,DEA1,2016,603.2
2015,DEA2,2016,459.8
2017,DEA2,2016,541.1
2015,DEA3,2016,188.6
2017,DEA3,2016,204.9
2015,DEA4,2016,516.8
2017,DEA4,2016,545.6
2015,DEA5,2016,327.3
2017,DEA5,2016,346.4
2015,DEB1,2016,163.3
2017,DEB1,2016,178.2
2015,DEB2,2016,160.2
2017,DEB2,2016,146.8
2015,DEB3,2016,1042.6
2017,DEB3,2016,1081.7
2015,DEC0,2016,225.0
2017,DEC0,2016,305.4
2015,DED2,2016,545.5
2017,DED2,2016,591.2
2015,DED4,2016,251.8
2017,DED4,2016,280.0
2015,DED5,2016,109.1
2017,DED5,2016,121.0
2015,DEE0,2016,94.7
2017,DEE0,2016,112.9
2015,DEF0,2016,237.1
2017,DEF0,2016,268.6
2015,DEG0,2016,263.9
2017,DEG0,2016,315.9
2014,DK01,2016,1917.7
2015,DK01,2016,2048.8
2016,DK01,2016,2184.2
2017,DK01,2016,2143.8
2014,DK02,2016,159.0
2015,DK02,2016,158.8
2016,DK02,2016,174.2
2017,DK02,2016,260.9
2014,DK03,2016,475.2
2015,DK03,2016,532.6
2016,DK03,2016,510.0
2017,DK03,2016,504.3
2014,DK04,2016,609.8
2015,DK04,2016,619.7
2016,DK04,2016,665.1
2017,DK04,2016,703.9
2014,DK05,2016,177.5
2015,DK05,2016,178.6
2016,DK05,2016,285.4
2017,DK05,2016,242.4
2014,EA19,2016,415.6
2015,EA19,2016,431.5
2016,EA19,2016,445.6
2017,EA19,2016,476.3
2018,EA19,2016,497.8
2014,EE00,2016,94.9
2015,EE00,2016,106.1
2016,EE00,2016,105.8
2017,EE00,2016,109.2
2018,EE00,2016,117.4
2015,EL30,2016,118.5
2017,EL30,2016,200.3
2018,EL30,2016,213.2
2015,EL41,2016,5.3
2017,EL41,2016,4.3
2018,EL41,2016,5.1
2015,EL42,2016,0.1
2017,EL42,2016,0.2
2018,EL42,2016,1.4
2015,EL43,2016,14.6
2017,EL43,2016,20.4
2018,EL43,2016,22.0
2015,EL51,2016,9.4
2017,EL51,2016,24.0
2018,EL51,2016,22.7
2015,EL52,2016,20.1
2017,EL52,2016,63.9
2018,EL52,2016,57.4
2015,EL53,2016,7.7
2017,EL53,2016,7.6
2018,EL53,2016,17.9
