year,nuts_id,nuts_year_spec,r&d_private_eur_hab
2014,NL3,2016,
2015,NL3,2016,
2016,NL3,2016,
2017,NL3,2016,
2018,NL3,2016,
2014,NL4,2016,
2015,NL4,2016,
2016,NL4,2016,
2017,NL4,2016,
2018,NL4,2016,
2014,NO0,2016,678.1
2015,NO0,2016,701.7
2016,NO0,2016,697.0
2017,NO0,2016,742.0
2018,NO0,2016,737.7
2014,PL1,2016,101.7
2015,PL1,2016,100.4
2014,PL2,2016,43.5
2015,PL2,2016,51.3
2016,PL2,2016,95.0
2017,PL2,2016,86.3
2018,PL2,2016,111.5
2014,PL3,2016,33.0
2015,PL3,2016,38.2
2014,PL4,2016,17.1
2015,PL4,2016,24.1
2016,PL4,2016,26.8
2017,PL4,2016,35.7
2018,PL4,2016,43.5
2014,PL5,2016,41.5
2015,PL5,2016,49.8
2016,PL5,2016,47.0
2017,PL5,2016,66.2
2018,PL5,2016,86.3
2014,PL6,2016,31.7
2015,PL6,2016,40.4
2016,PL6,2016,45.5
2017,PL6,2016,53.2
2018,PL6,2016,75.8
2016,PL7,2016,25.2
2017,PL7,2016,34.8
2018,PL7,2016,51.4
2016,PL8,2016,34.2
2017,PL8,2016,41.2
2018,PL8,2016,51.8
2016,PL9,2016,201.2
2017,PL9,2016,245.7
2018,PL9,2016,298.9
2014,PT1,2016,104.0
2015,PT1,2016,104.5
2016,PT1,2016,117.1
2017,PT1,2016,132.2
2018,PT1,2016,144.7
2014,PT2,2016,3.0
2015,PT2,2016,5.4
2016,PT2,2016,3.6
2017,PT2,2016,6.7
2018,PT2,2016,7.7
2014,PT3,2016,14.5
2015,PT3,2016,14.5
2016,PT3,2016,12.0
2017,PT3,2016,17.9
2018,PT3,2016,24.0
2014,RO1,2016,11.4
2015,RO1,2016,13.5
2016,RO1,2016,13.8
2017,RO1,2016,13.6
2018,RO1,2016,16.4
2014,RO2,2016,1.8
2015,RO2,2016,1.8
2016,RO2,2016,1.5
2017,RO2,2016,1.4
2018,RO2,2016,1.4
2014,RO3,2016,30.5
2015,RO3,2016,42.0
2016,RO3,2016,59.8
2017,RO3,2016,77.7
2018,RO3,2016,84.1
2014,RO4,2016,2.0
2015,RO4,2016,11.2
2016,RO4,2016,15.0
2017,RO4,2016,13.3
2018,RO4,2016,20.7
2018,RS1,2016,42.2
2018,RS2,2016,1.1
2015,SE1,2016,1453.3
2017,SE1,2016,1405.5
2015,SE2,2016,980.2
2017,SE2,2016,1263.7
2015,SE3,2016,313.9
2017,SE3,2016,300.7
2014,SI0,2016,334.1
2015,SI0,2016,315.4
2016,SI0,2016,297.8
2017,SI0,2016,290.4
2018,SI0,2016,320.5
2014,SK0,2016,45.5
2015,SK0,2016,47.8
2016,SK0,2016,59.5
2017,SK0,2016,74.6
2018,SK0,2016,74.6
2014,UKC,2016,134.4
2015,UKC,2016,160.8
2016,UKC,2016,139.9
2017,UKC,2016,165.9
2018,UKC,2016,189.2
2014,UKD,2016,313.4
2015,UKD,2016,407.0
2016,UKD,2016,397.6
2017,UKD,2016,342.4
2018,UKD,2016,315.6
2014,UKE,2016,157.4
2015,UKE,2016,199.7
2016,UKE,2016,169.2
2017,UKE,2016,196.7
2018,UKE,2016,190.6
2014,UKF,2016,396.0
2015,UKF,2016,448.2
2016,UKF,2016,429.6
2017,UKF,2016,365.3
2018,UKF,2016,418.3
2014,UKG,2016,428.6
2015,UKG,2016,520.5
2016,UKG,2016,485.9
2017,UKG,2016,482.3
2018,UKG,2016,528.1
2014,UKH,2016,877.1
2015,UKH,2016,952.1
2016,UKH,2016,878.4
2017,UKH,2016,867.6
2018,UKH,2016,937.6
2014,UKI,2016,267.2
2015,UKI,2016,306.3
2016,UKI,2016,321.3
2017,UKI,2016,362.5
2018,UKI,2016,369.1
2014,UKJ,2016,618.7
2015,UKJ,2016,728.0
2016,UKJ,2016,636.9
2017,UKJ,2016,612.2
2018,UKJ,2016,623.4
2014,UKK,2016,371.3
2015,UKK,2016,372.3
2016,UKK,2016,333.2
2017,UKK,2016,340.4
2018,UKK,2016,355.0
2014,UKL,2016,159.4
2015,UKL,2016,161.0
2016,UKL,2016,170.8
2017,UKL,2016,167.2
2018,UKL,2016,155.6
2014,UKM,2016,210.4
2015,UKM,2016,223.9
2016,UKM,2016,242.8
2017,UKM,2016,262.8
2018,UKM,2016,281.9
2014,UKN,2016,238.0
2015,UKN,2016,374.3
2016,UKN,2016,315.9
2017,UKN,2016,312.6
2018,UKN,2016,315.8
