year,nuts_id,nuts_year_spec,rd_private_eur_hab
2014,AT,2016,860.9
2015,AT,2016,873.4
2016,AT,2016,899.3
2017,AT,2016,899.2
2018,AT,2016,959.1
2014,BE,2016,597.1
2015,BE,2016,629.7
2016,BE,2016,658.2
2017,BE,2016,734.1
2018,BE,2016,753.5
2014,BG,2016,30.8
2015,BG,2016,44.3
2016,BG,2016,38.4
2017,BG,2016,38.5
2018,BG,2016,43.2
2015,CH,2016,1780.2
2017,CH,2016,1671.9
2014,CY,2016,23.3
2015,CY,2016,23.0
2016,CY,2016,43.1
2017,CY,2016,47.9
2018,CY,2016,62.4
2014,CZ,2016,164.5
2015,CZ,2016,167.5
2016,CZ,2016,171.7
2017,CZ,2016,204.0
2018,CZ,2016,233.9
2014,DE,2016,705.7
2015,DE,2016,750.7
2016,DE,2016,764.5
2017,DE,2016,833.6
2018,DE,2016,870.9
2014,DK,2016,877.6
2015,DK,2016,935.4
2016,DK,2016,998.3
2017,DK,2016,953.1
2018,DK,2016,979.1
2014,EE,2016,94.9
2015,EE,2016,106.1
2016,EE,2016,105.8
2017,EE,2016,109.2
2018,EE,2016,117.4
2014,EL,2016,46.2
2015,EL,2016,51.7
2016,EL,2016,68.7
2017,EL,2016,92.3
2018,EL,2016,97.7
2014,ES,2016,145.9
2015,ES,2016,149.0
2016,ES,2016,153.4
2017,ES,2016,166.1
2018,ES,2016,181.0
2014,FI,2016,808.9
2015,FI,2016,739.7
2016,FI,2016,711.0
2017,FI,2016,732.0
2018,FI,2016,766.7
2014,FR,2016,470.5
2015,FR,2016,477.8
2016,FR,2016,485.1
2017,FR,2016,494.4
2018,FR,2016,506.5
2014,HR,2016,38.6
2015,HR,2016,45.4
2016,HR,2016,44.3
2017,HR,2016,49.3
2018,HR,2016,58.7
2014,HU,2016,103.5
2015,HU,2016,112.6
2016,HU,2016,103.4
2017,HU,2016,124.8
2018,HU,2016,158.6
2014,IE,2016,454.3
2015,IE,2016,477.4
2016,IE,2016,485.1
2017,IE,2016,579.0
2018,IE,2016,575.1
2014,IS,2016,489.1
2015,IS,2016,690.9
2016,IS,2016,768.7
2017,IS,2016,868.4
2018,IS,2016,821.4
2014,IT,2016,203.1
2015,IT,2016,212.0
2016,IT,2016,232.2
2017,IT,2016,244.9
2018,IT,2016,263.4
2014,JP,2016,760.9
2015,JP,2016,801.6
2016,JP,2016,872.9
2017,JP,2016,859.5
2018,JP,2016,863.1
2014,KR,2016,702.7
2015,KR,2016,797.7
2016,KR,2016,820.3
2017,KR,2016,954.1
2018,KR,2016,1026.7
2014,LT,2016,39.5
2015,LT,2016,36.5
2016,LT,2016,39.7
2017,LT,2016,49.0
2018,LT,2016,63.5
2014,LU,2016,603.8
2015,LU,2016,635.0
2016,LU,2016,685.5
2017,LU,2016,680.6
2018,LU,2016,623.1
2014,LV,2016,28.9
2015,LV,2016,18.9
2016,LV,2016,13.7
2017,LV,2016,19.2
2018,LV,2016,23.9
2014,ME,2016,7.8
2015,ME,2016,6.7
2016,ME,2016,3.4
2017,ME,2016,4.5
2018,ME,2016,14.5
2015,MK,2016,3.4
2016,MK,2016,4.8
2017,MK,2016,4.5
2018,MK,2016,5.8
2014,MT,2016,77.9
2015,MT,2016,83.5
2016,MT,2016,80.7
2017,MT,2016,93.6
2018,MT,2016,98.8
2014,NL,2016,561.2
2015,NL,2016,563.0
2016,NL,2016,589.4
2017,NL,2016,624.5
2018,NL,2016,640.1
2014,NO,2016,678.1
2015,NO,2016,701.7
2016,NO,2016,697.0
2017,NO,2016,742.0
2018,NO,2016,737.7
2014,PL,2016,47.3
2015,PL,2016,52.9
2016,PL,2016,71.1
2017,PL,2016,82.1
2018,PL,2016,104.7
2014,PT,2016,99.4
2015,PT,2016,99.9
2016,PT,2016,111.8
2017,PT,2016,126.4
2018,PT,2016,138.4
2014,RO,2016,12.0
2015,RO,2016,17.3
2016,RO,2016,22.9
2017,RO,2016,27.3
2018,RO,2016,31.1
2014,RS,2016,10.6
2015,RS,2016,12.9
2016,RS,2016,16.3
2017,RS,2016,17.8
2018,RS,2016,22.0
2014,RU,2016,69.0
2014,SE,2016,946.2
2015,SE,2016,1048.3
2016,SE,2016,1069.5
2017,SE,2016,1151.9
2018,SE,2016,1095.9
2014,SI,2016,334.1
2015,SI,2016,315.4
2016,SI,2016,297.8
2017,SI,2016,290.4
2018,SI,2016,320.5
2014,SK,2016,45.5
2015,SK,2016,47.8
2016,SK,2016,59.5
2017,SK,2016,74.6
2018,SK,2016,74.6
2014,TR,2016,39.3
2015,TR,2016,43.9
2016,TR,2016,50.7
2017,TR,2016,51.6
2018,TR,2016,50.5
2014,UK,2016,384.3
2015,UK,2016,443.7
2016,UK,2016,414.8
2017,UK,2016,410.3
2018,UK,2016,427.2
2014,US,2016,804.9
2015,US,2016,999.3
2016,US,2016,1047.4
2017,US,2016,1089.0
2018,US,2016,1093.1
