,year,region_type,region_year_spec,region_id,region_level,policy_fund_amount
114,2014,NUTS,2013,LV0,1,248900.0
115,2014,NUTS,2013,LV00,2,248900.0
116,2014,NUTS,2013,LV006,3,248900.0
117,2014,NUTS,2013,NL,0,1522839.33
118,2014,NUTS,2013,NL1,1,121218.75
119,2014,NUTS,2013,NL11,2,121218.75
120,2014,NUTS,2013,NL113,3,121218.75
121,2014,NUTS,2013,NL2,1,14981.25
122,2014,NUTS,2013,NL22,2,14981.25
123,2014,NUTS,2013,NL226,3,14981.25
124,2014,NUTS,2013,NL3,1,1359639.33
125,2014,NUTS,2013,NL31,2,99000.0
126,2014,NUTS,2013,NL310,3,99000.0
127,2014,NUTS,2013,NL32,2,129423.75
128,2014,NUTS,2013,NL326,3,129423.75
129,2014,NUTS,2013,NL33,2,1131215.58
130,2014,NUTS,2013,NL332,3,1131215.58
131,2014,NUTS,2013,NL4,1,27000.0
132,2014,NUTS,2013,NL41,2,27000.0
133,2014,NUTS,2013,NL413,3,27000.0
134,2014,NUTS,2013,PL,0,596937.5
135,2014,NUTS,2013,PL1,1,596937.5
136,2014,NUTS,2013,PL12,2,596937.5
137,2014,NUTS,2013,PL127,3,596937.5
138,2014,NUTS,2013,PT,0,899725.38
139,2014,NUTS,2013,PT1,1,899725.38
140,2014,NUTS,2013,PT17,2,899725.38
141,2014,NUTS,2013,PT170,3,899725.38
142,2014,NUTS,2013,RO,0,44625.0
143,2014,NUTS,2013,RO3,1,44625.0
144,2014,NUTS,2013,RO32,2,44625.0
145,2014,NUTS,2013,RO321,3,44625.0
146,2014,NUTS,2013,SE,0,795273.57
147,2014,NUTS,2013,SE1,1,795273.57
148,2014,NUTS,2013,SE11,2,340728.96
149,2014,NUTS,2013,SE110,3,340728.96
150,2014,NUTS,2013,SE12,2,454544.61
151,2014,NUTS,2013,SE122,3,454544.61
152,2014,NUTS,2013,SI,0,71765.0
153,2014,NUTS,2013,SI0,1,71765.0
154,2014,NUTS,2013,SI04,2,71765.0
155,2014,NUTS,2013,SI041,3,71765.0
156,2014,NUTS,2013,UK,0,293850.75
157,2014,NUTS,2013,UKE,1,84305.0
158,2014,NUTS,2013,UKE4,2,84305.0
159,2014,NUTS,2013,UKE42,3,84305.0
160,2014,NUTS,2013,UKJ,1,36250.0
161,2014,NUTS,2013,UKJ2,2,36250.0
162,2014,NUTS,2013,UKJ25,3,36250.0
163,2014,NUTS,2013,UKK,1,42168.75
164,2014,NUTS,2013,UKK1,2,42168.75
165,2014,NUTS,2013,UKK11,3,42168.75
166,2014,NUTS,2013,UKM,1,41127.0
167,2014,NUTS,2013,UKM3,2,41127.0
168,2014,NUTS,2013,UKM34,3,41127.0
169,2014,NUTS,2013,UKN,1,90000.0
170,2014,NUTS,2013,UKN0,2,90000.0
171,2014,NUTS,2013,UKN04,3,90000.0
172,2015,NUTS,2013,AT,0,16614725.31
173,2015,NUTS,2013,AT1,1,12314857.81
174,2015,NUTS,2013,AT12,2,2580002.0
175,2015,NUTS,2013,AT127,3,2580002.0
176,2015,NUTS,2013,AT13,2,9734855.81
177,2015,NUTS,2013,AT130,3,9734855.81
178,2015,NUTS,2013,AT2,1,2273458.5
179,2015,NUTS,2013,AT22,2,2273458.5
180,2015,NUTS,2013,AT221,3,2273458.5
181,2015,NUTS,2013,AT3,1,2026409.0
182,2015,NUTS,2013,AT31,2,826561.5
183,2015,NUTS,2013,AT312,3,826561.5
184,2015,NUTS,2013,AT32,2,1199847.5
185,2015,NUTS,2013,AT323,3,1199847.5
186,2015,NUTS,2013,BE,0,18221490.12
187,2015,NUTS,2013,BE1,1,13988494.61
188,2015,NUTS,2013,BE10,2,13988494.61
189,2015,NUTS,2013,BE100,3,13988494.61
190,2015,NUTS,2013,BE2,1,4031620.51
191,2015,NUTS,2013,BE21,2,866525.0
192,2015,NUTS,2013,BE211,3,136375.0
193,2015,NUTS,2013,BE212,3,127500.0
194,2015,NUTS,2013,BE213,3,602650.0
195,2015,NUTS,2013,BE23,2,899545.0
196,2015,NUTS,2013,BE234,3,899545.0
197,2015,NUTS,2013,BE24,2,2265550.51
198,2015,NUTS,2013,BE241,3,115492.5
199,2015,NUTS,2013,BE242,3,2150058.01
200,2015,NUTS,2013,BE3,1,201375.0
201,2015,NUTS,2013,BE31,2,84375.0
202,2015,NUTS,2013,BE310,3,84375.0
203,2015,NUTS,2013,BE33,2,117000.0
204,2015,NUTS,2013,BE332,3,117000.0
205,2015,NUTS,2013,BG,0,342418.75
206,2015,NUTS,2013,BG4,1,342418.75
207,2015,NUTS,2013,BG41,2,342418.75
208,2015,NUTS,2013,BG411,3,342418.75
209,2015,NUTS,2013,CY,0,1324170.29
210,2015,NUTS,2013,CY0,1,1324170.29
211,2015,NUTS,2013,CY00,2,1324170.29
212,2015,NUTS,2013,CY000,3,1324170.29
213,2015,NUTS,2013,CZ,0,1421913.89
214,2015,NUTS,2013,CZ0,1,1421913.89
215,2015,NUTS,2013,CZ01,2,1163838.39
216,2015,NUTS,2013,CZ010,3,1163838.39
217,2015,NUTS,2013,CZ02,2,25462.5
218,2015,NUTS,2013,CZ020,3,25462.5
219,2015,NUTS,2013,CZ04,2,83863.0
220,2015,NUTS,2013,CZ042,3,83863.0
221,2015,NUTS,2013,CZ06,2,80000.0
222,2015,NUTS,2013,CZ064,3,80000.0
223,2015,NUTS,2013,CZ08,2,68750.0
224,2015,NUTS,2013,CZ080,3,68750.0
225,2015,NUTS,2013,DE,0,59178210.13
226,2015,NUTS,2013,DE1,1,4389679.6
227,2015,NUTS,2013,DE11,2,1475468.75
228,2015,NUTS,2013,DE111,3,1475468.75
229,2015,NUTS,2013,DE12,2,1462527.25
230,2015,NUTS,2013,DE122,3,1283866.0
231,2015,NUTS,2013,DE125,3,178661.25
232,2015,NUTS,2013,DE13,2,1451683.6
233,2015,NUTS,2013,DE131,3,1171871.6
234,2015,NUTS,2013,DE138,3,279812.0
235,2015,NUTS,2013,DE2,1,17000898.65
236,2015,NUTS,2013,DE21,2,16419398.65
237,2015,NUTS,2013,DE212,3,16419398.65
238,2015,NUTS,2013,DE24,2,554500.0
239,2015,NUTS,2013,DE242,3,554500.0
240,2015,NUTS,2013,DE25,2,27000.0
241,2015,NUTS,2013,DE252,3,27000.0
242,2015,NUTS,2013,DE3,1,9423900.42
243,2015,NUTS,2013,DE30,2,9423900.42
244,2015,NUTS,2013,DE300,3,9423900.42
245,2015,NUTS,2013,DE4,1,1557838.0
246,2015,NUTS,2013,DE40,2,1557838.0
247,2015,NUTS,2013,DE404,3,1557838.0
248,2015,NUTS,2013,DE5,1,1933240.46
249,2015,NUTS,2013,DE50,2,1933240.46
250,2015,NUTS,2013,DE501,3,1431990.46
251,2015,NUTS,2013,DE502,3,501250.0
252,2015,NUTS,2013,DE6,1,367420.56
253,2015,NUTS,2013,DE60,2,367420.56
254,2015,NUTS,2013,DE600,3,367420.56
255,2015,NUTS,2013,DE7,1,3497231.5
256,2015,NUTS,2013,DE71,2,1855346.5
257,2015,NUTS,2013,DE711,3,562000.0
258,2015,NUTS,2013,DE712,3,873089.0
259,2015,NUTS,2013,DE71A,3,420257.5
260,2015,NUTS,2013,DE73,2,1641885.0
261,2015,NUTS,2013,DE731,3,1555625.0
262,2015,NUTS,2013,DE736,3,86260.0
263,2015,NUTS,2013,DE8,1,30750.0
264,2015,NUTS,2013,DE80,2,30750.0
265,2015,NUTS,2013,DE80K,3,30750.0
266,2015,NUTS,2013,DE9,1,2229723.5
267,2015,NUTS,2013,DE91,2,700000.0
268,2015,NUTS,2013,DE915,3,700000.0
269,2015,NUTS,2013,DE92,2,1025123.5
270,2015,NUTS,2013,DE925,3,258662.5
271,2015,NUTS,2013,DE929,3,766461.0
272,2015,NUTS,2013,DE94,2,504600.0
273,2015,NUTS,2013,DE94D,3,504600.0
274,2015,NUTS,2013,DEA,1,12440540.7
275,2015,NUTS,2013,DEA1,2,2516215.61
276,2015,NUTS,2013,DEA12,3,427243.75
277,2015,NUTS,2013,DEA13,3,249216.48
278,2015,NUTS,2013,DEA16,3,1003342.63
279,2015,NUTS,2013,DEA1A,3,836412.75
280,2015,NUTS,2013,DEA2,2,8155994.43
281,2015,NUTS,2013,DEA22,3,1262116.5
282,2015,NUTS,2013,DEA23,3,4820714.15
283,2015,NUTS,2013,DEA26,3,1738926.78
284,2015,NUTS,2013,DEA2A,3,190800.0
285,2015,NUTS,2013,DEA2D,3,143437.0
286,2015,NUTS,2013,DEA3,2,192438.0
287,2015,NUTS,2013,DEA32,3,142188.0
288,2015,NUTS,2013,DEA34,3,50250.0
289,2015,NUTS,2013,DEA4,2,31500.0
290,2015,NUTS,2013,DEA47,3,31500.0
291,2015,NUTS,2013,DEA5,2,1544392.66
292,2015,NUTS,2013,DEA52,3,949512.04
293,2015,NUTS,2013,DEA5A,3,594880.62
294,2015,NUTS,2013,DEB,1,924000.0
295,2015,NUTS,2013,DEB1,2,125250.0
296,2015,NUTS,2013,DEB11,3,125250.0
297,2015,NUTS,2013,DEB3,2,798750.0
298,2015,NUTS,2013,DEB32,3,798750.0
299,2015,NUTS,2013,DEC,1,1527875.0
300,2015,NUTS,2013,DEC0,2,1527875.0
301,2015,NUTS,2013,DEC05,3,1527875.0
302,2015,NUTS,2013,DED,1,2128547.75
303,2015,NUTS,2013,DED2,2,375500.0
304,2015,NUTS,2013,DED21,3,375500.0
305,2015,NUTS,2013,DED4,2,101438.0
306,2015,NUTS,2013,DED41,3,101438.0
307,2015,NUTS,2013,DED5,2,1651609.75
308,2015,NUTS,2013,DED51,3,1651609.75
309,2015,NUTS,2013,DEF,1,1313471.0
310,2015,NUTS,2013,DEF0,2,1313471.0
311,2015,NUTS,2013,DEF02,3,533551.0
312,2015,NUTS,2013,DEF03,3,264270.0
313,2015,NUTS,2013,DEF06,3,515650.0
314,2015,NUTS,2013,DEG,1,413092.99
315,2015,NUTS,2013,DEG0,2,413092.99
316,2015,NUTS,2013,DEG03,3,413092.99
317,2015,NUTS,2013,DK,0,8276392.96
318,2015,NUTS,2013,DK0,1,8276392.96
319,2015,NUTS,2013,DK01,2,4506942.06
320,2015,NUTS,2013,DK011,3,3857249.56
321,2015,NUTS,2013,DK012,3,649692.5
322,2015,NUTS,2013,DK02,2,582430.0
323,2015,NUTS,2013,DK021,3,582430.0
324,2015,NUTS,2013,DK03,2,100000.0
325,2015,NUTS,2013,DK031,3,100000.0
326,2015,NUTS,2013,DK04,2,3015145.9
327,2015,NUTS,2013,DK041,3,37795.1
328,2015,NUTS,2013,DK042,3,2977350.8
329,2015,NUTS,2013,DK05,2,71875.0
330,2015,NUTS,2013,DK050,3,71875.0
331,2015,NUTS,2013,EE,0,2054345.9
332,2015,NUTS,2013,EE0,1,2054345.9
333,2015,NUTS,2013,EE00,2,2054345.9
334,2015,NUTS,2013,EE001,3,1125105.99
335,2015,NUTS,2013,EE008,3,929239.91
336,2015,NUTS,2013,ES,0,13284603.06
337,2015,NUTS,2013,ES1,1,968750.0
338,2015,NUTS,2013,ES12,2,233125.0
339,2015,NUTS,2013,ES120,3,233125.0
340,2015,NUTS,2013,ES13,2,735625.0
341,2015,NUTS,2013,ES130,3,735625.0
