,year,region_type,region_year_spec,region_id,region_level,products_proj_count
0,2014,NUTS,2013,AT,0,1
1,2014,NUTS,2013,AT1,1,1
2,2014,NUTS,2013,AT13,2,1
3,2014,NUTS,2013,AT130,3,1
4,2014,NUTS,2013,BE,0,1
5,2014,NUTS,2013,BE2,1,1
6,2014,NUTS,2013,BE23,2,1
7,2014,NUTS,2013,BE234,3,1
8,2014,NUTS,2013,CZ,0,2
9,2014,NUTS,2013,CZ0,1,2
10,2014,NUTS,2013,CZ01,2,1
11,2014,NUTS,2013,CZ010,3,1
12,2014,NUTS,2013,CZ08,2,1
13,2014,NUTS,2013,CZ080,3,1
14,2014,NUTS,2013,DE,0,7
15,2014,NUTS,2013,DE1,1,1
16,2014,NUTS,2013,DE11,2,1
17,2014,NUTS,2013,DE111,3,1
18,2014,NUTS,2013,DE2,1,1
19,2014,NUTS,2013,DE21,2,1
20,2014,NUTS,2013,DE212,3,1
21,2014,NUTS,2013,DEA,1,3
22,2014,NUTS,2013,DEA1,2,1
23,2014,NUTS,2013,DEA14,3,1
24,2014,NUTS,2013,DEA4,2,2
25,2014,NUTS,2013,DEA43,3,1
26,2014,NUTS,2013,DEA47,3,1
27,2014,NUTS,2013,DEB,1,1
28,2014,NUTS,2013,DEB3,2,1
29,2014,NUTS,2013,DEB37,3,1
30,2014,NUTS,2013,DEE,1,1
31,2014,NUTS,2013,DEE0,2,1
32,2014,NUTS,2013,DEE02,3,1
33,2014,NUTS,2013,DK,0,3
34,2014,NUTS,2013,DK0,1,3
35,2014,NUTS,2013,DK01,2,1
36,2014,NUTS,2013,DK012,3,1
37,2014,NUTS,2013,DK03,2,1
38,2014,NUTS,2013,DK031,3,1
39,2014,NUTS,2013,DK04,2,1
40,2014,NUTS,2013,DK041,3,1
41,2014,NUTS,2013,EE,0,3
42,2014,NUTS,2013,EE0,1,3
43,2014,NUTS,2013,EE00,2,3
44,2014,NUTS,2013,EE001,3,3
45,2014,NUTS,2013,FR,0,1
46,2014,NUTS,2013,FR8,1,1
47,2014,NUTS,2013,FR82,2,1
48,2014,NUTS,2013,FR823,3,1
49,2014,NUTS,2013,IT,0,3
50,2014,NUTS,2013,ITC,1,2
51,2014,NUTS,2013,ITC1,2,1
52,2014,NUTS,2013,ITC11,3,1
53,2014,NUTS,2013,ITC4,2,1
54,2014,NUTS,2013,ITC4D,3,1
55,2014,NUTS,2013,ITH,1,1
56,2014,NUTS,2013,ITH5,2,1
57,2014,NUTS,2013,ITH55,3,1
58,2014,NUTS,2013,LV,0,2
59,2014,NUTS,2013,LV0,1,2
60,2014,NUTS,2013,LV00,2,2
61,2014,NUTS,2013,LV006,3,1
62,2014,NUTS,2013,LV009,3,1
63,2014,NUTS,2013,NL,0,5
64,2014,NUTS,2013,NL2,1,2
65,2014,NUTS,2013,NL21,2,2
66,2014,NUTS,2013,NL213,3,2
67,2014,NUTS,2013,NL4,1,3
68,2014,NUTS,2013,NL41,2,1
69,2014,NUTS,2013,NL414,3,1
70,2014,NUTS,2013,NL42,2,2
71,2014,NUTS,2013,NL423,3,2
72,2014,NUTS,2013,PT,0,2
73,2014,NUTS,2013,PT1,1,2
74,2014,NUTS,2013,PT11,2,2
75,2014,NUTS,2013,PT112,3,1
76,2014,NUTS,2013,PT11A,3,1
77,2015,NUTS,2013,AT,0,29
78,2015,NUTS,2013,AT1,1,13
79,2015,NUTS,2013,AT12,2,2
80,2015,NUTS,2013,AT122,3,2
81,2015,NUTS,2013,AT13,2,11
82,2015,NUTS,2013,AT130,3,11
83,2015,NUTS,2013,AT2,1,12
84,2015,NUTS,2013,AT21,2,2
85,2015,NUTS,2013,AT211,3,2
86,2015,NUTS,2013,AT22,2,10
87,2015,NUTS,2013,AT221,3,5
88,2015,NUTS,2013,AT223,3,3
89,2015,NUTS,2013,AT226,3,2
90,2015,NUTS,2013,AT3,1,4
91,2015,NUTS,2013,AT31,2,1
92,2015,NUTS,2013,AT311,3,1
93,2015,NUTS,2013,AT32,2,2
94,2015,NUTS,2013,AT322,3,1
95,2015,NUTS,2013,AT323,3,1
96,2015,NUTS,2013,AT33,2,1
97,2015,NUTS,2013,AT335,3,1
98,2015,NUTS,2013,BE,0,40
99,2015,NUTS,2013,BE1,1,17
100,2015,NUTS,2013,BE10,2,17
101,2015,NUTS,2013,BE100,3,17
102,2015,NUTS,2013,BE2,1,18
103,2015,NUTS,2013,BE21,2,5
104,2015,NUTS,2013,BE212,3,1
105,2015,NUTS,2013,BE213,3,4
106,2015,NUTS,2013,BE22,2,1
107,2015,NUTS,2013,BE221,3,1
108,2015,NUTS,2013,BE23,2,4
109,2015,NUTS,2013,BE234,3,3
110,2015,NUTS,2013,BE235,3,1
111,2015,NUTS,2013,BE24,2,8
112,2015,NUTS,2013,BE241,3,2
113,2015,NUTS,2013,BE242,3,6
114,2015,NUTS,2013,BE3,1,5
115,2015,NUTS,2013,BE31,2,3
116,2015,NUTS,2013,BE310,3,3
117,2015,NUTS,2013,BE33,2,1
118,2015,NUTS,2013,BE332,3,1
119,2015,NUTS,2013,BE35,2,1
120,2015,NUTS,2013,BE352,3,1
121,2015,NUTS,2013,BG,0,1
122,2015,NUTS,2013,BG4,1,1
123,2015,NUTS,2013,BG41,2,1
124,2015,NUTS,2013,BG411,3,1
125,2015,NUTS,2013,CY,0,1
126,2015,NUTS,2013,CY0,1,1
127,2015,NUTS,2013,CY00,2,1
128,2015,NUTS,2013,CY000,3,1
129,2015,NUTS,2013,CZ,0,3
130,2015,NUTS,2013,CZ0,1,3
131,2015,NUTS,2013,CZ01,2,1
132,2015,NUTS,2013,CZ010,3,1
133,2015,NUTS,2013,CZ05,2,1
134,2015,NUTS,2013,CZ052,3,1
135,2015,NUTS,2013,CZ06,2,1
136,2015,NUTS,2013,CZ064,3,1
137,2015,NUTS,2013,DE,0,145
138,2015,NUTS,2013,DE1,1,25
139,2015,NUTS,2013,DE11,2,11
140,2015,NUTS,2013,DE111,3,8
141,2015,NUTS,2013,DE112,3,1
142,2015,NUTS,2013,DE113,3,2
143,2015,NUTS,2013,DE12,2,6
144,2015,NUTS,2013,DE122,3,4
145,2015,NUTS,2013,DE125,3,1
146,2015,NUTS,2013,DE129,3,1
147,2015,NUTS,2013,DE13,2,6
148,2015,NUTS,2013,DE131,3,2
149,2015,NUTS,2013,DE134,3,3
150,2015,NUTS,2013,DE139,3,1
151,2015,NUTS,2013,DE14,2,2
152,2015,NUTS,2013,DE141,3,2
153,2015,NUTS,2013,DE2,1,36
154,2015,NUTS,2013,DE21,2,26
155,2015,NUTS,2013,DE212,3,23
156,2015,NUTS,2013,DE21H,3,1
157,2015,NUTS,2013,DE21K,3,1
158,2015,NUTS,2013,DE21L,3,1
159,2015,NUTS,2013,DE23,2,1
160,2015,NUTS,2013,DE239,3,1
161,2015,NUTS,2013,DE24,2,1
162,2015,NUTS,2013,DE242,3,1
163,2015,NUTS,2013,DE25,2,3
164,2015,NUTS,2013,DE251,3,1
165,2015,NUTS,2013,DE252,3,1
166,2015,NUTS,2013,DE257,3,1
167,2015,NUTS,2013,DE26,2,4
168,2015,NUTS,2013,DE263,3,2
169,2015,NUTS,2013,DE268,3,2
170,2015,NUTS,2013,DE27,2,1
171,2015,NUTS,2013,DE27C,3,1
172,2015,NUTS,2013,DE3,1,8
173,2015,NUTS,2013,DE30,2,8
174,2015,NUTS,2013,DE300,3,8
175,2015,NUTS,2013,DE5,1,1
176,2015,NUTS,2013,DE50,2,1
177,2015,NUTS,2013,DE502,3,1
178,2015,NUTS,2013,DE6,1,6
179,2015,NUTS,2013,DE60,2,6
180,2015,NUTS,2013,DE600,3,6
181,2015,NUTS,2013,DE7,1,8
182,2015,NUTS,2013,DE71,2,7
183,2015,NUTS,2013,DE711,3,2
184,2015,NUTS,2013,DE712,3,5
185,2015,NUTS,2013,DE73,2,1
186,2015,NUTS,2013,DE732,3,1
187,2015,NUTS,2013,DE8,1,3
188,2015,NUTS,2013,DE80,2,3
189,2015,NUTS,2013,DE803,3,2
190,2015,NUTS,2013,DE804,3,1
191,2015,NUTS,2013,DE9,1,8
192,2015,NUTS,2013,DE91,2,3
193,2015,NUTS,2013,DE911,3,1
194,2015,NUTS,2013,DE916,3,2
195,2015,NUTS,2013,DE92,2,3
196,2015,NUTS,2013,DE929,3,3
197,2015,NUTS,2013,DE94,2,2
198,2015,NUTS,2013,DE943,3,1
199,2015,NUTS,2013,DE94E,3,1
200,2015,NUTS,2013,DEA,1,28
201,2015,NUTS,2013,DEA1,2,6
202,2015,NUTS,2013,DEA12,3,2
203,2015,NUTS,2013,DEA13,3,2
204,2015,NUTS,2013,DEA1C,3,1
205,2015,NUTS,2013,DEA1E,3,1
206,2015,NUTS,2013,DEA2,2,13
207,2015,NUTS,2013,DEA23,3,3
208,2015,NUTS,2013,DEA24,3,3
209,2015,NUTS,2013,DEA26,3,3
210,2015,NUTS,2013,DEA2D,3,4
211,2015,NUTS,2013,DEA3,2,2
